Spin_Speed_1	Duration_t1	Spin_Speed_2	Dispense_Speed	Duration_t3	Spin_Speed_3	Jsc	Voc	FF	Pmax	Vmpp	Rseries	Rshunt
2404	15	1745	203	13	4494	24.507	0.91	0.6201	13.83	0.695	587.294	2.99
1835	17	2289	289	11	4389	25.733	1.009	0.7592	19.712	0.831	2796.413	2860.0
1067	33	2352	235	5	2861	24.692	1.0321	0.7376	18.797	0.836	3573.04	3300.0
2276	18	1821	26	15	3241	24.195	0.8197	0.6506	12.903	0.645	766.254	747.0
2147	30	2816	290	29	4981	24.268	0.9951	0.7684	18.556	0.821	3965.152	4260.0
1152	28	2734	122	8	4856	24.481	1.01	0.7264	17.962	0.816	3649.094	3480.0
1240	23	2993	190	19	2560	25.575	0.9926	0.7377	18.726	0.807	3599.673	3640.0
2471	21	1394	138	29	2046	23.995	0.685	0.6336	10.414	0.542	971.898	819.0
907	9	2766	314	22	4323	24.283	0.994	0.7185	17.342	0.785	4529.861	4350.0
2034	18	1021	90	7	4776	12.231	0.8321	0.5819	5.922	0.615	797.402	3.08
540	19	2383	16	23	4632	23.558	0.9297	0.6919	15.154	0.715	2766.907	2720.0
1532	12	1955	383	18	4137	25.214	0.9921	0.7637	19.105	0.82	3277.874	4.45
1024	8	2631	367	21	2135	24.944	1.008	0.7018	17.644	0.786	3165.72	3090.0
1768	22	2927	77	10	4208	24.301	1.0172	0.742	18.34	0.824	6301.719	6860.0
1598	29	2592	396	23	3688	23.929	0.9692	0.6905	16.013	0.732	5996.365	5.07
691	14	1661	248	19	3523	24.251	0.9949	0.6952	16.773	0.765	3039.138	2860.0
1745	28	1098	108	16	2467	20.114	0.6694	0.593	7.984	0.498	453.489	427.0
2111	31	2065	349	27	2251	25.454	0.917	0.7359	17.178	0.738	3156.636	3280.0
621	26	1221	51	26	3907	25.549	0.9484	0.7094	17.19	0.755	3358.491	3070.0
1442	9	1297	306	9	3972	24.824	0.9231	0.8109	18.583	0.813	4990.548	4490.0
810	33	1776	258	6	4599	24.913	0.8165	0.7027	14.294	0.633	2667.025	12.1
1308	32	2558	146	12	3111	24.87	0.9743	0.7497	18.165	0.799	3670.06	5.33
1333	20	1878	212	24	3386	25.625	1.0253	0.7546	19.824	0.849	2654.511	4.97
863	34	1535	104	25	3160	25.641	1.0022	0.7049	18.115	0.788	3644.731	3390.0
675	26	1604	66	21	2720	24.788	0.9533	0.7081	16.732	0.759	2115.048	2050.0
1420	12	2015	277	7	3621	24.213	1.0209	0.7637	18.876	0.851	4135.343	4090.0
1973	24	2137	218	16	2822	24.022	0.9163	0.7127	15.688	0.723	2609.211	2630.0
2349	15	1315	35	18	2282	16.955	0.6163	0.4488	4.69	0.463	327.841	269.0
2211	10	2465	156	13	2585	24.37	0.9586	0.7501	17.522	0.782	3880.83	6.67
1632	20	2233	328	14	3025	24.711	1.0388	0.7582	19.463	0.862	3498.54	3590.0
1881	25	1449	360	10	3843	23.312	0.9011	0.6478	13.608	0.693	850.314	3.33
953	13	1167	177	27	3463	23.852	0.948	0.7195	16.27	0.755	3204.921	3070.0
1474	14	2324	250	19	3910	25.429	1.1523	0.784	22.973	0.978	4651.703	4540.0
1515	16	2676	269	6	3552	24.912	1.1458	0.7811	22.298	0.973	4530.888	10.9
1165	23	2063	241	32	2863	25.132	1.1228	0.7614	21.484	0.933	6293.705	9.12
1913	13	2671	222	22	5000	25.68	1.082	0.7335	20.381	0.887	4507.681	4600.0
1421	8	2021	279	25	3002	24.773	1.086	0.7178	19.312	0.868	6299.714	7.65
1840	5	2401	360	10	3825	24.99	1.063	0.7175	19.06	0.842	4506.654	4330.0
1476	13	2036	242	25	5000	25.533	1.07	0.7514	20.529	0.881	4928.438	5140.0
1096	20	2295	247	17	2231	24.83	1.0592	0.731	19.226	0.857	3761.752	3540.0
2126	21	2903	266	9	5000	25.093	1.1027	0.7718	21.355	0.918	4814.004	4570.0
1600	18	2444	187	32	4233	24.613	1.1195	0.7264	20.017	0.908	4887.079	4940.0
1184	29	1946	191	35	4204	24.369	1.0772	0.6713	17.623	0.812	3595.424	3490.0
1210	18	1933	325	21	2000	23.966	1.1008	0.6978	18.409	0.861	4241.645	4170.0
1220	15	2546	198	11	2783	23.437	1.0966	0.7084	18.206	0.867	6513.151	6090.0
1570	5	2329	211	19	4466	24.425	1.1057	0.75	20.256	0.913	4429.528	4480.0
925	22	2808	268	5	2000	24.617	1.0551	0.6368	16.54	0.787	2415.078	2310.0
1631	22	2902	281	5	3450	23.938	1.1056	0.7443	19.7	0.907	5740.794	5290.0
1720	5	2707	260	10	4488	24.05	0.9692	0.6917	16.123	0.757	1738.671	1690.0
1451	9	2149	256	27	3416	23.916	1.1053	0.7251	19.168	0.891	4417.674	4260.0
2358	19	2981	298	13	3658	24.857	1.1243	0.7888	22.046	0.959	3804.765	8.31
1490	19	2611	270	5	4888	24.51	1.084	0.7587	20.158	0.895	4557.486	4270.0
1790	20	2696	227	5	5000	23.6	1.112	0.7749	20.336	0.93	5697.84	8.89
1120	18	2238	273	31	3881	23.336	1.0387	0.7318	17.739	0.834	3716.562	3560.0
1509	18	2552	254	17	4265	24.658	1.1007	0.7607	20.647	0.909	5033.045	8.6
1317	18	2336	262	23	4092	24.566	1.0401	0.7475	19.101	0.851	92.129	108.0
1671	16	2613	271	17	3640	24.468	1.1097	0.7705	20.922	0.925	4239.369	4010.0
1596	19	2668	237	12	4999	24.306	1.088	0.749	19.808	0.895	3407.331	8.11
1428	15	2488	292	13	4281	23.984	1.032	0.7191	17.798	0.822	3407.914	7.22
1513	15	2388	198	18	4580	24.109	1.0785	0.7565	19.671	0.889	3254.705	3220.0
2134	20	2989	238	18	4014	24.934	1.121	0.76	21.242	0.933	4729.483	4340.0
1568	20	2755	238	17	4749	24.086	1.0857	0.72	18.827	0.883	4390.74	4060.0
1647	14	2413	293	25	4326	25.671	1.1022	0.7315	20.698	0.893	3115.902	3250.0
1403	18	2463	256	25	3426	24.424	1.0295	0.7029	17.674	0.804	3948.943	3750.0
1303	17	2400	246	17	4827	24.306	1.0286	0.7129	17.823	0.819	4597.167	4450.0
1677	19	2765	267	16	4181	24.573	1.0604	0.6839	17.82	0.807	5099.811	4780.0
1553	13	2396	273	16	3785	25.938	1.0426	0.7023	21.257	0.816	4550.155	4700.0
2579	21	3000	228	13	5000	25.413	1.0169	0.7461	19.282	0.824	6296.709	5790.0
1515	16	2676	269	6	3552	25.744	1.1467	0.7887	23.285	0.976	3639.373	3800.0
1165	23	2063	241	32	2863	25.791	1.1622	0.7916	23.729	0.9901	5369.497	5500.0
1913	13	2671	222	22	5000	25.335	1.0285	0.7429	19.358	0.842	2589.079	2540.0
1421	8	2021	279	25	3002	25.441	1.1046	0.7649	21.494	0.92	4540.764	4660.0
1840	5	2401	360	10	3825	25.85	1.0397	0.7647	20.553	0.863	3246.966	3070.0
1476	13	2036	242	25	5000	25.261	1.0881	0.7599	20.888	0.907	3508.15	3310.0
1096	20	2295	247	17	2231	25.638	1.1548	0.7812	23.128	0.975	3883.495	3970.0
925	22	2808	268	5	2000	25.874	1.1494	0.7752	23.055	0.962	4736.273	11.5
