lambda n k
350e-9 0.1145 1.319
351e-9 0.1111 1.3426
352e-9 0.1077 1.3662
353e-9 0.1043 1.3898
354e-9 0.1009 1.4134
355e-9 0.0984 1.4323
356e-9 0.0962 1.4497
357e-9 0.094 1.4671
358e-9 0.0918 1.4845
359e-9 0.0896 1.5019
360e-9 0.0874 1.5194
361e-9 0.0852 1.5368
362e-9 0.083 1.5542
363e-9 0.0808 1.5716
364e-9 0.0786 1.589
365e-9 0.0764 1.6064
366e-9 0.0742 1.6238
367e-9 0.072 1.6412
368e-9 0.0699 1.6584
369e-9 0.0684 1.6737
370e-9 0.0669 1.6889
371e-9 0.0654 1.7041
372e-9 0.0639 1.7194
373e-9 0.0625 1.7346
374e-9 0.061 1.7498
375e-9 0.0595 1.7651
376e-9 0.058 1.7803
377e-9 0.0565 1.7955
378e-9 0.0551 1.8108
379e-9 0.0536 1.826
380e-9 0.0521 1.8412
381e-9 0.0506 1.8565
382e-9 0.0499 1.8706
383e-9 0.0499 1.8835
384e-9 0.0499 1.8965
385e-9 0.0499 1.9094
386e-9 0.0499 1.9224
387e-9 0.0499 1.9353
388e-9 0.0499 1.9483
389e-9 0.0499 1.9612
390e-9 0.05 1.9742
391e-9 0.05 1.9871
392e-9 0.05 2.0001
393e-9 0.05 2.013
394e-9 0.05 2.026
395e-9 0.05 2.0389
396e-9 0.05 2.0519
397e-9 0.05 2.0649
398e-9 0.05 2.0778
399e-9 0.05 2.0907
400e-9 0.05 2.1036
401e-9 0.05 2.1165
402e-9 0.05 2.1294
403e-9 0.05 2.1423
404e-9 0.05 2.1552
405e-9 0.0501 2.1681
406e-9 0.0501 2.181
407e-9 0.0501 2.1939
408e-9 0.0501 2.2068
409e-9 0.0501 2.2197
410e-9 0.0501 2.2326
411e-9 0.0501 2.2455
412e-9 0.0501 2.2584
413e-9 0.0501 2.2713
414e-9 0.0497 2.2827
415e-9 0.0491 2.2936
416e-9 0.0485 2.3045
417e-9 0.0479 2.3153
418e-9 0.0473 2.3262
419e-9 0.0468 2.3371
420e-9 0.0462 2.3479
421e-9 0.0456 2.3588
422e-9 0.045 2.3696
423e-9 0.0444 2.3805
424e-9 0.0438 2.3914
425e-9 0.0432 2.4022
426e-9 0.0427 2.4131
427e-9 0.0421 2.4239
428e-9 0.0415 2.4348
429e-9 0.0409 2.4457
430e-9 0.0403 2.4565
431e-9 0.04 2.4668
432e-9 0.04 2.4763
433e-9 0.04 2.4859
434e-9 0.04 2.4955
435e-9 0.04 2.5051
436e-9 0.04 2.5147
437e-9 0.04 2.5242
438e-9 0.04 2.5338
439e-9 0.04 2.5434
440e-9 0.04 2.553
441e-9 0.04 2.5626
442e-9 0.0401 2.5721
443e-9 0.0401 2.5817
444e-9 0.0401 2.5913
445e-9 0.0401 2.6009
446e-9 0.0401 2.6105
447e-9 0.0401 2.62
448e-9 0.0401 2.6296
449e-9 0.0401 2.6392
450e-9 0.0401 2.6488
451e-9 0.0402 2.6585
452e-9 0.0406 2.6688
453e-9 0.0411 2.6791
454e-9 0.0416 2.6894
455e-9 0.0421 2.6997
456e-9 0.0426 2.71
457e-9 0.043 2.7203
458e-9 0.0435 2.7306
459e-9 0.044 2.7409
460e-9 0.0445 2.7512
461e-9 0.045 2.7616
462e-9 0.0455 2.7719
463e-9 0.0459 2.7822
464e-9 0.0464 2.7925
465e-9 0.0469 2.8028
466e-9 0.0474 2.8131
467e-9 0.0479 2.8234
468e-9 0.0484 2.8337
469e-9 0.0488 2.844
470e-9 0.0493 2.8543
471e-9 0.0498 2.8646
472e-9 0.05 2.8743
473e-9 0.05 2.8834
474e-9 0.05 2.8926
475e-9 0.05 2.9017
476e-9 0.05 2.9108
477e-9 0.05 2.92
478e-9 0.05 2.9291
479e-9 0.05 2.9382
480e-9 0.05 2.9474
481e-9 0.05 2.9565
482e-9 0.05 2.9656
483e-9 0.05 2.9748
484e-9 0.05 2.9839
485e-9 0.05 2.993
486e-9 0.05 3.0022
487e-9 0.05 3.0113
488e-9 0.05 3.0204
489e-9 0.05 3.0296
490e-9 0.05 3.0387
491e-9 0.05 3.0478
492e-9 0.05 3.057
493e-9 0.05 3.0661
494e-9 0.05 3.0752
495e-9 0.05 3.0844
496e-9 0.05 3.0935
497e-9 0.05 3.1027
498e-9 0.05 3.112
499e-9 0.05 3.1212
500e-9 0.05 3.1305
501e-9 0.0499 3.1397
502e-9 0.0499 3.1489
503e-9 0.0499 3.1582
504e-9 0.0499 3.1674
505e-9 0.0499 3.1766
506e-9 0.0499 3.1859
507e-9 0.0499 3.1951
508e-9 0.0499 3.2043
509e-9 0.0499 3.2136
510e-9 0.0499 3.2228
511e-9 0.0499 3.232
512e-9 0.0499 3.2413
513e-9 0.0499 3.2505
514e-9 0.0499 3.2598
515e-9 0.0499 3.269
516e-9 0.0499 3.2782
517e-9 0.0499 3.2875
518e-9 0.0499 3.2967
519e-9 0.0499 3.3059
520e-9 0.0499 3.3152
521e-9 0.05 3.3244
522e-9 0.0503 3.3339
523e-9 0.0507 3.3434
524e-9 0.051 3.3528
525e-9 0.0514 3.3623
526e-9 0.0518 3.3718
527e-9 0.0521 3.3813
528e-9 0.0525 3.3907
529e-9 0.0529 3.4002
530e-9 0.0532 3.4097
531e-9 0.0536 3.4192
532e-9 0.0539 3.4287
533e-9 0.0543 3.4381
534e-9 0.0547 3.4476
535e-9 0.055 3.4571
536e-9 0.0554 3.4666
537e-9 0.0558 3.476
538e-9 0.0561 3.4855
539e-9 0.0565 3.495
540e-9 0.0568 3.5045
541e-9 0.0572 3.5139
542e-9 0.0576 3.5234
543e-9 0.0579 3.5329
544e-9 0.0583 3.5424
545e-9 0.0586 3.5518
546e-9 0.059 3.5613
547e-9 0.0594 3.5708
548e-9 0.0597 3.5803
549e-9 0.0598 3.5892
550e-9 0.0595 3.5973
551e-9 0.0592 3.6055
552e-9 0.0589 3.6136
553e-9 0.0587 3.6217
554e-9 0.0584 3.6298
555e-9 0.0581 3.6379
556e-9 0.0578 3.6461
557e-9 0.0575 3.6542
558e-9 0.0572 3.6623
559e-9 0.0569 3.6704
560e-9 0.0566 3.6786
561e-9 0.0563 3.6867
562e-9 0.056 3.6948
563e-9 0.0557 3.7029
564e-9 0.0554 3.7111
565e-9 0.0551 3.7192
566e-9 0.0548 3.7273
567e-9 0.0545 3.7354
568e-9 0.0542 3.7436
569e-9 0.0539 3.7517
570e-9 0.0536 3.7598
571e-9 0.0533 3.7679
572e-9 0.053 3.7761
573e-9 0.0527 3.7842
574e-9 0.0524 3.7923
575e-9 0.0521 3.8004
576e-9 0.0518 3.8086
577e-9 0.0515 3.8167
578e-9 0.0512 3.8248
579e-9 0.0509 3.8329
580e-9 0.0506 3.841
581e-9 0.0503 3.8492
582e-9 0.0501 3.8573
583e-9 0.0503 3.8657
584e-9 0.0506 3.8742
585e-9 0.0509 3.8826
586e-9 0.0511 3.8911
587e-9 0.0514 3.8996
588e-9 0.0517 3.908
589e-9 0.052 3.9165
590e-9 0.0523 3.9249
591e-9 0.0526 3.9334
592e-9 0.0529 3.9419
593e-9 0.0531 3.9503
594e-9 0.0534 3.9588
595e-9 0.0537 3.9673
596e-9 0.054 3.9757
597e-9 0.0543 3.9842
598e-9 0.0546 3.9926
599e-9 0.0549 4.0011
600e-9 0.0552 4.0096
601e-9 0.0554 4.018
602e-9 0.0557 4.0265
603e-9 0.056 4.0349
604e-9 0.0563 4.0434
605e-9 0.0566 4.0519
606e-9 0.0569 4.0603
607e-9 0.0572 4.0688
608e-9 0.0574 4.0772
609e-9 0.0577 4.0857
610e-9 0.058 4.0942
611e-9 0.0583 4.1026
612e-9 0.0586 4.1111
613e-9 0.0589 4.1195
614e-9 0.0592 4.128
615e-9 0.0594 4.1365
616e-9 0.0597 4.1449
617e-9 0.0599 4.1533
618e-9 0.0597 4.161
619e-9 0.0595 4.1688
620e-9 0.0592 4.1765
621e-9 0.059 4.1843
622e-9 0.0588 4.1921
623e-9 0.0585 4.1998
624e-9 0.0583 4.2076
625e-9 0.0581 4.2153
626e-9 0.0578 4.2231
627e-9 0.0576 4.2309
628e-9 0.0574 4.2386
629e-9 0.0571 4.2464
630e-9 0.0569 4.2541
631e-9 0.0567 4.2619
632e-9 0.0564 4.2697
633e-9 0.0562 4.2774
634e-9 0.0559 4.2852
635e-9 0.0557 4.2929
636e-9 0.0555 4.3007
637e-9 0.0552 4.3085
638e-9 0.055 4.3162
639e-9 0.0548 4.324
640e-9 0.0545 4.3317
641e-9 0.0543 4.3395
642e-9 0.0541 4.3473
643e-9 0.0538 4.355
644e-9 0.0536 4.3628
645e-9 0.0534 4.3705
646e-9 0.0531 4.3783
647e-9 0.0529 4.386
648e-9 0.0527 4.3938
649e-9 0.0524 4.4016
650e-9 0.0522 4.4093
651e-9 0.052 4.4171
652e-9 0.0517 4.4248
653e-9 0.0515 4.4326
654e-9 0.0513 4.4404
655e-9 0.051 4.4481
656e-9 0.0508 4.4559
657e-9 0.0506 4.4636
658e-9 0.0503 4.4714
659e-9 0.0501 4.4792
660e-9 0.0499 4.487
661e-9 0.0496 4.4949
662e-9 0.0494 4.5028
663e-9 0.0492 4.5107
664e-9 0.049 4.5186
665e-9 0.0487 4.5265
666e-9 0.0485 4.5344
667e-9 0.0483 4.5423
668e-9 0.0481 4.5501
669e-9 0.0479 4.558
670e-9 0.0476 4.5659
671e-9 0.0474 4.5738
672e-9 0.0472 4.5817
673e-9 0.047 4.5896
674e-9 0.0468 4.5975
675e-9 0.0465 4.6054
676e-9 0.0463 4.6133
677e-9 0.0461 4.6212
678e-9 0.0459 4.6291
679e-9 0.0456 4.637
680e-9 0.0454 4.6449
681e-9 0.0452 4.6528
682e-9 0.045 4.6607
683e-9 0.0448 4.6686
684e-9 0.0445 4.6765
685e-9 0.0443 4.6844
686e-9 0.0441 4.6923
687e-9 0.0439 4.7002
688e-9 0.0436 4.7081
689e-9 0.0434 4.7159
690e-9 0.0432 4.7238
691e-9 0.043 4.7317
692e-9 0.0428 4.7396
693e-9 0.0425 4.7475
694e-9 0.0423 4.7554
695e-9 0.0421 4.7633
696e-9 0.0419 4.7712
697e-9 0.0417 4.7791
698e-9 0.0414 4.787
699e-9 0.0412 4.7949
700e-9 0.041 4.8028
701e-9 0.0408 4.8107
702e-9 0.0405 4.8186
703e-9 0.0403 4.8265
704e-9 0.0401 4.8344
705e-9 0.0399 4.8422
706e-9 0.0397 4.8501
707e-9 0.0395 4.8579
708e-9 0.0393 4.8658
709e-9 0.0391 4.8736
710e-9 0.0389 4.8814
711e-9 0.0387 4.8893
712e-9 0.0385 4.8971
713e-9 0.0383 4.9049
714e-9 0.0382 4.9128
715e-9 0.038 4.9206
716e-9 0.0378 4.9285
717e-9 0.0376 4.9363
718e-9 0.0374 4.9441
719e-9 0.0372 4.952
720e-9 0.037 4.9598
721e-9 0.0368 4.9676
722e-9 0.0366 4.9755
