lambda n k
300e-9 2.23691 0.71264
301e-9 2.22873 0.70124
302e-9 2.22054 0.68985
303e-9 2.21236 0.67845
304e-9 2.20417 0.66706
305e-9 2.19599 0.65566
306e-9 2.18781 0.64426
307e-9 2.17962 0.63287
308e-9 2.17144 0.62147
309e-9 2.16325 0.61008
310e-9 2.15507 0.59868
311e-9 2.14178 0.59685
312e-9 2.12849 0.59501
313e-9 2.1152 0.59318
314e-9 2.10191 0.59135
315e-9 2.08863 0.58952
316e-9 2.07534 0.58768
317e-9 2.06205 0.58585
318e-9 2.04876 0.58402
319e-9 2.03547 0.58218
320e-9 2.02218 0.58035
321e-9 2.01426 0.59391
322e-9 2.00634 0.60746
323e-9 1.99842 0.62102
324e-9 1.9905 0.63457
325e-9 1.98258 0.64813
326e-9 1.97466 0.66169
327e-9 1.96674 0.67524
328e-9 1.95882 0.6888
329e-9 1.9509 0.70235
330e-9 1.94298 0.71591
331e-9 1.95549 0.73231
332e-9 1.96799 0.7487
333e-9 1.9805 0.7651
334e-9 1.993 0.7815
335e-9 2.00551 0.7979
336e-9 2.01802 0.81429
337e-9 2.03052 0.83069
338e-9 2.04303 0.84709
339e-9 2.05553 0.86348
340e-9 2.06804 0.87988
341e-9 2.09163 0.87902
342e-9 2.11522 0.87816
343e-9 2.1388 0.87731
344e-9 2.16239 0.87645
345e-9 2.18598 0.87559
346e-9 2.20957 0.87473
347e-9 2.23316 0.87387
348e-9 2.25674 0.87302
349e-9 2.28033 0.87216
350e-9 2.30392 0.8713
351e-9 2.31988 0.85468
352e-9 2.33584 0.83805
353e-9 2.3518 0.82143
354e-9 2.36776 0.8048
355e-9 2.38372 0.78818
356e-9 2.39968 0.77156
357e-9 2.41564 0.75493
358e-9 2.4316 0.73831
359e-9 2.44756 0.72168
360e-9 2.46352 0.70506
361e-9 2.46579 0.68531
362e-9 2.46805 0.66556
363e-9 2.47032 0.64582
364e-9 2.47258 0.62607
365e-9 2.47485 0.60632
366e-9 2.47712 0.58657
367e-9 2.47938 0.56682
368e-9 2.48165 0.54708
369e-9 2.48391 0.52733
370e-9 2.48618 0.50758
371e-9 2.47945 0.49372
