lambda n k
300e-9 2.22309 0.6958
301e-9 2.21799 0.70523
302e-9 2.21144 0.70941
303e-9 2.20358 0.7192
304e-9 2.19438 0.72079
305e-9 2.18422 0.73737
306e-9 2.17306 0.72379
307e-9 2.16107 0.72442
308e-9 2.14846 0.72632
309e-9 2.13546 0.71979
310e-9 2.1222 0.72246
311e-9 2.10879 0.70802
312e-9 2.09554 0.71053
313e-9 2.08244 0.7077
314e-9 2.06951 0.70385
315e-9 2.05707 0.70338
316e-9 2.04514 0.6982
317e-9 2.03397 0.69861
318e-9 2.02358 0.70227
319e-9 2.01385 0.70295
320e-9 2.00528 0.70645
321e-9 1.99755 0.70754
322e-9 1.99107 0.71931
323e-9 1.9858 0.72486
324e-9 1.98167 0.73661
325e-9 1.97895 0.74621
326e-9 1.97757 0.76291
327e-9 1.97753 0.77527
328e-9 1.97903 0.79117
329e-9 1.97945 0.80939
330e-9 1.98091 0.83042
331e-9 1.98416 0.84623
332e-9 1.98843 0.86881
333e-9 1.99396 0.89207
334e-9 2.00076 0.90932
335e-9 2.00907 0.92771
336e-9 2.0186 0.94157
337e-9 2.02979 0.95772
338e-9 2.04281 0.97791
339e-9 2.05755 0.9828
340e-9 2.07411 0.99804
341e-9 2.09222 1.00666
342e-9 2.11234 1.02021
343e-9 2.134 1.02923
344e-9 2.15681 1.03665
345e-9 2.1808 1.03138
346e-9 2.20544 1.04299
347e-9 2.23012 1.04467
348e-9 2.25457 1.04175
349e-9 2.27847 1.03777
350e-9 2.30122 1.04061
351e-9 2.32308 1.03136
352e-9 2.34327 1.03023
353e-9 2.3619 1.01918
354e-9 2.37844 1.00064
355e-9 2.39335 0.97535
356e-9 2.40628 0.93841
357e-9 2.41747 0.93378
358e-9 2.42695 0.90974
359e-9 2.43453 0.89399
360e-9 2.44048 0.87053
361e-9 2.44531 0.84932
362e-9 2.44857 0.82891
363e-9 2.45063 0.80444
364e-9 2.45171 0.78703
365e-9 2.45157 0.76932
366e-9 2.45054 0.74794
367e-9 2.4488 0.73154
368e-9 2.44614 0.71215
369e-9 2.44301 0.69297
370e-9 2.43929 0.67599
371e-9 2.4351 0.65448
372e-9 2.43076 0.63769
373e-9 2.42607 0.62005
374e-9 2.42138 0.60032
375e-9 2.41654 0.58418
376e-9 2.41166 0.56809
377e-9 2.4066 0.55108
378e-9 2.40156 0.53819
379e-9 2.39649 0.52426
380e-9 2.39138 0.5092
381e-9 2.38626 0.49789
382e-9 2.38102 0.48638
383e-9 2.37564 0.47698
384e-9 2.3703 0.46964
385e-9 2.36475 0.46154
386e-9 2.35921 0.45347
387e-9 2.35366 0.44677
388e-9 2.3479 0.44138
389e-9 2.3422 0.43545
390e-9 2.33649 0.43085
391e-9 2.33073 0.42593
392e-9 2.3251 0.42091
393e-9 2.31958 0.41853
394e-9 2.31403 0.41258
395e-9 2.30879 0.40827
396e-9 2.30345 0.40517
397e-9 2.29821 0.40168
398e-9 2.29315 0.39992
399e-9 2.28818 0.39931
400e-9 2.28335 0.3962
401e-9 2.27875 0.3944
402e-9 2.27423 0.39244
403e-9 2.26972 0.39186
404e-9 2.26535 0.39276
405e-9 2.26098 0.39098
406e-9 2.2569 0.39068
407e-9 2.25304 0.39112
408e-9 2.24921 0.38887
409e-9 2.24567 0.39072
410e-9 2.24218 0.3901
411e-9 2.23884 0.39007
412e-9 2.23558 0.39004
413e-9 2.23258 0.39159
414e-9 2.22976 0.39079
415e-9 2.22715 0.39196
416e-9 2.22462 0.39169
417e-9 2.22233 0.39492
418e-9 2.22017 0.3961
419e-9 2.21818 0.39712
420e-9 2.21627 0.40092
421e-9 2.21458 0.40157
422e-9 2.21298 0.40453
423e-9 2.21153 0.40681
424e-9 2.21027 0.40878
425e-9 2.20919 0.40998
426e-9 2.20821 0.41352
427e-9 2.20742 0.41543
428e-9 2.20672 0.41829
429e-9 2.20628 0.42115
430e-9 2.20598 0.423
431e-9 2.20586 0.42557
432e-9 2.20562 0.42671
433e-9 2.20554 0.42881
434e-9 2.20577 0.43092
435e-9 2.20576 0.43398
436e-9 2.20606 0.4357
437e-9 2.20643 0.43686
438e-9 2.2072 0.43922
439e-9 2.2079 0.44071
440e-9 2.20861 0.44309
441e-9 2.20958 0.4445
442e-9 2.21069 0.44534
443e-9 2.2118 0.44676
444e-9 2.21302 0.44842
445e-9 2.21413 0.44739
446e-9 2.21528 0.44864
447e-9 2.21659 0.45005
448e-9 2.21783 0.44835
449e-9 2.21909 0.4505
450e-9 2.22029 0.45258
451e-9 2.22195 0.45234
452e-9 2.22317 0.45243
453e-9 2.224 0.45252
454e-9 2.22478 0.45136
455e-9 2.22542 0.45127
456e-9 2.22616 0.44983
457e-9 2.227 0.44965
458e-9 2.22787 0.44786
459e-9 2.22876 0.44699
460e-9 2.22948 0.44416
461e-9 2.23025 0.44335
462e-9 2.23106 0.44127
463e-9 2.23182 0.44018
464e-9 2.23283 0.43765
465e-9 2.23374 0.43467
466e-9 2.23455 0.4303
467e-9 2.23549 0.42917
468e-9 2.23645 0.42743
469e-9 2.23728 0.4243
470e-9 2.23825 0.42099
471e-9 2.2392 0.41894
472e-9 2.2401 0.41559
473e-9 2.24097 0.413
474e-9 2.24196 0.40979
475e-9 2.24297 0.40665
476e-9 2.24383 0.40358
477e-9 2.24484 0.39944
478e-9 2.24594 0.39625
479e-9 2.2469 0.39479
480e-9 2.24799 0.3899
481e-9 2.24921 0.38753
482e-9 2.25052 0.38419
483e-9 2.25161 0.38268
484e-9 2.25291 0.37992
485e-9 2.2543 0.37457
486e-9 2.25573 0.37107
487e-9 2.25733 0.36978
488e-9 2.25868 0.36624
489e-9 2.2601 0.36367
490e-9 2.26175 0.36082
491e-9 2.26334 0.35688
492e-9 2.26494 0.35309
493e-9 2.26667 0.35029
494e-9 2.26818 0.34647
495e-9 2.26975 0.34399
496e-9 2.27126 0.34132
497e-9 2.27287 0.33773
498e-9 2.27448 0.33421
499e-9 2.27585 0.3293
500e-9 2.27737 0.32592
501e-9 2.27891 0.32262
502e-9 2.28047 0.31876
503e-9 2.28188 0.31432
504e-9 2.28329 0.3082
505e-9 2.28486 0.3064
506e-9 2.28618 0.30098
507e-9 2.28741 0.29442
508e-9 2.28858 0.29015
509e-9 2.28959 0.28466
510e-9 2.29071 0.27839
511e-9 2.29159 0.27556
512e-9 2.29228 0.2684
513e-9 2.29296 0.2615
514e-9 2.29357 0.25654
515e-9 2.29404 0.2493
516e-9 2.29396 0.24477
517e-9 2.29364 0.23785
518e-9 2.29333 0.23251
519e-9 2.29279 0.22554
520e-9 2.29214 0.21997
521e-9 2.29131 0.21275
522e-9 2.29033 0.20712
523e-9 2.28921 0.20071
524e-9 2.28787 0.19408
525e-9 2.28645 0.18762
526e-9 2.28488 0.18142
527e-9 2.28312 0.17577
528e-9 2.28132 0.16952
529e-9 2.27931 0.1648
530e-9 2.27724 0.15879
531e-9 2.27502 0.15345
532e-9 2.27277 0.14622
533e-9 2.27032 0.14278
534e-9 2.26785 0.13865
535e-9 2.26526 0.13273
536e-9 2.2626 0.12865
537e-9 2.25995 0.12367
538e-9 2.25731 0.12025
539e-9 2.25458 0.11494
540e-9 2.25189 0.11109
541e-9 2.24923 0.10763
542e-9 2.24665 0.10465
543e-9 2.24397 0.10265
544e-9 2.2415 0.09885
545e-9 2.23908 0.09683
546e-9 2.23666 0.09491
547e-9 2.2342 0.09157
548e-9 2.23191 0.08893
549e-9 2.22966 0.08667
550e-9 2.22748 0.08663
551e-9 2.22534 0.08537
552e-9 2.22311 0.08198
553e-9 2.22109 0.08183
554e-9 2.21919 0.07984
555e-9 2.21717 0.07978
556e-9 2.21533 0.08003
557e-9 2.21352 0.07782
558e-9 2.21176 0.07858
559e-9 2.2101 0.0
560e-9 2.20845 0.0
561e-9 2.20694 0.0
562e-9 2.20541 0.0
563e-9 2.20388 0.0
564e-9 2.20246 0.0
565e-9 2.2011 0.0
566e-9 2.19976 0.0
567e-9 2.19843 0.0
568e-9 2.19716 0.0
569e-9 2.19589 0.0
570e-9 2.19466 0.0
571e-9 2.19346 0.0
572e-9 2.1923 0.0
573e-9 2.19116 0.0
574e-9 2.19006 0.0
575e-9 2.18893 0.0
576e-9 2.18785 0.0
577e-9 2.18677 0.0
578e-9 2.18569 0.0
579e-9 2.18462 0.0
580e-9 2.18352 0.0
581e-9 2.18245 0.0
582e-9 2.18136 0.0
583e-9 2.1803 0.0
584e-9 2.17925 0.0
585e-9 2.17816 0.0
586e-9 2.17711 0.0
587e-9 2.17607 0.0
588e-9 2.17501 0.0
589e-9 2.17395 0.0
590e-9 2.17288 0.0
591e-9 2.17186 0.0
592e-9 2.17085 0.0
593e-9 2.16983 0.0
594e-9 2.16883 0.0
595e-9 2.16784 0.0
596e-9 2.16687 0.0
597e-9 2.16596 0.0
598e-9 2.16507 0.0
599e-9 2.16423 0.0
600e-9 2.16339 0.0
601e-9 2.16261 0.0
602e-9 2.16184 0.0
603e-9 2.16111 0.0
604e-9 2.16044 0.0
605e-9 2.15981 0.0
606e-9 2.15926 0.0
607e-9 2.15877 0.0
608e-9 2.15827 0.0
609e-9 2.15781 0.0
610e-9 2.15742 0.0
611e-9 2.15705 0.0
612e-9 2.15674 0.0
613e-9 2.15643 0.0
614e-9 2.15611 0.0
615e-9 2.15583 0.0
616e-9 2.15557 0.0
617e-9 2.15531 0.0
618e-9 2.15501 0.0
619e-9 2.15472 0.0
620e-9 2.15445 0.0
621e-9 2.15411 0.0
622e-9 2.15378 0.0
623e-9 2.15339 0.0
624e-9 2.15296 0.0
625e-9 2.15268 0.0
626e-9 2.15236 0.0
627e-9 2.15199 0.0
628e-9 2.15156 0.0
629e-9 2.15109 0.0
630e-9 2.15054 0.0
631e-9 2.14998 0.0
632e-9 2.14937 0.0
633e-9 2.14872 0.0
634e-9 2.14805 0.0
635e-9 2.14732 0.0
636e-9 2.14655 0.0
637e-9 2.14575 0.0
638e-9 2.14492 0.0
639e-9 2.14407 0.0
640e-9 2.14321 0.0
641e-9 2.14232 0.0
642e-9 2.14141 0.0
643e-9 2.14048 0.0
644e-9 2.13957 0.0
645e-9 2.13865 0.0
646e-9 2.13771 0.0
647e-9 2.13677 0.0
648e-9 2.13581 0.0
649e-9 2.13486 0.0
650e-9 2.1339 0.0
651e-9 2.13294 0.0
652e-9 2.132 0.0
653e-9 2.13107 0.0
654e-9 2.13014 0.0
655e-9 2.12925 0.0
656e-9 2.12833 0.0
657e-9 2.12741 0.0
658e-9 2.12651 0.0
659e-9 2.12561 0.0
660e-9 2.12469 0.0
661e-9 2.12379 0.0
662e-9 2.12288 0.0
663e-9 2.12198 0.0
664e-9 2.12107 0.0
665e-9 2.12017 0.0
666e-9 2.1193 0.0
667e-9 2.11844 0.0
668e-9 2.11759 0.0
669e-9 2.11674 0.0
670e-9 2.11592 0.0
671e-9 2.11508 0.0
672e-9 2.11424 0.0
673e-9 2.11344 0.0
674e-9 2.11266 0.0
675e-9 2.11188 0.0
676e-9 2.11113 0.0
677e-9 2.11039 0.0
678e-9 2.10967 0.0
679e-9 2.10895 0.0
680e-9 2.10822 0.0
681e-9 2.10749 0.0
682e-9 2.10674 0.0
683e-9 2.10598 0.0
684e-9 2.10522 0.0
685e-9 2.10446 0.0
686e-9 2.10367 0.0
687e-9 2.10285 0.0
688e-9 2.10212 0.0
689e-9 2.10153 0.0
690e-9 2.10078 0.0
691e-9 2.09998 0.0
692e-9 2.0992 0.0
693e-9 2.09842 0.0
694e-9 2.09761 0.0
695e-9 2.09685 0.0
696e-9 2.09607 0.0
697e-9 2.09527 0.0
698e-9 2.09446 0.0
699e-9 2.09366 0.0
700e-9 2.09283 0.0
701e-9 2.09203 0.0
702e-9 2.09121 0.0
703e-9 2.0904 0.0
704e-9 2.08961 0.0
705e-9 2.08885 0.0
706e-9 2.08809 0.0
707e-9 2.08735 0.0
708e-9 2.08662 0.0
709e-9 2.08588 0.0
