lambda n k
300e-9 3.46 0.848
301e-9 3.43 0.85333
302e-9 3.4 0.85867
303e-9 3.37 0.864
304e-9 3.34 0.86933
305e-9 3.31 0.87467
306e-9 3.28 0.88
307e-9 3.25 0.88533
308e-9 3.22 0.89067
309e-9 3.19 0.896
310e-9 3.16 0.90133
311e-9 3.13 0.90667
312e-9 3.1 0.912
313e-9 3.07 0.91733
314e-9 3.04 0.92267
315e-9 3.01 0.928
316e-9 2.98 0.93333
317e-9 2.95 0.93867
318e-9 2.92 0.944
319e-9 2.89 0.94933
320e-9 2.86 0.95467
321e-9 2.83 0.96
322e-9 2.8 0.96533
323e-9 2.77 0.97067
324e-9 2.74 0.976
325e-9 2.71 0.98133
326e-9 2.68 0.98667
327e-9 2.65 0.992
328e-9 2.62 0.99733
329e-9 2.59 1.0027
330e-9 2.56 1.008
331e-9 2.53 1.0133
332e-9 2.5 1.0187
333e-9 2.47 1.024
334e-9 2.44 1.0293
335e-9 2.41 1.0347
336e-9 2.38 1.04
337e-9 2.35 1.0453
338e-9 2.32 1.0507
339e-9 2.29 1.056
340e-9 2.26 1.0613
341e-9 2.23 1.0667
342e-9 2.2 1.072
343e-9 2.17 1.0773
344e-9 2.14 1.0827
345e-9 2.11 1.088
346e-9 2.08 1.0933
347e-9 2.05 1.0987
348e-9 2.02 1.104
349e-9 1.99 1.1093
350e-9 1.96 1.1147
351e-9 1.93 1.12
352e-9 1.9 1.1253
353e-9 1.87 1.1307
354e-9 1.84 1.136
355e-9 1.81 1.1413
356e-9 1.78 1.1467
357e-9 1.76 1.152
358e-9 1.73 1.1573
359e-9 1.72 1.1627
360e-9 1.71 1.168
361e-9 1.68 1.1733
362e-9 1.65 1.1787
363e-9 1.63 1.184
364e-9 1.61 1.1893
365e-9 1.59 1.1947
366e-9 1.57 1.2
367e-9 1.55 1.2053
368e-9 1.52 1.2107
369e-9 1.51 1.216
370e-9 1.49 1.2213
371e-9 1.48 1.2267
372e-9 1.47 1.232
373e-9 1.45 1.2373
374e-9 1.43 1.2427
375e-9 1.42 1.248
376e-9 1.4 1.2533
377e-9 1.39 1.2587
378e-9 1.37 1.264
379e-9 1.36 1.2693
380e-9 1.34 1.2747
381e-9 1.33 1.28
382e-9 1.32 1.2858
383e-9 1.31 1.2917
384e-9 1.3 1.2975
385e-9 1.29 1.3033
386e-9 1.28 1.3092
387e-9 1.27 1.315
388e-9 1.26 1.3208
389e-9 1.25 1.3267
390e-9 1.24 1.3325
391e-9 1.23 1.3383
392e-9 1.22 1.3442
393e-9 1.21 1.35
394e-9 1.205 1.3553
395e-9 1.2 1.3607
396e-9 1.19 1.366
397e-9 1.19 1.3713
398e-9 1.18 1.3767
399e-9 1.17 1.382
400e-9 1.16 1.3873
401e-9 1.16 1.3927
402e-9 1.15 1.398
403e-9 1.15 1.4033
404e-9 1.14 1.4087
405e-9 1.14 1.414
406e-9 1.14 1.4193
407e-9 1.13 1.4247
408e-9 1.13 1.43
409e-9 1.12 1.435
410e-9 1.12 1.44
411e-9 1.11 1.445
412e-9 1.11 1.45
413e-9 1.11 1.455
414e-9 1.11 1.46
415e-9 1.1 1.465
416e-9 1.1 1.47
417e-9 1.1 1.475
418e-9 1.1 1.48
419e-9 1.1 1.485
420e-9 1.1 1.49
421e-9 1.1 1.495
422e-9 1.09 1.5
423e-9 1.09 1.5062
424e-9 1.09 1.5123
425e-9 1.09 1.5185
426e-9 1.09 1.5246
427e-9 1.09 1.5308
428e-9 1.09 1.5369
429e-9 1.09 1.5431
430e-9 1.09 1.5492
431e-9 1.09 1.5554
432e-9 1.09 1.5615
433e-9 1.09 1.5677
434e-9 1.09 1.5738
435e-9 1.09 1.58
436e-9 1.1 1.5847
437e-9 1.1 1.5893
438e-9 1.1 1.594
439e-9 1.1 1.5987
440e-9 1.1 1.6033
441e-9 1.1 1.608
442e-9 1.1 1.6127
443e-9 1.1 1.6173
444e-9 1.11 1.622
445e-9 1.11 1.6267
446e-9 1.11 1.6313
447e-9 1.11 1.636
448e-9 1.12 1.6407
449e-9 1.12 1.6453
450e-9 1.12 1.65
451e-9 1.125 1.655
452e-9 1.13 1.66
453e-9 1.13 1.665
454e-9 1.13 1.67
455e-9 1.14 1.675
456e-9 1.14 1.68
457e-9 1.15 1.685
458e-9 1.15 1.69
459e-9 1.15 1.695
460e-9 1.16 1.7
461e-9 1.16 1.705
462e-9 1.17 1.71
463e-9 1.17 1.715
464e-9 1.17 1.72
465e-9 1.18 1.725
466e-9 1.18 1.73
467e-9 1.19 1.735
468e-9 1.19 1.74
469e-9 1.19 1.745
470e-9 1.2 1.75
471e-9 1.2 1.755
472e-9 1.21 1.76
473e-9 1.22 1.765
474e-9 1.22 1.77
475e-9 1.22 1.775
476e-9 1.23 1.78
477e-9 1.23 1.785
478e-9 1.24 1.79
479e-9 1.24 1.795
480e-9 1.25 1.8
481e-9 1.26 1.805
482e-9 1.26 1.81
483e-9 1.27 1.815
484e-9 1.27 1.82
485e-9 1.2733 1.825
486e-9 1.28 1.83
487e-9 1.29 1.835
488e-9 1.29 1.84
489e-9 1.3 1.845
490e-9 1.3 1.85
491e-9 1.31 1.855
492e-9 1.32 1.86
493e-9 1.32 1.8647
494e-9 1.33 1.8693
495e-9 1.34 1.874
496e-9 1.34 1.8787
497e-9 1.3433 1.8833
498e-9 1.35 1.888
499e-9 1.36 1.8927
500e-9 1.37 1.8973
501e-9 1.37 1.902
502e-9 1.38 1.9067
503e-9 1.38 1.9113
504e-9 1.39 1.916
505e-9 1.4 1.9207
506e-9 1.41 1.9253
507e-9 1.42 1.93
508e-9 1.42 1.9343
509e-9 1.42 1.9386
510e-9 1.43 1.9429
511e-9 1.44 1.9471
512e-9 1.44 1.9514
513e-9 1.45 1.9557
514e-9 1.46 1.96
515e-9 1.46 1.9643
516e-9 1.47 1.9686
517e-9 1.48 1.9729
518e-9 1.49 1.9771
519e-9 1.5 1.9814
520e-9 1.5 1.9857
521e-9 1.5 1.99
522e-9 1.51 1.9947
523e-9 1.52 1.9993
524e-9 1.53 2.004
525e-9 1.53 2.0087
526e-9 1.54 2.0133
527e-9 1.55 2.018
528e-9 1.56 2.0227
529e-9 1.56 2.0273
530e-9 1.57 2.032
531e-9 1.575 2.0367
532e-9 1.58 2.0413
533e-9 1.59 2.046
534e-9 1.6 2.0507
535e-9 1.6 2.0553
536e-9 1.61 2.06
537e-9 1.62 2.0643
538e-9 1.63 2.0686
539e-9 1.64 2.0729
540e-9 1.65 2.0771
541e-9 1.65 2.0814
542e-9 1.66 2.0857
543e-9 1.665 2.09
544e-9 1.67 2.0943
545e-9 1.68 2.0986
546e-9 1.68 2.1029
547e-9 1.69 2.1071
548e-9 1.7 2.1114
549e-9 1.71 2.1157
550e-9 1.72 2.12
551e-9 1.73 2.1247
552e-9 1.73 2.1293
553e-9 1.74 2.134
554e-9 1.745 2.1387
555e-9 1.75 2.1433
556e-9 1.76 2.148
557e-9 1.77 2.1527
558e-9 1.77 2.1573
559e-9 1.78 2.162
560e-9 1.79 2.1667
561e-9 1.8 2.1713
562e-9 1.81 2.176
563e-9 1.82 2.1807
564e-9 1.82 2.1853
565e-9 1.84 2.19
566e-9 1.84 2.1947
567e-9 1.84 2.1993
568e-9 1.85 2.204
569e-9 1.86 2.2087
570e-9 1.87 2.2133
571e-9 1.88 2.218
572e-9 1.88 2.2227
573e-9 1.89 2.2273
574e-9 1.9 2.232
575e-9 1.91 2.2367
576e-9 1.92 2.2413
577e-9 1.9267 2.246
578e-9 1.93 2.2507
579e-9 1.93 2.2553
580e-9 1.94 2.26
581e-9 1.95 2.2636
582e-9 1.96 2.2671
583e-9 1.97 2.2707
584e-9 1.97 2.2743
585e-9 1.98 2.2779
586e-9 1.99 2.2814
587e-9 2.0 2.285
588e-9 2.01 2.2886
589e-9 2.015 2.2921
590e-9 2.02 2.2957
591e-9 2.03 2.2993
592e-9 2.04 2.3029
593e-9 2.04 2.3064
594e-9 2.05 2.31
595e-9 2.06 2.3143
596e-9 2.07 2.3186
597e-9 2.08 2.3229
598e-9 2.08 2.3271
599e-9 2.09 2.3314
600e-9 2.095 2.3357
601e-9 2.1 2.34
602e-9 2.11 2.3443
603e-9 2.12 2.3486
604e-9 2.13 2.3529
605e-9 2.14 2.3571
606e-9 2.14 2.3614
607e-9 2.15 2.3657
608e-9 2.16 2.37
609e-9 2.17 2.3746
610e-9 2.18 2.3792
611e-9 2.18 2.3838
612e-9 2.1833 2.3885
613e-9 2.19 2.3931
614e-9 2.2 2.3977
615e-9 2.21 2.4023
616e-9 2.22 2.4069
617e-9 2.23 2.4115
618e-9 2.23 2.4162
619e-9 2.24 2.4208
620e-9 2.25 2.4254
621e-9 2.26 2.43
622e-9 2.27 2.434
623e-9 2.2767 2.438
624e-9 2.28 2.442
625e-9 2.28 2.446
626e-9 2.29 2.45
627e-9 2.3 2.454
628e-9 2.31 2.458
629e-9 2.32 2.462
630e-9 2.33 2.466
631e-9 2.33 2.47
632e-9 2.34 2.474
633e-9 2.35 2.478
634e-9 2.36 2.482
635e-9 2.3667 2.486
636e-9 2.37 2.49
637e-9 2.37 2.4947
638e-9 2.38 2.4993
639e-9 2.39 2.504
640e-9 2.4 2.5087
641e-9 2.41 2.5133
642e-9 2.42 2.518
643e-9 2.43 2.5227
644e-9 2.43 2.5273
645e-9 2.44 2.532
646e-9 2.4467 2.5367
647e-9 2.45 2.5413
648e-9 2.45 2.546
649e-9 2.46 2.5507
650e-9 2.47 2.5553
651e-9 2.48 2.56
652e-9 2.49 2.5633
653e-9 2.5 2.5667
654e-9 2.5 2.57
655e-9 2.51 2.5733
656e-9 2.52 2.5767
657e-9 2.525 2.58
658e-9 2.53 2.5833
659e-9 2.54 2.5867
660e-9 2.54 2.59
661e-9 2.55 2.5933
662e-9 2.56 2.5967
663e-9 2.57 2.6
664e-9 2.58 2.6033
665e-9 2.59 2.6067
666e-9 2.6 2.61
667e-9 2.61 2.6133
668e-9 2.61 2.6167
669e-9 2.615 2.62
670e-9 2.62 2.6233
671e-9 2.62 2.6267
672e-9 2.63 2.63
673e-9 2.64 2.6345
674e-9 2.65 2.6391
675e-9 2.65 2.6436
676e-9 2.66 2.6482
677e-9 2.67 2.6527
678e-9 2.67 2.6573
679e-9 2.68 2.6618
680e-9 2.6867 2.6664
681e-9 2.69 2.6709
682e-9 2.69 2.6755
683e-9 2.7 2.68
684e-9 2.72 2.6845
685e-9 2.72 2.6891
686e-9 2.73 2.6936
687e-9 2.74 2.6982
688e-9 2.75 2.7027
689e-9 2.75 2.7073
690e-9 2.76 2.7118
691e-9 2.77 2.7164
692e-9 2.7767 2.7209
693e-9 2.78 2.7255
694e-9 2.78 2.73
695e-9 2.79 2.734
696e-9 2.8 2.738
697e-9 2.81 2.742
698e-9 2.81 2.746
699e-9 2.82 2.75
700e-9 2.83 2.754
701e-9 2.84 2.758
702e-9 2.84 2.762
703e-9 2.8433 2.766
704e-9 2.85 2.77
705e-9 2.86 2.774
706e-9 2.87 2.778
707e-9 2.87 2.782
708e-9 2.88 2.786
709e-9 2.89 2.79
710e-9 2.9 2.794
711e-9 2.91 2.798
712e-9 2.91 2.802
713e-9 2.92 2.806
714e-9 2.92 2.81
715e-9 2.9233 2.814
716e-9 2.93 2.818
717e-9 2.94 2.822
718e-9 2.95 2.826
719e-9 2.95 2.83
720e-9 2.96 2.834
721e-9 2.97 2.838
722e-9 2.98 2.842
723e-9 2.98 2.846
724e-9 2.99 2.85
725e-9 3.0 2.8538
726e-9 3.0 2.8575
727e-9 3.0 2.8613
728e-9 3.01 2.865
729e-9 3.02 2.8687
730e-9 3.03 2.8725
731e-9 3.03 2.8763
732e-9 3.04 2.88
733e-9 3.05 2.8838
734e-9 3.05 2.8875
735e-9 3.06 2.8913
736e-9 3.07 2.895
737e-9 3.08 2.8988
738e-9 3.08 2.9025
739e-9 3.08 2.9063
740e-9 3.09 2.91
741e-9 3.1 2.9143
742e-9 3.1 2.9186
743e-9 3.11 2.9229
744e-9 3.12 2.9271
745e-9 3.12 2.9314
746e-9 3.13 2.9357
747e-9 3.14 2.94
748e-9 3.14 2.9443
749e-9 3.1433 2.9486
750e-9 3.15 2.9529
751e-9 3.16 2.9571
752e-9 3.16 2.9614
753e-9 3.17 2.9657
754e-9 3.18 2.97
755e-9 3.19 2.974
756e-9 3.19 2.978
757e-9 3.2 2.982
758e-9 3.2 2.986
759e-9 3.21 2.99
760e-9 3.22 2.994
761e-9 3.2267 2.998
762e-9 3.23 3.002
763e-9 3.23 3.006
764e-9 3.24 3.01
765e-9 3.24 3.014
766e-9 3.25 3.018
767e-9 3.26 3.022
768e-9 3.27 3.026
769e-9 3.27 3.03
770e-9 3.28 3.0337
771e-9 3.28 3.0375
772e-9 3.2833 3.0412
773e-9 3.29 3.045
774e-9 3.3 3.0487
775e-9 3.3 3.0525
776e-9 3.31 3.0562
777e-9 3.32 3.06
778e-9 3.32 3.0637
779e-9 3.33 3.0675
780e-9 3.34 3.0713
781e-9 3.34 3.075
782e-9 3.35 3.0787
783e-9 3.36 3.0825
784e-9 3.36 3.0862
785e-9 3.36 3.09
786e-9 3.37 3.094
787e-9 3.38 3.098
788e-9 3.38 3.102
789e-9 3.39 3.106
790e-9 3.39 3.11
791e-9 3.4 3.114
792e-9 3.41 3.118
793e-9 3.41 3.122
794e-9 3.42 3.126
795e-9 3.4267 3.13
796e-9 3.43 3.134
797e-9 3.43 3.138
798e-9 3.44 3.142
799e-9 3.44 3.146
800e-9 3.45 3.15
