lambda n k
300e-9 2.18492 0.03102
301e-9 2.1817 0.03068
302e-9 2.17853 0.03035
303e-9 2.17539 0.03002
304e-9 2.17228 0.0297
305e-9 2.16923 0.02938
306e-9 2.16619 0.02907
307e-9 2.1632 0.02877
308e-9 2.16024 0.02847
309e-9 2.15731 0.02817
310e-9 2.15443 0.02788
311e-9 2.15157 0.02759
312e-9 2.14874 0.02731
313e-9 2.14595 0.02704
314e-9 2.14318 0.02676
315e-9 2.14045 0.0265
316e-9 2.13775 0.02623
317e-9 2.13507 0.02597
318e-9 2.13244 0.02572
319e-9 2.12983 0.02547
320e-9 2.12724 0.02522
321e-9 2.12469 0.02498
322e-9 2.12216 0.02474
323e-9 2.11967 0.02451
324e-9 2.1172 0.02427
325e-9 2.11474 0.02405
326e-9 2.11233 0.02382
327e-9 2.10994 0.0236
328e-9 2.10757 0.02338
329e-9 2.10523 0.02317
330e-9 2.10291 0.02296
331e-9 2.10062 0.02275
332e-9 2.09836 0.02254
333e-9 2.09611 0.02234
334e-9 2.09389 0.02214
335e-9 2.09169 0.02195
336e-9 2.08951 0.02175
337e-9 2.08737 0.02157
338e-9 2.08523 0.02138
339e-9 2.08313 0.02119
340e-9 2.08104 0.02101
341e-9 2.07897 0.02083
342e-9 2.07693 0.02066
343e-9 2.07491 0.02048
344e-9 2.0729 0.02031
345e-9 2.07093 0.02014
346e-9 2.06896 0.01997
347e-9 2.06702 0.01981
348e-9 2.0651 0.01965
349e-9 2.06319 0.01949
350e-9 2.06131 0.01933
351e-9 2.05944 0.01917
352e-9 2.05759 0.01902
353e-9 2.05576 0.01887
354e-9 2.05395 0.01872
355e-9 2.05215 0.01857
356e-9 2.05037 0.01842
357e-9 2.04861 0.01828
358e-9 2.04687 0.01814
359e-9 2.04514 0.018
360e-9 2.04343 0.01786
361e-9 2.04174 0.01773
362e-9 2.04006 0.01759
363e-9 2.0384 0.01746
364e-9 2.03675 0.01733
365e-9 2.03512 0.0172
366e-9 2.03351 0.01707
367e-9 2.03191 0.01695
368e-9 2.03032 0.01682
369e-9 2.02875 0.0167
370e-9 2.0272 0.01658
371e-9 2.02565 0.01646
372e-9 2.02413 0.01634
373e-9 2.02261 0.01622
374e-9 2.02111 0.01611
375e-9 2.01963 0.016
376e-9 2.01815 0.01588
377e-9 2.0167 0.01577
378e-9 2.01525 0.01566
379e-9 2.01382 0.01555
380e-9 2.0124 0.01545
381e-9 2.01099 0.01534
382e-9 2.00959 0.01524
383e-9 2.00821 0.01513
384e-9 2.00684 0.01503
385e-9 2.00548 0.01493
386e-9 2.00414 0.01483
387e-9 2.0028 0.01473
388e-9 2.00148 0.01464
389e-9 2.00017 0.01454
390e-9 1.99887 0.01445
391e-9 1.99758 0.01435
392e-9 1.9963 0.01426
393e-9 1.99504 0.01417
394e-9 1.99378 0.01408
395e-9 1.99254 0.01399
396e-9 1.99131 0.0139
397e-9 1.99008 0.01381
398e-9 1.98887 0.01372
399e-9 1.98767 0.01364
400e-9 1.98647 0.01355
401e-9 1.98529 0.01347
402e-9 1.98412 0.01339
403e-9 1.98295 0.01331
404e-9 1.9818 0.01322
405e-9 1.98066 0.01314
406e-9 1.97952 0.01307
407e-9 1.9784 0.01299
408e-9 1.97728 0.01291
409e-9 1.97618 0.01283
410e-9 1.97508 0.01276
411e-9 1.97399 0.01268
412e-9 1.97291 0.01261
413e-9 1.97184 0.01253
414e-9 1.97078 0.01246
415e-9 1.96973 0.01239
416e-9 1.96868 0.01232
417e-9 1.96765 0.01225
418e-9 1.96662 0.01218
419e-9 1.9656 0.01211
420e-9 1.96459 0.01204
421e-9 1.96359 0.01197
422e-9 1.96259 0.01191
423e-9 1.9616 0.01184
424e-9 1.96062 0.01178
425e-9 1.95965 0.01171
426e-9 1.95869 0.01165
427e-9 1.95773 0.01158
428e-9 1.95678 0.01152
429e-9 1.95584 0.01146
430e-9 1.9549 0.0114
431e-9 1.95397 0.01134
432e-9 1.95305 0.01128
433e-9 1.95214 0.01122
434e-9 1.95123 0.01116
435e-9 1.95033 0.0111
436e-9 1.94944 0.01104
437e-9 1.94855 0.01098
438e-9 1.94767 0.01093
439e-9 1.9468 0.01087
440e-9 1.94594 0.01081
441e-9 1.94508 0.01076
442e-9 1.94422 0.0107
443e-9 1.94338 0.01065
444e-9 1.94254 0.0106
445e-9 1.9417 0.01054
446e-9 1.94087 0.01049
447e-9 1.94005 0.01044
448e-9 1.93924 0.01039
449e-9 1.93843 0.01034
450e-9 1.93763 0.01028
451e-9 1.93683 0.01023
452e-9 1.93604 0.01018
453e-9 1.93525 0.01013
454e-9 1.93447 0.01009
455e-9 1.93369 0.01004
456e-9 1.93293 0.00999
457e-9 1.93216 0.00994
458e-9 1.9314 0.0099
459e-9 1.93065 0.00985
460e-9 1.9299 0.0098
461e-9 1.92916 0.00976
462e-9 1.92842 0.00971
463e-9 1.92769 0.00967
464e-9 1.92697 0.00962
465e-9 1.92625 0.00958
466e-9 1.92553 0.00953
467e-9 1.92482 0.00949
468e-9 1.92411 0.00945
469e-9 1.92341 0.0094
470e-9 1.92272 0.00936
