lambda n k
300e-9 1.79768 0.1937
301e-9 1.79572 0.19028
302e-9 1.79378 0.18699
303e-9 1.79186 0.18375
304e-9 1.78996 0.18059
305e-9 1.78808 0.17752
306e-9 1.78621 0.1745
307e-9 1.78437 0.17157
308e-9 1.78254 0.1687
309e-9 1.78073 0.16588
310e-9 1.77894 0.16316
311e-9 1.77716 0.16048
312e-9 1.7754 0.15785
313e-9 1.77367 0.15531
314e-9 1.77194 0.1528
315e-9 1.77023 0.15035
316e-9 1.76854 0.14797
317e-9 1.76686 0.14561
318e-9 1.7652 0.14334
319e-9 1.76356 0.1411
320e-9 1.76193 0.13891
321e-9 1.76032 0.13678
322e-9 1.75871 0.13467
323e-9 1.75713 0.13263
324e-9 1.75556 0.13062
325e-9 1.754 0.12865
326e-9 1.75247 0.12673
327e-9 1.75094 0.12485
328e-9 1.74942 0.123
329e-9 1.74793 0.1212
330e-9 1.74644 0.11943
331e-9 1.74497 0.1177
332e-9 1.74351 0.11601
333e-9 1.74206 0.11434
334e-9 1.74063 0.11271
335e-9 1.73921 0.11112
336e-9 1.7378 0.10955
337e-9 1.73641 0.10802
338e-9 1.73503 0.10652
339e-9 1.73366 0.10504
340e-9 1.7323 0.1036
341e-9 1.73095 0.10218
342e-9 1.72962 0.1008
343e-9 1.7283 0.09944
344e-9 1.72698 0.09809
345e-9 1.72568 0.09679
346e-9 1.72439 0.0955
347e-9 1.72312 0.09424
348e-9 1.72185 0.09301
349e-9 1.72059 0.09179
350e-9 1.71935 0.0906
351e-9 1.71812 0.08943
352e-9 1.71689 0.08828
353e-9 1.71568 0.08716
354e-9 1.71448 0.08605
355e-9 1.71328 0.08496
356e-9 1.7121 0.0839
357e-9 1.71093 0.08285
358e-9 1.70977 0.08183
359e-9 1.70861 0.08082
360e-9 1.70747 0.07982
361e-9 1.70633 0.07885
362e-9 1.70521 0.07789
363e-9 1.70409 0.07695
364e-9 1.70299 0.07603
365e-9 1.70189 0.07512
366e-9 1.7008 0.07423
367e-9 1.69972 0.07335
368e-9 1.69865 0.07249
369e-9 1.69759 0.07165
370e-9 1.69653 0.07081
371e-9 1.69549 0.06999
372e-9 1.69445 0.06919
373e-9 1.69342 0.0684
374e-9 1.6924 0.06762
375e-9 1.69139 0.06686
376e-9 1.69039 0.0661
377e-9 1.68939 0.06536
378e-9 1.68841 0.06464
379e-9 1.68742 0.06392
380e-9 1.68645 0.06322
381e-9 1.68549 0.06252
382e-9 1.68453 0.06184
383e-9 1.68358 0.06117
384e-9 1.68264 0.06051
385e-9 1.6817 0.05986
386e-9 1.68078 0.05922
387e-9 1.67986 0.05859
388e-9 1.67894 0.05797
389e-9 1.67804 0.05736
390e-9 1.67714 0.05676
391e-9 1.67625 0.05617
392e-9 1.67536 0.05559
393e-9 1.67448 0.05502
394e-9 1.67361 0.05445
395e-9 1.67274 0.0539
396e-9 1.67188 0.05335
397e-9 1.67103 0.05281
398e-9 1.67018 0.05228
399e-9 1.66935 0.05176
400e-9 1.66851 0.05124
401e-9 1.66769 0.05074
402e-9 1.66686 0.05024
403e-9 1.66605 0.04974
404e-9 1.66524 0.04926
405e-9 1.66444 0.04878
406e-9 1.66364 0.04831
407e-9 1.66285 0.04785
408e-9 1.66206 0.04739
409e-9 1.66128 0.04694
410e-9 1.66051 0.04649
411e-9 1.65974 0.04605
412e-9 1.65898 0.04562
413e-9 1.65822 0.0452
414e-9 1.65747 0.04478
415e-9 1.65672 0.04437
416e-9 1.65598 0.04396
417e-9 1.65525 0.04355
418e-9 1.65452 0.04316
419e-9 1.65379 0.04276
420e-9 1.65307 0.04238
421e-9 1.65236 0.042
422e-9 1.65165 0.04162
423e-9 1.65094 0.04125
424e-9 1.65024 0.04089
425e-9 1.64955 0.04053
426e-9 1.64886 0.04017
427e-9 1.64817 0.03982
428e-9 1.64749 0.03948
429e-9 1.64682 0.03913
430e-9 1.64615 0.0388
431e-9 1.64548 0.03846
432e-9 1.64482 0.03814
433e-9 1.64416 0.03781
434e-9 1.64351 0.03749
435e-9 1.64286 0.03718
436e-9 1.64222 0.03687
437e-9 1.64158 0.03656
438e-9 1.64095 0.03625
