lambda n k
300e-9 1.73051 0.2112
301e-9 1.74332 0.22201
302e-9 1.7563 0.2312
303e-9 1.76918 0.23952
304e-9 1.78191 0.2465
305e-9 1.79412 0.25143
306e-9 1.806 0.25524
307e-9 1.81709 0.25671
308e-9 1.82744 0.25672
309e-9 1.83728 0.25575
310e-9 1.84572 0.25323
311e-9 1.85348 0.25038
312e-9 1.86031 0.24706
313e-9 1.86566 0.24367
314e-9 1.87026 0.24038
315e-9 1.87337 0.23748
316e-9 1.87537 0.23494
317e-9 1.87667 0.23263
318e-9 1.87662 0.23065
319e-9 1.87608 0.22876
320e-9 1.87495 0.22695
321e-9 1.87315 0.22513
322e-9 1.87111 0.22325
323e-9 1.86871 0.22124
324e-9 1.86611 0.21909
325e-9 1.86339 0.21688
326e-9 1.86048 0.21461
327e-9 1.8575 0.21238
328e-9 1.85445 0.21021
329e-9 1.85135 0.20824
330e-9 1.84823 0.2064
331e-9 1.84513 0.20482
332e-9 1.84207 0.20357
333e-9 1.83906 0.2025
334e-9 1.83617 0.20176
335e-9 1.83339 0.20113
336e-9 1.83072 0.2006
337e-9 1.82832 0.20013
338e-9 1.82604 0.19963
339e-9 1.82401 0.19909
340e-9 1.82228 0.19838
341e-9 1.82072 0.19757
342e-9 1.81954 0.1965
343e-9 1.81854 0.19527
344e-9 1.81768 0.19391
345e-9 1.81702 0.19235
346e-9 1.81638 0.19071
347e-9 1.8158 0.18896
348e-9 1.81517 0.18712
349e-9 1.8145 0.18524
350e-9 1.8137 0.18331
351e-9 1.81274 0.18136
352e-9 1.81168 0.1794
353e-9 1.81037 0.17744
354e-9 1.809 0.17548
355e-9 1.80751 0.17352
356e-9 1.80593 0.17159
357e-9 1.80432 0.16966
358e-9 1.80266 0.16775
359e-9 1.801 0.16588
360e-9 1.79934 0.16402
361e-9 1.79774 0.16222
362e-9 1.79616 0.16044
363e-9 1.79463 0.1587
364e-9 1.79312 0.15701
365e-9 1.79162 0.15536
366e-9 1.79011 0.15375
367e-9 1.78857 0.15218
368e-9 1.787 0.15065
369e-9 1.78534 0.14917
370e-9 1.78362 0.14773
371e-9 1.78182 0.14633
372e-9 1.77988 0.14498
373e-9 1.77787 0.14367
374e-9 1.77572 0.1424
375e-9 1.77352 0.14117
376e-9 1.77128 0.13998
377e-9 1.76902 0.13884
378e-9 1.76679 0.13774
379e-9 1.7646 0.13667
380e-9 1.76253 0.13567
381e-9 1.76054 0.13469
382e-9 1.75869 0.13375
383e-9 1.75704 0.13287
384e-9 1.75551 0.13201
385e-9 1.75428 0.13121
386e-9 1.7532 0.13042
387e-9 1.75227 0.12964
388e-9 1.75157 0.12885
389e-9 1.75094 0.12803
