lambda n k
300e-9 1.51181 0.12989
301e-9 1.50863 0.13137
302e-9 1.50531 0.1329
303e-9 1.50198 0.13449
304e-9 1.49864 0.13615
305e-9 1.49543 0.138
306e-9 1.49228 0.13993
307e-9 1.48924 0.14203
308e-9 1.48625 0.14422
309e-9 1.48329 0.14645
310e-9 1.4804 0.14873
311e-9 1.47755 0.151
312e-9 1.47478 0.15325
313e-9 1.47217 0.15544
314e-9 1.46964 0.15768
315e-9 1.46732 0.16008
316e-9 1.46519 0.16284
317e-9 1.4632 0.16583
318e-9 1.46149 0.16932
319e-9 1.45986 0.17285
320e-9 1.45834 0.17643
321e-9 1.4569 0.17979
322e-9 1.45548 0.1831
323e-9 1.45412 0.18638
324e-9 1.45282 0.18992
325e-9 1.45155 0.19362
326e-9 1.45046 0.19776
327e-9 1.44959 0.20181
328e-9 1.44895 0.20577
329e-9 1.44892 0.209
330e-9 1.44915 0.21193
331e-9 1.44982 0.21434
332e-9 1.45066 0.21681
333e-9 1.45157 0.21937
334e-9 1.45242 0.22261
335e-9 1.45324 0.22609
336e-9 1.45405 0.22979
337e-9 1.45498 0.23314
338e-9 1.45601 0.23612
339e-9 1.45722 0.23842
340e-9 1.4585 0.24018
341e-9 1.45978 0.24174
342e-9 1.46092 0.24322
343e-9 1.46187 0.24488
344e-9 1.46267 0.24672
345e-9 1.46324 0.24851
346e-9 1.46379 0.25007
347e-9 1.46431 0.25119
348e-9 1.46493 0.25147
349e-9 1.46557 0.25138
350e-9 1.46621 0.25076
351e-9 1.46672 0.25021
352e-9 1.46715 0.24972
353e-9 1.46723 0.24999
354e-9 1.46721 0.25052
355e-9 1.46704 0.25142
356e-9 1.46686 0.25238
357e-9 1.46673 0.25327
358e-9 1.46677 0.25383
359e-9 1.46694 0.25413
360e-9 1.46718 0.25425
361e-9 1.46742 0.25432
362e-9 1.46758 0.25451
363e-9 1.46762 0.25488
364e-9 1.46734 0.25574
365e-9 1.46686 0.25687
366e-9 1.46595 0.25856
367e-9 1.46459 0.26078
368e-9 1.46294 0.26336
369e-9 1.46055 0.26683
370e-9 1.45804 0.27071
371e-9 1.45538 0.27509
372e-9 1.45309 0.28014
373e-9 1.45114 0.28549
374e-9 1.45 0.29135
375e-9 1.44979 0.29751
376e-9 1.45012 0.30384
377e-9 1.45157 0.31029
378e-9 1.45348 0.31665
379e-9 1.45591 0.32291
380e-9 1.45901 0.32876
381e-9 1.46235 0.33442
382e-9 1.46611 0.33973
383e-9 1.47014 0.34478
384e-9 1.47434 0.34968
385e-9 1.47877 0.35432
386e-9 1.48328 0.35885
387e-9 1.48787 0.36326
388e-9 1.49257 0.36743
389e-9 1.49733 0.37148
390e-9 1.50218 0.37531
391e-9 1.50712 0.37887
392e-9 1.5121 0.38227
393e-9 1.51722 0.3853
394e-9 1.52247 0.38805
395e-9 1.52782 0.39057
396e-9 1.53348 0.39255
397e-9 1.53929 0.39427
398e-9 1.54537 0.39557
399e-9 1.55172 0.39638
400e-9 1.55817 0.39695
401e-9 1.56469 0.39707
402e-9 1.57109 0.39695
403e-9 1.57739 0.39665
404e-9 1.58322 0.39604
405e-9 1.5888 0.39534
406e-9 1.59401 0.3945
407e-9 1.59895 0.39347
408e-9 1.60381 0.39234
409e-9 1.60864 0.39102
410e-9 1.61362 0.38955
411e-9 1.61871 0.38798
412e-9 1.62425 0.38618
413e-9 1.62989 0.38427
414e-9 1.63569 0.38221
415e-9 1.64144 0.37994
416e-9 1.64712 0.37755
417e-9 1.65253 0.37495
418e-9 1.65757 0.37215
419e-9 1.66238 0.36922
420e-9 1.66661 0.36589
421e-9 1.67068 0.36229
422e-9 1.67455 0.35834
423e-9 1.6783 0.35375
424e-9 1.68206 0.34879
425e-9 1.68588 0.34313
426e-9 1.68982 0.3368
427e-9 1.69382 0.33009
428e-9 1.69768 0.32265
429e-9 1.70127 0.31501
430e-9 1.70457 0.30713
431e-9 1.70701 0.2991
432e-9 1.70895 0.29107
433e-9 1.70989 0.2831
434e-9 1.70981 0.27526
435e-9 1.70914 0.26751
436e-9 1.70734 0.25991
437e-9 1.70509 0.25239
438e-9 1.70236 0.24494
439e-9 1.69903 0.23758
440e-9 1.69552 0.23026
441e-9 1.69174 0.22301
442e-9 1.68781 0.21588
443e-9 1.68378 0.20885
444e-9 1.67959 0.20213
445e-9 1.67532 0.19569
446e-9 1.67097 0.1895
447e-9 1.6665 0.18397
448e-9 1.66198 0.17879
449e-9 1.65739 0.1742
450e-9 1.65274 0.17026
