lambda n k
210.0e-9 1.687386 0.377056
211.0e-9 1.696696 0.377929
212.0e-9 1.704806 0.376833
213.0e-9 1.711558 0.374608
214.0e-9 1.71713 0.371958
215.0e-9 1.721982 0.369252
216.0e-9 1.726434 0.36654
217.0e-9 1.730725 0.363859
218.0e-9 1.735196 0.361197
219.0e-9 1.740219 0.358141
220.0e-9 1.745701 0.354086
221.0e-9 1.751208 0.348531
222.0e-9 1.755842 0.341181
223.0e-9 1.758568 0.33271
224.0e-9 1.759183 0.324159
225.0e-9 1.757957 0.316434
226.0e-9 1.755655 0.310253
227.0e-9 1.753327 0.30551
228.0e-9 1.75142 0.301678
229.0e-9 1.75007 0.298298
230.0e-9 1.749195 0.294971
231.0e-9 1.748531 0.291526
232.0e-9 1.747944 0.287997
233.0e-9 1.747393 0.28441
234.0e-9 1.746884 0.280785
235.0e-9 1.746486 0.277096
236.0e-9 1.746227 0.273212
237.0e-9 1.746052 0.268997
238.0e-9 1.745853 0.264332
239.0e-9 1.745454 0.259117
240.0e-9 1.744619 0.253371
241.0e-9 1.743192 0.247194
242.0e-9 1.741055 0.240676
243.0e-9 1.738088 0.233903
244.0e-9 1.734116 0.226988
245.0e-9 1.728981 0.220202
246.0e-9 1.722672 0.213855
247.0e-9 1.71527 0.208239
248.0e-9 1.706934 0.203629
249.0e-9 1.697962 0.200236
250.0e-9 1.68866 0.198059
251.0e-9 1.679211 0.197046
252.0e-9 1.669754 0.197155
253.0e-9 1.660404 0.198344
254.0e-9 1.651249 0.200582
255.0e-9 1.642378 0.203864
256.0e-9 1.633901 0.208196
257.0e-9 1.625951 0.213574
258.0e-9 1.618685 0.21999
259.0e-9 1.612315 0.227416
260.0e-9 1.607102 0.235695
261.0e-9 1.603193 0.244575
262.0e-9 1.600656 0.25381
263.0e-9 1.599514 0.263167
264.0e-9 1.599756 0.272427
265.0e-9 1.601352 0.281371
266.0e-9 1.604235 0.289768
267.0e-9 1.608281 0.297399
268.0e-9 1.613326 0.304072
269.0e-9 1.619168 0.309621
270.0e-9 1.625552 0.313906
271.0e-9 1.632137 0.316893
272.0e-9 1.638662 0.318699
273.0e-9 1.644962 0.319446
274.0e-9 1.65091 0.319244
275.0e-9 1.656394 0.318191
276.0e-9 1.661305 0.316384
277.0e-9 1.66551 0.313945
278.0e-9 1.668926 0.311066
279.0e-9 1.671532 0.307927
280.0e-9 1.673341 0.304693
281.0e-9 1.67439 0.301516
282.0e-9 1.674742 0.298539
283.0e-9 1.674497 0.295883
284.0e-9 1.673769 0.293615
285.0e-9 1.672646 0.291786
286.0e-9 1.671217 0.290444
287.0e-9 1.669579 0.289633
288.0e-9 1.66784 0.289393
289.0e-9 1.666142 0.289757
290.0e-9 1.664687 0.29069
291.0e-9 1.663612 0.292041
292.0e-9 1.662969 0.293664
293.0e-9 1.662773 0.295421
294.0e-9 1.663002 0.297188
295.0e-9 1.663606 0.298851
296.0e-9 1.664488 0.300307
297.0e-9 1.66549 0.301532
298.0e-9 1.666516 0.302601
299.0e-9 1.667529 0.303587
300.0e-9 1.668526 0.304554
301.0e-9 1.669523 0.305561
302.0e-9 1.670558 0.30666
303.0e-9 1.671699 0.307894
304.0e-9 1.673066 0.309271
305.0e-9 1.674757 0.310694
306.0e-9 1.676796 0.312058
307.0e-9 1.679178 0.313267
308.0e-9 1.681873 0.314233
309.0e-9 1.684833 0.314877
310.0e-9 1.687989 0.315128
311.0e-9 1.691239 0.314927
312.0e-9 1.694441 0.314275
313.0e-9 1.697504 0.31324
314.0e-9 1.70038 0.311886
315.0e-9 1.703038 0.310271
316.0e-9 1.705462 0.308448
317.0e-9 1.707643 0.306467
318.0e-9 1.709584 0.304373
319.0e-9 1.711295 0.302208
320.0e-9 1.712798 0.3
321.0e-9 1.714111 0.297762
322.0e-9 1.715243 0.295507
323.0e-9 1.7162 0.293245
