lambda n k
210.0e-9 1.635797 0.392422
211.0e-9 1.647252 0.395698
212.0e-9 1.657141 0.396732
213.0e-9 1.665435 0.396714
214.0e-9 1.672666 0.396596
215.0e-9 1.679882 0.39653
216.0e-9 1.687499 0.395928
217.0e-9 1.695443 0.394291
218.0e-9 1.703306 0.391257
219.0e-9 1.710511 0.386943
220.0e-9 1.716819 0.3817
221.0e-9 1.722159 0.375826
222.0e-9 1.726555 0.369576
223.0e-9 1.730078 0.363126
224.0e-9 1.732796 0.356612
225.0e-9 1.734791 0.35016
226.0e-9 1.736182 0.343873
227.0e-9 1.737108 0.337775
228.0e-9 1.73765 0.331846
229.0e-9 1.737855 0.326074
230.0e-9 1.737756 0.32045
231.0e-9 1.737368 0.314994
232.0e-9 1.73674 0.309746
233.0e-9 1.735955 0.30474
234.0e-9 1.735143 0.300001
235.0e-9 1.734552 0.29545
236.0e-9 1.734316 0.290762
237.0e-9 1.734354 0.285606
238.0e-9 1.734453 0.279692
239.0e-9 1.734209 0.272789
240.0e-9 1.733066 0.265014
241.0e-9 1.730742 0.256718
242.0e-9 1.727115 0.248217
243.0e-9 1.722135 0.2398
244.0e-9 1.715801 0.231744
245.0e-9 1.708155 0.224323
246.0e-9 1.699299 0.217808
247.0e-9 1.689388 0.212458
248.0e-9 1.678657 0.208521
249.0e-9 1.667491 0.206172
250.0e-9 1.656273 0.205322
251.0e-9 1.645215 0.205824
252.0e-9 1.634456 0.207541
253.0e-9 1.624082 0.210342
254.0e-9 1.614107 0.214125
255.0e-9 1.604532 0.218894
256.0e-9 1.595435 0.224685
257.0e-9 1.586938 0.231524
258.0e-9 1.579205 0.239425
259.0e-9 1.572476 0.248376
260.0e-9 1.567058 0.258193
261.0e-9 1.563105 0.26857
262.0e-9 1.56067 0.279212
263.0e-9 1.559739 0.289843
264.0e-9 1.560246 0.300207
265.0e-9 1.562076 0.310076
266.0e-9 1.565086 0.319272
267.0e-9 1.569121 0.327638
268.0e-9 1.574007 0.335039
269.0e-9 1.579541 0.341363
270.0e-9 1.585479 0.346518
271.0e-9 1.591498 0.35052
272.0e-9 1.597367 0.353538
273.0e-9 1.602965 0.355734
274.0e-9 1.608218 0.357255
275.0e-9 1.613083 0.358231
276.0e-9 1.617542 0.358783
277.0e-9 1.621598 0.359012
278.0e-9 1.625261 0.359001
279.0e-9 1.628546 0.358823
280.0e-9 1.63147 0.358549
281.0e-9 1.63406 0.358242
282.0e-9 1.63635 0.357962
283.0e-9 1.638384 0.35776
284.0e-9 1.640213 0.35767
285.0e-9 1.641881 0.357722
286.0e-9 1.643439 0.357941
287.0e-9 1.644939 0.35835
288.0e-9 1.646449 0.358968
289.0e-9 1.648056 0.359806
290.0e-9 1.649892 0.360822
291.0e-9 1.652031 0.361888
292.0e-9 1.654478 0.362883
293.0e-9 1.657208 0.363698
294.0e-9 1.660163 0.364237
295.0e-9 1.663257 0.364415
296.0e-9 1.666357 0.364163
297.0e-9 1.669257 0.363511
298.0e-9 1.671845 0.362609
299.0e-9 1.674092 0.3616
300.0e-9 1.676014 0.360609
301.0e-9 1.677659 0.359751
302.0e-9 1.67911 0.359128
303.0e-9 1.680494 0.358825
304.0e-9 1.682024 0.358866
305.0e-9 1.683874 0.359104
306.0e-9 1.686098 0.359377
307.0e-9 1.688697 0.359542
308.0e-9 1.691638 0.359469
309.0e-9 1.694855 0.35904
310.0e-9 1.698252 0.358153
311.0e-9 1.701679 0.356722
312.0e-9 1.704924 0.35476
