lambda n k
300e-9 1.65172 0.16719
301e-9 1.65159 0.1641
302e-9 1.6512 0.16027
303e-9 1.65066 0.15612
304e-9 1.64987 0.15147
305e-9 1.64875 0.14632
306e-9 1.64745 0.14094
307e-9 1.64582 0.13521
308e-9 1.64404 0.12938
309e-9 1.64216 0.12348
310e-9 1.64026 0.11772
311e-9 1.63842 0.11214
312e-9 1.63665 0.10682
313e-9 1.63502 0.10206
314e-9 1.63345 0.09762
315e-9 1.63203 0.09386
316e-9 1.63073 0.0906
317e-9 1.62952 0.08766
318e-9 1.6285 0.08534
319e-9 1.62758 0.08325
320e-9 1.62677 0.08145
321e-9 1.62617 0.08004
322e-9 1.62566 0.07879
323e-9 1.62533 0.07784
324e-9 1.62514 0.07708
325e-9 1.62503 0.07644
326e-9 1.62508 0.07598
327e-9 1.62521 0.07559
328e-9 1.62541 0.07525
329e-9 1.62577 0.07498
330e-9 1.62621 0.07474
331e-9 1.62681 0.07453
332e-9 1.62753 0.07434
333e-9 1.6283 0.07417
334e-9 1.6291 0.074
335e-9 1.62985 0.07384
336e-9 1.63054 0.07368
337e-9 1.63113 0.07351
338e-9 1.63171 0.07332
339e-9 1.63232 0.07311
340e-9 1.63303 0.07287
341e-9 1.63381 0.07261
342e-9 1.63471 0.0723
343e-9 1.63562 0.07197
344e-9 1.63655 0.07163
345e-9 1.6374 0.07126
346e-9 1.6382 0.0709
347e-9 1.63892 0.07055
348e-9 1.63951 0.07023
349e-9 1.64004 0.06995
350e-9 1.64043 0.06976
351e-9 1.64071 0.06964
352e-9 1.64092 0.06959
353e-9 1.64096 0.06969
354e-9 1.64094 0.06986
355e-9 1.64082 0.07015
356e-9 1.64063 0.07059
357e-9 1.64042 0.07112
358e-9 1.64024 0.07182
359e-9 1.64017 0.07266
360e-9 1.64016 0.0736
361e-9 1.6404 0.07474
362e-9 1.64074 0.0759
363e-9 1.64122 0.07709
364e-9 1.64185 0.07818
365e-9 1.64255 0.07918
366e-9 1.64336 0.07997
367e-9 1.64419 0.08058
368e-9 1.64503 0.08108
369e-9 1.64577 0.08138
370e-9 1.6464 0.08162
371e-9 1.64691 0.08178
372e-9 1.64717 0.08187
373e-9 1.64733 0.08194
374e-9 1.64734 0.08198
375e-9 1.64726 0.08203
376e-9 1.64712 0.08209
377e-9 1.64693 0.08219
378e-9 1.64673 0.08232
379e-9 1.64652 0.08248
380e-9 1.64634 0.08269
381e-9 1.64619 0.08291
382e-9 1.64607 0.08317
383e-9 1.64603 0.08344
384e-9 1.64601 0.08372
385e-9 1.64606 0.08399
386e-9 1.64612 0.08424
387e-9 1.6462 0.08448
388e-9 1.6463 0.08464
389e-9 1.64639 0.08477
390e-9 1.64646 0.08483
391e-9 1.64651 0.08482
392e-9 1.64654 0.08478
393e-9 1.64651 0.08464
394e-9 1.64644 0.08446
395e-9 1.64632 0.08422
396e-9 1.6461 0.08391
397e-9 1.64584 0.08356
398e-9 1.64549 0.08317
399e-9 1.64504 0.08274
400e-9 1.64453 0.08229
401e-9 1.64388 0.08183
402e-9 1.64315 0.08135
403e-9 1.64236 0.08088
404e-9 1.64144 0.08041
405e-9 1.64048 0.07996
406e-9 1.63946 0.07953
407e-9 1.63839 0.07913
408e-9 1.6373 0.07876
409e-9 1.63617 0.07844
410e-9 1.63501 0.07815
411e-9 1.63384 0.07789
412e-9 1.63263 0.07769
413e-9 1.63141 0.07751
414e-9 1.63016 0.07736
415e-9 1.62889 0.07726
416e-9 1.62761 0.07718
417e-9 1.62631 0.07714
418e-9 1.625 0.07711
419e-9 1.62369 0.0771
420e-9 1.62237 0.07712
421e-9 1.62105 0.07715
422e-9 1.61973 0.07719
423e-9 1.61842 0.07725
424e-9 1.6171 0.07731
425e-9 1.61577 0.07739
426e-9 1.61441 0.07748
427e-9 1.61304 0.07759
428e-9 1.61163 0.07771
429e-9 1.61018 0.07785
430e-9 1.6087 0.07801
431e-9 1.60718 0.07818
432e-9 1.60563 0.07837
433e-9 1.60407 0.07856
434e-9 1.60249 0.07875
435e-9 1.60091 0.07894
436e-9 1.59933 0.07913
437e-9 1.59776 0.07932
438e-9 1.5962 0.07949
439e-9 1.59465 0.07966
440e-9 1.59309 0.07982
441e-9 1.59153 0.07998
442e-9 1.58997 0.08012
443e-9 1.58839 0.08026
444e-9 1.58678 0.0804
445e-9 1.58516 0.08053
446e-9 1.58351 0.08066
447e-9 1.58181 0.08079
448e-9 1.58009 0.08091
449e-9 1.57832 0.08105
450e-9 1.57648 0.08119
451e-9 1.57462 0.08133
452e-9 1.57267 0.08149
453e-9 1.57066 0.08166
454e-9 1.56861 0.08184
455e-9 1.56647 0.08205
456e-9 1.56431 0.08227
457e-9 1.56211 0.0825
458e-9 1.55989 0.08277
459e-9 1.55765 0.08304
460e-9 1.5554 0.08335
461e-9 1.55316 0.08368
462e-9 1.55091 0.08403
463e-9 1.54867 0.08442
464e-9 1.54642 0.08483
465e-9 1.54416 0.08527
466e-9 1.54185 0.08574
467e-9 1.53952 0.08623
468e-9 1.53713 0.08676
469e-9 1.53468 0.08732
470e-9 1.53219 0.0879
471e-9 1.5296 0.08853
472e-9 1.52697 0.08918
473e-9 1.52429 0.08985
474e-9 1.52158 0.09056
475e-9 1.51886 0.09127
476e-9 1.51613 0.09202
477e-9 1.51342 0.09278
478e-9 1.51071 0.09355
479e-9 1.50807 0.09434
480e-9 1.50545 0.09514
481e-9 1.50286 0.09594
482e-9 1.50031 0.09677
483e-9 1.49776 0.0976
484e-9 1.49522 0.09845
485e-9 1.49266 0.09932
486e-9 1.49009 0.10019
487e-9 1.48747 0.10109
488e-9 1.48481 0.102
489e-9 1.48211 0.10292
490e-9 1.47933 0.10387
491e-9 1.47652 0.10482
492e-9 1.47366 0.10579
493e-9 1.47076 0.10677
494e-9 1.46785 0.10775
495e-9 1.4649 0.10874
496e-9 1.46194 0.10973
497e-9 1.45898 0.11073
