lambda n k
300e-9 1.62208 0.1436
301e-9 1.62216 0.15114
302e-9 1.62238 0.15785
303e-9 1.62263 0.16397
304e-9 1.62293 0.16916
305e-9 1.62327 0.17273
306e-9 1.62361 0.17535
307e-9 1.62394 0.17588
308e-9 1.62423 0.17491
309e-9 1.6245 0.17293
310e-9 1.62471 0.16936
311e-9 1.6249 0.1655
312e-9 1.62509 0.16123
313e-9 1.62528 0.15707
314e-9 1.62549 0.15313
315e-9 1.62575 0.14989
316e-9 1.62606 0.14739
317e-9 1.62641 0.14534
318e-9 1.62686 0.14414
319e-9 1.62736 0.14322
320e-9 1.62791 0.14264
321e-9 1.62854 0.14236
322e-9 1.6292 0.14216
323e-9 1.62993 0.14204
324e-9 1.63072 0.1419
325e-9 1.63154 0.14174
326e-9 1.63242 0.14153
327e-9 1.63332 0.1413
328e-9 1.63425 0.14103
329e-9 1.6352 0.14072
330e-9 1.63615 0.14038
331e-9 1.6371 0.13999
332e-9 1.63805 0.13956
333e-9 1.63898 0.1391
334e-9 1.63988 0.13855
335e-9 1.64074 0.13793
336e-9 1.64156 0.13725
337e-9 1.64227 0.13641
338e-9 1.64293 0.13549
339e-9 1.64348 0.13443
340e-9 1.64388 0.13321
341e-9 1.6442 0.13189
342e-9 1.64432 0.13037
343e-9 1.6443 0.12879
344e-9 1.64417 0.12714
345e-9 1.6438 0.12545
346e-9 1.64335 0.12377
347e-9 1.64277 0.12213
348e-9 1.64204 0.1206
349e-9 1.64125 0.11913
350e-9 1.64033 0.11784
351e-9 1.63933 0.11671
352e-9 1.63827 0.11568
353e-9 1.63711 0.11487
354e-9 1.63593 0.11413
355e-9 1.63471 0.1135
356e-9 1.63349 0.11296
357e-9 1.63229 0.11246
358e-9 1.63114 0.11202
359e-9 1.63005 0.11161
360e-9 1.62902 0.11121
361e-9 1.62816 0.1108
362e-9 1.62739 0.11039
363e-9 1.62674 0.10997
364e-9 1.62629 0.10956
365e-9 1.62592 0.10914
366e-9 1.62568 0.10873
367e-9 1.62552 0.10833
368e-9 1.62539 0.10794
369e-9 1.6253 0.10757
370e-9 1.62521 0.10721
371e-9 1.62512 0.10687
372e-9 1.62496 0.10656
373e-9 1.62476 0.10626
374e-9 1.62446 0.10598
375e-9 1.62408 0.10572
376e-9 1.62364 0.10546
377e-9 1.62311 0.10521
378e-9 1.62256 0.10495
379e-9 1.62198 0.1047
380e-9 1.62139 0.10445
381e-9 1.6208 0.10418
382e-9 1.62023 0.10391
383e-9 1.61971 0.10362
384e-9 1.61922 0.10332
385e-9 1.61882 0.10298
386e-9 1.61848 0.10262
387e-9 1.6182 0.10224
388e-9 1.61798 0.1018
389e-9 1.61778 0.10132
390e-9 1.61759 0.1008
391e-9 1.61736 0.10021
392e-9 1.61711 0.09958
393e-9 1.61677 0.09886
394e-9 1.61635 0.09808
395e-9 1.61586 0.09725
396e-9 1.61518 0.09632
397e-9 1.6144 0.09535
398e-9 1.61345 0.09433
399e-9 1.61231 0.0933
400e-9 1.61106 0.09226
401e-9 1.60964 0.09122
402e-9 1.60812 0.09022
403e-9 1.60653 0.08923
404e-9 1.60483 0.08833
405e-9 1.60312 0.08748
406e-9 1.60137 0.08671
407e-9 1.59961 0.08606
408e-9 1.59787 0.08547
