lambda n k
350e-9 2.10832 0.02051
351e-9 2.10414 0.0202
352e-9 2.09995 0.01989
353e-9 2.09576 0.01958
354e-9 2.09157 0.01927
355e-9 2.08738 0.01896
356e-9 2.0832 0.01864
357e-9 2.07901 0.01833
358e-9 2.07482 0.01799
359e-9 2.07063 0.0176
360e-9 2.06644 0.0172
361e-9 2.06226 0.0168
362e-9 2.05804 0.01641
363e-9 2.05255 0.01601
364e-9 2.04706 0.01562
365e-9 2.04157 0.01522
366e-9 2.03608 0.01482
367e-9 2.0306 0.01443
368e-9 2.02511 0.01403
369e-9 2.01962 0.01363
370e-9 2.0145 0.01326
371e-9 2.01076 0.01289
372e-9 2.00702 0.01252
373e-9 2.00328 0.01214
374e-9 1.99954 0.01177
375e-9 1.9958 0.0114
376e-9 1.99206 0.01103
377e-9 1.98831 0.01066
378e-9 1.98457 0.01029
379e-9 1.98083 0.00992
380e-9 1.97709 0.00954
381e-9 1.97335 0.00917
382e-9 1.96961 0.0088
383e-9 1.96587 0.00854
384e-9 1.96213 0.00832
385e-9 1.95839 0.0081
386e-9 1.95465 0.00788
387e-9 1.95091 0.00767
388e-9 1.94832 0.00745
389e-9 1.9458 0.00723
390e-9 1.94329 0.00702
391e-9 1.94078 0.0068
392e-9 1.93826 0.00658
393e-9 1.93575 0.00637
394e-9 1.93324 0.00615
395e-9 1.93072 0.00593
396e-9 1.92821 0.00571
397e-9 1.9257 0.0055
398e-9 1.92318 0.00528
399e-9 1.92067 0.00509
400e-9 1.91816 0.00498
401e-9 1.91565 0.00487
402e-9 1.91313 0.00476
403e-9 1.91062 0.00466
404e-9 1.90811 0.00455
405e-9 1.90492 0.00444
406e-9 1.90151 0.00434
407e-9 1.89811 0.00423
408e-9 1.8947 0.00412
409e-9 1.8913 0.00402
410e-9 1.88789 0.00391
411e-9 1.88449 0.0038
412e-9 1.88108 0.0037
413e-9 1.87768 0.00359
414e-9 1.87427 0.00348
415e-9 1.87087 0.00338
416e-9 1.86746 0.00327
417e-9 1.86422 0.00316
418e-9 1.86181 0.00306
419e-9 1.8594 0.00295
420e-9 1.857 0.00284
421e-9 1.85459 0.00277
422e-9 1.85218 0.00271
423e-9 1.84977 0.00265
424e-9 1.84737 0.00259
425e-9 1.84496 0.00253
426e-9 1.84255 0.00246
427e-9 1.84015 0.0024
428e-9 1.83774 0.00234
429e-9 1.83533 0.00228
430e-9 1.83292 0.00222
431e-9 1.83052 0.00215
432e-9 1.82811 0.00209
433e-9 1.82622 0.00203
434e-9 1.82498 0.00197
435e-9 1.82373 0.00191
436e-9 1.82248 0.00185
437e-9 1.82123 0.00178
438e-9 1.81999 0.00172
439e-9 1.81874 0.00166
440e-9 1.81749 0.0016
441e-9 1.81624 0.00154
442e-9 1.815 0.00147
443e-9 1.81375 0.00141
444e-9 1.8125 0.00135
445e-9 1.81126 0.00129
446e-9 1.81001 0.00123
447e-9 1.80876 0.0012
448e-9 1.80751 0.0012
449e-9 1.80627 0.0012
450e-9 1.8051 0.0012
451e-9 1.80417 0.0012
452e-9 1.80324 0.0012
453e-9 1.80231 0.0012
454e-9 1.80138 0.0012
455e-9 1.80045 0.0012
456e-9 1.79952 0.0012
457e-9 1.79859 0.0012
458e-9 1.79766 0.0012
459e-9 1.79673 0.0012
460e-9 1.7958 0.0012
461e-9 1.79487 0.0012
462e-9 1.79394 0.0012
463e-9 1.793 0.0012
464e-9 1.79207 0.0012
465e-9 1.79114 0.0012
466e-9 1.79021 0.0012
467e-9 1.78928 0.0012
468e-9 1.78835 0.0012
469e-9 1.78742 0.0012
470e-9 1.78649 0.00119
471e-9 1.78556 0.00116
472e-9 1.78463 0.00114
473e-9 1.7837 0.00112
474e-9 1.78277 0.00109
475e-9 1.78184 0.00107
476e-9 1.78091 0.00105
477e-9 1.77998 0.00102
478e-9 1.77905 0.000999503
479e-9 1.77812 0.00097596
480e-9 1.77718 0.000952417
481e-9 1.77625 0.000928875
482e-9 1.77532 0.000905332
483e-9 1.77439 0.000881789
484e-9 1.77346 0.000858246
485e-9 1.7727 0.000834703
486e-9 1.772 0.00081116
487e-9 1.77131 0.000787617
488e-9 1.77061 0.000764074
489e-9 1.76991 0.000740531
490e-9 1.76921 0.000716988
491e-9 1.76852 0.000693446
492e-9 1.76782 0.000669903
493e-9 1.76712 0.00064636
494e-9 1.76643 0.000622817
495e-9 1.76573 0.000599274
496e-9 1.76503 0.000575731
497e-9 1.76434 0.000552188
498e-9 1.76364 0.000544328
499e-9 1.76294 0.000544328
500e-9 1.76225 0.000544328
501e-9 1.76155 0.000544328
502e-9 1.76085 0.000544328
503e-9 1.76016 0.000544328
504e-9 1.75946 0.000544328
505e-9 1.75876 0.000544328
506e-9 1.75807 0.000544328
507e-9 1.75737 0.000544328
508e-9 1.75677 0.000544328
509e-9 1.75657 0.000544328
510e-9 1.75637 0.000544328
511e-9 1.75616 0.000544328
512e-9 1.75596 0.000544328
513e-9 1.75576 0.000544328
514e-9 1.75556 0.000544328
515e-9 1.75536 0.000544328
516e-9 1.75516 0.000544328
517e-9 1.75496 0.000544328
518e-9 1.75476 0.000544328
519e-9 1.75456 0.000544328
520e-9 1.75436 0.000544328
521e-9 1.75415 0.000544328
522e-9 1.75395 0.000544328
523e-9 1.75375 0.000544328
524e-9 1.75355 0.000544328
525e-9 1.75335 0.000544328
526e-9 1.75315 0.000544328
527e-9 1.75295 0.000544328
528e-9 1.75275 0.000544328
529e-9 1.75255 0.000544328
530e-9 1.75234 0.000544328
531e-9 1.75214 0.000564102
532e-9 1.75194 0.000589045
533e-9 1.75174 0.000613987
534e-9 1.75154 0.000638929
535e-9 1.75111 0.000663872
536e-9 1.75049 0.000688814
537e-9 1.74987 0.000713756
538e-9 1.74925 0.000738699
539e-9 1.74863 0.000763641
540e-9 1.74801 0.000788583
541e-9 1.74739 0.000813525
542e-9 1.74677 0.000838468
543e-9 1.74615 0.00086341
544e-9 1.74553 0.000888352
545e-9 1.74491 0.000913295
546e-9 1.74429 0.000938237
547e-9 1.74366 0.000963179
548e-9 1.74304 0.000988122
549e-9 1.74242 0.00101
550e-9 1.7418 0.00104
551e-9 1.74118 0.00106
552e-9 1.74047 0.00109
553e-9 1.73949 0.00111
554e-9 1.73851 0.00114
555e-9 1.73754 0.00116
556e-9 1.73656 0.00119
557e-9 1.73559 0.00121
558e-9 1.73461 0.00124
559e-9 1.73363 0.00126
560e-9 1.73266 0.00129
561e-9 1.73168 0.00131
562e-9 1.73071 0.00134
563e-9 1.72973 0.00136
564e-9 1.72875 0.00139
565e-9 1.72778 0.00141
566e-9 1.7268 0.00144
567e-9 1.72583 0.00146
568e-9 1.72485 0.00149
569e-9 1.72387 0.00151
570e-9 1.7229 0.00154
571e-9 1.72192 0.00158
572e-9 1.72095 0.00162
573e-9 1.71997 0.00166
574e-9 1.71915 0.0017
575e-9 1.7187 0.00174
576e-9 1.71824 0.00178
577e-9 1.71779 0.00182
578e-9 1.71733 0.00186
579e-9 1.71688 0.0019
580e-9 1.71642 0.00194
581e-9 1.71597 0.00197
582e-9 1.71551 0.00201
583e-9 1.71505 0.00205
584e-9 1.7146 0.00209
585e-9 1.71414 0.00213
586e-9 1.71369 0.00217
587e-9 1.71323 0.00221
588e-9 1.71278 0.00225
589e-9 1.71232 0.00229
590e-9 1.71186 0.00233
591e-9 1.71141 0.00237
592e-9 1.71095 0.00241
593e-9 1.7105 0.00245
594e-9 1.71004 0.00249
595e-9 1.70959 0.00253
596e-9 1.70913 0.00257
597e-9 1.70868 0.00261
598e-9 1.70824 0.00264
599e-9 1.70781 0.00268
600e-9 1.70739 0.00272
601e-9 1.70696 0.00276
602e-9 1.70653 0.0028
603e-9 1.70611 0.00284
604e-9 1.70568 0.00286
605e-9 1.70525 0.00289
606e-9 1.70482 0.00291
607e-9 1.7044 0.00294
608e-9 1.70397 0.00297
609e-9 1.70354 0.00299
610e-9 1.70312 0.00302
611e-9 1.70269 0.00304
612e-9 1.70226 0.00307
613e-9 1.70183 0.0031
614e-9 1.70141 0.00312
615e-9 1.70098 0.00315
616e-9 1.70055 0.00318
617e-9 1.70012 0.0032
618e-9 1.6997 0.00323
619e-9 1.69927 0.00325
620e-9 1.69884 0.00328
621e-9 1.69842 0.00331
622e-9 1.69799 0.00333
623e-9 1.69748 0.00336
624e-9 1.69694 0.00338
625e-9 1.6964 0.00341
626e-9 1.69586 0.00344
627e-9 1.69532 0.00346
628e-9 1.69478 0.00349
629e-9 1.69424 0.00351
630e-9 1.6937 0.00354
631e-9 1.69316 0.00357
632e-9 1.69261 0.00359
633e-9 1.69207 0.00362
634e-9 1.69153 0.00365
635e-9 1.69099 0.00367
636e-9 1.69045 0.0037
637e-9 1.68991 0.00372
638e-9 1.68937 0.00375
639e-9 1.68883 0.00378
640e-9 1.68829 0.0038
641e-9 1.68775 0.00382
642e-9 1.68721 0.00384
643e-9 1.68675 0.00386
644e-9 1.68648 0.00388
645e-9 1.68622 0.0039
646e-9 1.68596 0.00392
647e-9 1.68569 0.00393
648e-9 1.68543 0.00395
649e-9 1.68516 0.00397
650e-9 1.6849 0.00399
651e-9 1.68464 0.00401
652e-9 1.68437 0.00403
653e-9 1.68411 0.00404
654e-9 1.68385 0.00406
655e-9 1.68358 0.00408
656e-9 1.68332 0.0041
657e-9 1.68305 0.00412
658e-9 1.68279 0.00414
659e-9 1.68253 0.00416
660e-9 1.68226 0.00417
661e-9 1.682 0.00419
662e-9 1.68173 0.00421
663e-9 1.68147 0.00423
664e-9 1.68062 0.00425
665e-9 1.67977 0.00427
666e-9 1.67891 0.00429
667e-9 1.67806 0.0043
668e-9 1.67721 0.00432
669e-9 1.67635 0.00434
670e-9 1.6755 0.00436
671e-9 1.67465 0.00438
672e-9 1.67379 0.0044
673e-9 1.67294 0.00441
674e-9 1.67209 0.00443
675e-9 1.67123 0.00446
676e-9 1.67038 0.00451
677e-9 1.66953 0.00456
678e-9 1.66867 0.00461
679e-9 1.66782 0.00466
680e-9 1.66697 0.00471
