lambda n k
300e-9 0.81154 1.45788
301e-9 0.81804 1.45535
302e-9 0.82455 1.45283
303e-9 0.83105 1.45031
304e-9 0.83756 1.44778
305e-9 0.84406 1.44526
306e-9 0.85056 1.44273
307e-9 0.85707 1.44021
308e-9 0.86357 1.43768
309e-9 0.87007 1.43516
310e-9 0.87658 1.43568
311e-9 0.88308 1.43743
312e-9 0.88958 1.43919
313e-9 0.89819 1.44094
314e-9 0.90686 1.4427
315e-9 0.91554 1.44445
316e-9 0.92421 1.44621
317e-9 0.93288 1.44796
318e-9 0.94156 1.44972
319e-9 0.95023 1.45148
320e-9 0.9589 1.45323
321e-9 0.96758 1.45499
322e-9 0.97625 1.46204
323e-9 0.98514 1.47039
324e-9 0.99409 1.47874
325e-9 1.00304 1.48708
326e-9 1.01199 1.49543
327e-9 1.02094 1.50378
328e-9 1.02989 1.51213
329e-9 1.03884 1.52048
330e-9 1.04779 1.52883
331e-9 1.05673 1.53812
332e-9 1.06568 1.54849
333e-9 1.07463 1.55885
334e-9 1.08038 1.56922
335e-9 1.08508 1.57958
336e-9 1.08979 1.58995
337e-9 1.0945 1.60031
338e-9 1.09921 1.61068
339e-9 1.10392 1.62104
340e-9 1.10863 1.63141
341e-9 1.11334 1.64177
342e-9 1.11805 1.65256
343e-9 1.12276 1.66387
344e-9 1.12747 1.67518
345e-9 1.12942 1.68649
346e-9 1.13024 1.6978
347e-9 1.13107 1.70911
348e-9 1.1319 1.72042
349e-9 1.13272 1.73173
350e-9 1.13355 1.74304
351e-9 1.13437 1.75435
352e-9 1.1352 1.76566
353e-9 1.13602 1.77681
354e-9 1.13685 1.78775
355e-9 1.13768 1.79868
356e-9 1.1385 1.80962
357e-9 1.13933 1.82056
358e-9 1.1365 1.8315
359e-9 1.13347 1.84244
360e-9 1.13043 1.85338
361e-9 1.1274 1.86432
362e-9 1.12437 1.87526
363e-9 1.12134 1.88619
364e-9 1.11831 1.89713
365e-9 1.11528 1.90698
366e-9 1.11225 1.91597
367e-9 1.10921 1.92495
368e-9 1.10618 1.93393
369e-9 1.10309 1.94291
370e-9 1.09702 1.95189
371e-9 1.09095 1.96087
372e-9 1.08488 1.96985
373e-9 1.07881 1.97883
374e-9 1.07274 1.98781
375e-9 1.06667 1.99679
376e-9 1.0606 2.00577
377e-9 1.05454 2.01475
378e-9 1.04847 2.02009
379e-9 1.04308 2.02468
380e-9 1.03808 2.02928
381e-9 1.03309 2.03387
382e-9 1.02809 2.03846
383e-9 1.02309 2.04305
384e-9 1.01809 2.04764
385e-9 1.0131 2.05223
386e-9 1.0081 2.05683
387e-9 1.0031 2.06142
388e-9 0.9981 2.06601
389e-9 0.9931 2.0706
390e-9 0.98811 2.07519
391e-9 0.98311 2.07978
392e-9 0.97811 2.08438
393e-9 0.97307 2.08897
394e-9 0.96776 2.09356
395e-9 0.96245 2.09544
396e-9 0.95714 2.09679
397e-9 0.95183 2.09814
398e-9 0.94652 2.09948
399e-9 0.94121 2.10083
400e-9 0.9359 2.10218
401e-9 0.93058 2.10352
402e-9 0.92527 2.10487
403e-9 0.91996 2.10622
404e-9 0.91465 2.10756
405e-9 0.90934 2.10891
406e-9 0.90403 2.11026
407e-9 0.89995 2.11161
408e-9 0.89708 2.11295
409e-9 0.89421 2.1143
410e-9 0.89134 2.11565
411e-9 0.88847 2.11699
412e-9 0.88559 2.11834
413e-9 0.88272 2.11969
414e-9 0.87985 2.12103
415e-9 0.87698 2.12238
416e-9 0.87411 2.12373
417e-9 0.87124 2.12507
418e-9 0.86837 2.12642
419e-9 0.8655 2.12777
420e-9 0.86262 2.12911
421e-9 0.85975 2.13046
422e-9 0.85688 2.13181
423e-9 0.8545 2.13316
424e-9 0.85319 2.1345
425e-9 0.85188 2.13585
426e-9 0.85057 2.1372
427e-9 0.84926 2.13854
428e-9 0.84795 2.13989
429e-9 0.84664 2.14124
430e-9 0.84532 2.14258
431e-9 0.84401 2.14393
432e-9 0.8427 2.14528
433e-9 0.84139 2.14662
434e-9 0.84008 2.14797
435e-9 0.83877 2.14932
436e-9 0.83746 2.15066
437e-9 0.83614 2.15201
438e-9 0.83483 2.15336
439e-9 0.83352 2.15471
440e-9 0.83221 2.15605
441e-9 0.8309 2.1574
442e-9 0.82959 2.15875
443e-9 0.82897 2.16009
444e-9 0.8286 2.16144
445e-9 0.82823 2.16279
446e-9 0.82786 2.16413
447e-9 0.8275 2.16548
448e-9 0.82713 2.16683
449e-9 0.82676 2.16876
450e-9 0.82639 2.17161
451e-9 0.82602 2.17445
452e-9 0.82566 2.1773
453e-9 0.82529 2.18014
454e-9 0.82492 2.18299
455e-9 0.82455 2.18584
456e-9 0.82418 2.18868
457e-9 0.82382 2.19153
458e-9 0.82345 2.19437
459e-9 0.82308 2.19722
460e-9 0.82271 2.20006
461e-9 0.82235 2.20291
462e-9 0.82198 2.20576
463e-9 0.82161 2.2086
464e-9 0.82124 2.21145
465e-9 0.82087 2.21429
466e-9 0.82051 2.21714
467e-9 0.82014 2.21998
468e-9 0.81977 2.22283
469e-9 0.8194 2.22568
470e-9 0.81881 2.22852
471e-9 0.81799 2.23137
472e-9 0.81717 2.23421
473e-9 0.81636 2.23733
474e-9 0.81554 2.24065
475e-9 0.81472 2.24397
476e-9 0.8139 2.24729
477e-9 0.81308 2.25061
478e-9 0.81227 2.25393
479e-9 0.81145 2.25724
480e-9 0.81063 2.26056
481e-9 0.80981 2.26388
482e-9 0.809 2.2672
483e-9 0.80818 2.27052
484e-9 0.80736 2.27384
485e-9 0.80654 2.27715
486e-9 0.80572 2.28047
487e-9 0.80491 2.28379
488e-9 0.80409 2.28711
489e-9 0.80221 2.29043
490e-9 0.80001 2.29375
491e-9 0.7978 2.29706
492e-9 0.7956 2.30038
493e-9 0.7934 2.30392
494e-9 0.7912 2.30843
495e-9 0.789 2.31294
496e-9 0.7868 2.31745
497e-9 0.78459 2.32197
498e-9 0.78239 2.32648
499e-9 0.78019 2.33099
500e-9 0.77799 2.3355
501e-9 0.77579 2.34001
502e-9 0.77359 2.34452
503e-9 0.77138 2.34903
504e-9 0.76918 2.35354
505e-9 0.76698 2.35805
506e-9 0.76478 2.36257
507e-9 0.76253 2.36708
508e-9 0.7589 2.37159
509e-9 0.75526 2.37603
510e-9 0.75162 2.37868
511e-9 0.74798 2.38134
512e-9 0.74434 2.384
513e-9 0.7407 2.38665
514e-9 0.73706 2.38931
515e-9 0.73342 2.39197
516e-9 0.72978 2.39462
517e-9 0.72614 2.39728
518e-9 0.7225 2.39994
519e-9 0.71886 2.40259
520e-9 0.71522 2.40525
521e-9 0.71158 2.40791
522e-9 0.70794 2.41056
523e-9 0.7043 2.41322
524e-9 0.70066 2.41588
525e-9 0.69737 2.41853
526e-9 0.69409 2.42119
527e-9 0.69081 2.42385
528e-9 0.68752 2.4265
529e-9 0.68424 2.42916
530e-9 0.68095 2.43182
531e-9 0.67767 2.43447
532e-9 0.67438 2.43713
533e-9 0.6711 2.43979
534e-9 0.66781 2.44244
535e-9 0.66453 2.44413
536e-9 0.66124 2.44497
537e-9 0.65796 2.44581
538e-9 0.65467 2.44664
539e-9 0.65139 2.44748
540e-9 0.6481 2.44832
541e-9 0.64482 2.44915
542e-9 0.64153 2.44999
543e-9 0.63825 2.45083
544e-9 0.63496 2.45166
545e-9 0.63175 2.4525
546e-9 0.6286 2.45334
547e-9 0.62544 2.45417
548e-9 0.62229 2.45501
549e-9 0.61914 2.45585
550e-9 0.61599 2.45668
551e-9 0.61283 2.45752
552e-9 0.60968 2.45836
553e-9 0.60653 2.4592
554e-9 0.60337 2.46003
555e-9 0.60022 2.46087
556e-9 0.59707 2.46171
557e-9 0.59391 2.46254
558e-9 0.59076 2.46338
559e-9 0.58761 2.46422
560e-9 0.58446 2.46505
561e-9 0.5813 2.46589
562e-9 0.57815 2.46673
563e-9 0.575 2.46756
564e-9 0.57184 2.4684
565e-9 0.56869 2.46924
566e-9 0.56559 2.47003
567e-9 0.56267 2.47005
568e-9 0.55976 2.47006
569e-9 0.55684 2.47007
570e-9 0.55392 2.47008
571e-9 0.551 2.4701
572e-9 0.54808 2.47011
573e-9 0.54516 2.47012
574e-9 0.54224 2.47014
575e-9 0.53932 2.47015
576e-9 0.53641 2.47016
577e-9 0.53349 2.47018
578e-9 0.53057 2.47019
579e-9 0.52765 2.4702
580e-9 0.52473 2.47021
581e-9 0.52181 2.47023
582e-9 0.51889 2.47024
583e-9 0.51597 2.47025
584e-9 0.51306 2.47027
585e-9 0.51014 2.47028
586e-9 0.50722 2.47029
587e-9 0.5043 2.47031
588e-9 0.50138 2.47032
589e-9 0.49864 2.47033
590e-9 0.49648 2.47034
591e-9 0.49432 2.47036
592e-9 0.49215 2.47037
593e-9 0.48999 2.47038
594e-9 0.48783 2.4704
595e-9 0.48567 2.47041
596e-9 0.48351 2.47035
597e-9 0.48134 2.47008
598e-9 0.47918 2.46981
599e-9 0.47702 2.46954
600e-9 0.47486 2.46927
