lambda n k
300e-9 0.27444 0.83129
301e-9 0.28122 0.83912
302e-9 0.288 0.84695
303e-9 0.29479 0.85478
304e-9 0.30157 0.86261
305e-9 0.30835 0.87044
306e-9 0.31514 0.87827
307e-9 0.32192 0.88609
308e-9 0.3287 0.89392
309e-9 0.33548 0.90175
310e-9 0.34227 0.90958
311e-9 0.34905 0.91958
312e-9 0.35583 0.92958
313e-9 0.36262 0.93957
314e-9 0.3694 0.94957
315e-9 0.37618 0.95956
316e-9 0.38297 0.97068
317e-9 0.38975 0.98179
318e-9 0.39653 0.9929
319e-9 0.40332 1.00402
320e-9 0.4101 1.01513
321e-9 0.41688 1.02792
322e-9 0.42367 1.04071
323e-9 0.43045 1.0535
324e-9 0.43723 1.06629
325e-9 0.44401 1.07907
326e-9 0.45885 1.09187
327e-9 0.47369 1.10467
328e-9 0.48853 1.11747
329e-9 0.50337 1.13026
330e-9 0.51821 1.14306
331e-9 0.53939 1.15566
332e-9 0.56057 1.16825
333e-9 0.58174 1.18085
334e-9 0.60292 1.19345
335e-9 0.62409 1.20604
336e-9 0.65116 1.21861
337e-9 0.67822 1.23118
338e-9 0.70528 1.24374
339e-9 0.73234 1.25631
340e-9 0.7594 1.26887
341e-9 0.79262 1.28065
342e-9 0.82584 1.29243
343e-9 0.85906 1.30422
344e-9 0.89227 1.316
345e-9 0.92549 1.32778
346e-9 0.97581 1.33443
347e-9 1.02614 1.34109
348e-9 1.07646 1.34774
349e-9 1.12678 1.35439
350e-9 1.17711 1.36104
351e-9 1.2068 1.36334
352e-9 1.23649 1.36564
353e-9 1.26618 1.36794
354e-9 1.29588 1.37023
355e-9 1.32557 1.37253
356e-9 1.36877 1.37239
357e-9 1.41198 1.37225
358e-9 1.45518 1.37211
359e-9 1.49838 1.37197
360e-9 1.54159 1.37183
361e-9 1.58076 1.36835
362e-9 1.61993 1.36488
363e-9 1.6591 1.36141
364e-9 1.69827 1.35793
365e-9 1.73744 1.35446
366e-9 1.7702 1.34694
367e-9 1.80295 1.33942
368e-9 1.83571 1.3319
369e-9 1.86846 1.32438
370e-9 1.90122 1.31685
371e-9 1.93107 1.30333
372e-9 1.96092 1.28981
373e-9 1.99078 1.27629
374e-9 2.02063 1.26276
375e-9 2.05048 1.24924
376e-9 2.07929 1.23598
377e-9 2.1081 1.22271
378e-9 2.13691 1.20945
379e-9 2.16572 1.19619
380e-9 2.19453 1.18292
381e-9 2.2078 1.17066
382e-9 2.22107 1.1584
383e-9 2.23434 1.14613
384e-9 2.24761 1.13387
385e-9 2.26088 1.12161
386e-9 2.26843 1.10729
387e-9 2.27597 1.09297
388e-9 2.28351 1.07865
389e-9 2.29105 1.06433
