lambda n k
300e-9 2.41941 0.60782
301e-9 2.42237 0.60019
302e-9 2.42513 0.59247
303e-9 2.42782 0.58471
304e-9 2.43041 0.5769
305e-9 2.43288 0.56903
306e-9 2.4353 0.56113
307e-9 2.43762 0.55317
308e-9 2.43986 0.54518
309e-9 2.44204 0.53716
310e-9 2.4441 0.52912
311e-9 2.4461 0.52108
312e-9 2.44802 0.51302
313e-9 2.44983 0.50497
314e-9 2.45159 0.49693
315e-9 2.45325 0.4889
316e-9 2.45481 0.48089
317e-9 2.45632 0.47289
318e-9 2.4577 0.46494
319e-9 2.45902 0.45702
320e-9 2.46026 0.44913
321e-9 2.46137 0.4413
322e-9 2.46243 0.4335
323e-9 2.46339 0.42577
324e-9 2.46424 0.41809
325e-9 2.46503 0.41045
326e-9 2.46569 0.40291
327e-9 2.46628 0.39542
328e-9 2.46679 0.38799
329e-9 2.46716 0.38066
330e-9 2.46747 0.37339
331e-9 2.46767 0.3662
332e-9 2.46776 0.3591
333e-9 2.4678 0.35205
334e-9 2.46769 0.34511
335e-9 2.46751 0.33824
336e-9 2.46725 0.33143
337e-9 2.46686 0.32473
338e-9 2.4664 0.31808
339e-9 2.46584 0.31152
340e-9 2.46517 0.30505
341e-9 2.46444 0.29862
342e-9 2.46358 0.2923
343e-9 2.46264 0.28605
344e-9 2.46163 0.27986
345e-9 2.46048 0.27378
346e-9 2.45927 0.26775
347e-9 2.45796 0.26179
348e-9 2.45654 0.25593
349e-9 2.45506 0.25012
350e-9 2.45346 0.2444
351e-9 2.45178 0.23876
352e-9 2.45003 0.23316
353e-9 2.44814 0.22768
354e-9 2.4462 0.22224
355e-9 2.44416 0.21688
356e-9 2.44201 0.21161
357e-9 2.4398 0.20638
358e-9 2.43747 0.20125
359e-9 2.43506 0.19619
360e-9 2.4326 0.19117
361e-9 2.43 0.18626
362e-9 2.42735 0.1814
363e-9 2.42462 0.1766
364e-9 2.42181 0.1719
365e-9 2.41895 0.16724
366e-9 2.41601 0.16267
367e-9 2.41302 0.15817
368e-9 2.40999 0.15371
369e-9 2.40687 0.14936
370e-9 2.40372 0.14506
371e-9 2.40053 0.14082
372e-9 2.39728 0.13668
373e-9 2.39401 0.13258
374e-9 2.39069 0.12856
375e-9 2.38734 0.12462
376e-9 2.38396 0.12072
377e-9 2.38055 0.11693
378e-9 2.37711 0.11319
379e-9 2.37366 0.1095
380e-9 2.37018 0.10592
381e-9 2.36668 0.10238
382e-9 2.36317 0.09892
383e-9 2.35964 0.09553
384e-9 2.35611 0.09219
385e-9 2.35257 0.08896
386e-9 2.34902 0.08577
387e-9 2.34546 0.08265
388e-9 2.34191 0.07962
389e-9 2.33835 0.07665
390e-9 2.3348 0.07374
391e-9 2.33125 0.07092
392e-9 2.32771 0.06815
393e-9 2.32418 0.06547
394e-9 2.32065 0.06286
395e-9 2.31714 0.06029
396e-9 2.31364 0.05783
397e-9 2.31016 0.05541
398e-9 2.30669 0.05307
399e-9 2.30325 0.0508
400e-9 2.29982 0.04857
401e-9 2.29641 0.04643
402e-9 2.29303 0.04435
403e-9 2.28967 0.04232
404e-9 2.28635 0.04037
405e-9 2.28305 0.03847
406e-9 2.27977 0.03663
407e-9 2.27654 0.03487
408e-9 2.27332 0.03314
409e-9 2.27015 0.03149
410e-9 2.26702 0.02989
411e-9 2.2639 0.02833
412e-9 2.26085 0.02686
413e-9 2.25782 0.02543
414e-9 2.25483 0.02405
415e-9 2.25189 0.02274
416e-9 2.24899 0.02146
417e-9 2.24613 0.02026
418e-9 2.24332 0.0191
419e-9 2.24054 0.01798
420e-9 2.23783 0.01694
421e-9 2.23515 0.01593
422e-9 2.23252 0.01497
423e-9 2.22995 0.01407
424e-9 2.22742 0.01321
425e-9 2.22495 0.01241
426e-9 2.22253 0.01166
427e-9 2.22014 0.01093
428e-9 2.21784 0.01028
429e-9 2.21558 0.00966
430e-9 2.21336 0.00908
431e-9 2.21122 0.00857
432e-9 2.20912 0.00808
433e-9 2.20709 0.00765
434e-9 2.20511 0.00726
435e-9 2.20318 0.0069
436e-9 2.20133 0.0066
437e-9 2.19952 0.00633
438e-9 2.19775 0.0061
439e-9 2.19606 0.00591
440e-9 2.19441 0.00575
441e-9 2.1928 0.00563
442e-9 2.19125 0.00554
443e-9 2.18972 0.00547
444e-9 2.18826 0.00544
445e-9 2.18683 0.00543
446e-9 2.18542 0.00544
447e-9 2.18408 0.00548
448e-9 2.18275 0.00554
449e-9 2.18146 0.00562
450e-9 2.18021 0.00572
451e-9 2.17898 0.00583
452e-9 2.17778 0.00597
453e-9 2.17661 0.00611
454e-9 2.17546 0.00627
455e-9 2.17435 0.00644
456e-9 2.17325 0.00663
457e-9 2.17217 0.00682
458e-9 2.17112 0.00702
459e-9 2.17008 0.00722
460e-9 2.16906 0.00743
461e-9 2.16805 0.00765
462e-9 2.16706 0.00787
463e-9 2.16609 0.00809
464e-9 2.16512 0.00832
465e-9 2.16417 0.00854
466e-9 2.16323 0.00876
467e-9 2.16229 0.00898
468e-9 2.16137 0.0092
469e-9 2.16045 0.00942
470e-9 2.15954 0.00963
471e-9 2.15863 0.00983
472e-9 2.15772 0.01003
473e-9 2.15682 0.01022
474e-9 2.15592 0.0104
475e-9 2.15502 0.01058
476e-9 2.15412 0.01074
477e-9 2.15322 0.01089
478e-9 2.15232 0.01104
479e-9 2.15141 0.01117
480e-9 2.1505 0.01129
481e-9 2.14959 0.0114
482e-9 2.14867 0.01148
483e-9 2.14775 0.01156
484e-9 2.14682 0.01162
485e-9 2.14588 0.01167
486e-9 2.14493 0.0117
487e-9 2.14397 0.01171
488e-9 2.14301 0.01171
489e-9 2.14204 0.01169
490e-9 2.14106 0.01165
491e-9 2.14008 0.0116
492e-9 2.13908 0.01154
493e-9 2.13809 0.01146
494e-9 2.13709 0.01137
495e-9 2.13608 0.01127
496e-9 2.13507 0.01116
497e-9 2.13406 0.01104
498e-9 2.13305 0.0109
499e-9 2.13203 0.01076
