lambda n k
350e-9 1.8634 0.02344
351e-9 1.86132 0.02267
352e-9 1.85924 0.0219
353e-9 1.85716 0.02113
354e-9 1.85507 0.02035
355e-9 1.85299 0.01964
356e-9 1.85081 0.01913
357e-9 1.84828 0.01862
358e-9 1.84574 0.01811
359e-9 1.84321 0.0176
360e-9 1.84068 0.01709
361e-9 1.83814 0.01658
362e-9 1.83561 0.01607
363e-9 1.83307 0.01568
364e-9 1.83151 0.01531
365e-9 1.8302 0.01495
366e-9 1.82889 0.01458
367e-9 1.82758 0.01421
368e-9 1.82627 0.01385
369e-9 1.82496 0.01348
370e-9 1.82366 0.01311
371e-9 1.82235 0.01274
372e-9 1.82104 0.0125
373e-9 1.81973 0.01232
374e-9 1.81842 0.01214
375e-9 1.81711 0.01197
376e-9 1.8158 0.01179
377e-9 1.81423 0.01161
378e-9 1.81259 0.01143
379e-9 1.81094 0.01125
380e-9 1.80929 0.01107
381e-9 1.80764 0.01089
382e-9 1.80599 0.01071
383e-9 1.80434 0.01054
384e-9 1.80269 0.01036
385e-9 1.80104 0.01018
386e-9 1.79919 0.01
387e-9 1.79712 0.00982
388e-9 1.79505 0.00964
389e-9 1.79299 0.00947
390e-9 1.79092 0.0093
391e-9 1.78885 0.00913
392e-9 1.78678 0.00896
393e-9 1.78476 0.00879
394e-9 1.78358 0.00862
395e-9 1.78239 0.00844
396e-9 1.7812 0.00827
397e-9 1.78001 0.0081
398e-9 1.77882 0.00793
399e-9 1.77764 0.00776
400e-9 1.77645 0.00759
401e-9 1.77526 0.00742
402e-9 1.77407 0.00725
403e-9 1.77289 0.00714
404e-9 1.7717 0.0071
405e-9 1.77051 0.00706
406e-9 1.76935 0.00702
407e-9 1.76844 0.00699
408e-9 1.76753 0.00695
409e-9 1.76661 0.00691
410e-9 1.7657 0.00687
411e-9 1.76479 0.00684
412e-9 1.76387 0.0068
413e-9 1.76296 0.00676
414e-9 1.76204 0.00672
415e-9 1.76113 0.00669
416e-9 1.76022 0.00665
417e-9 1.7593 0.00661
418e-9 1.75839 0.00657
419e-9 1.75749 0.00654
420e-9 1.75677 0.0065
421e-9 1.75606 0.00646
422e-9 1.75534 0.00642
423e-9 1.75462 0.00639
424e-9 1.7539 0.00635
425e-9 1.75318 0.00635
426e-9 1.75247 0.00639
427e-9 1.75175 0.00643
428e-9 1.75103 0.00647
429e-9 1.75031 0.00651
430e-9 1.74959 0.00655
431e-9 1.74888 0.00659
432e-9 1.74816 0.00663
433e-9 1.74744 0.00668
434e-9 1.74672 0.00672
435e-9 1.746 0.00676
436e-9 1.74529 0.0068
437e-9 1.74458 0.00684
438e-9 1.74386 0.00688
439e-9 1.74315 0.00692
440e-9 1.74244 0.00696
441e-9 1.74172 0.007
442e-9 1.74101 0.00704
443e-9 1.7403 0.00708
444e-9 1.73959 0.00712
445e-9 1.73887 0.00716
446e-9 1.73816 0.0072
447e-9 1.73745 0.00724
448e-9 1.73673 0.00728
449e-9 1.73602 0.00732
450e-9 1.73531 0.00736
451e-9 1.73459 0.00739
452e-9 1.73388 0.00743
453e-9 1.73317 0.00747
454e-9 1.73246 0.00751
455e-9 1.73174 0.00755
456e-9 1.73103 0.00759
457e-9 1.73032 0.00762
458e-9 1.7296 0.00766
459e-9 1.72889 0.0077
460e-9 1.72818 0.00774
461e-9 1.72747 0.00778
462e-9 1.72675 0.00782
463e-9 1.72604 0.00785
464e-9 1.72533 0.00789
465e-9 1.72461 0.00793
466e-9 1.7239 0.00797
467e-9 1.72319 0.00802
468e-9 1.72248 0.0081
469e-9 1.72176 0.00817
470e-9 1.72125 0.00825
471e-9 1.72075 0.00833
472e-9 1.72024 0.0084
473e-9 1.71973 0.00848
474e-9 1.71923 0.00856
475e-9 1.71872 0.00863
476e-9 1.71822 0.00871
477e-9 1.71771 0.00879
478e-9 1.71721 0.00886
479e-9 1.7167 0.00894
480e-9 1.71619 0.00901
481e-9 1.71569 0.00909
482e-9 1.71518 0.00917
483e-9 1.71468 0.00924
484e-9 1.71417 0.00933
485e-9 1.71367 0.00941
486e-9 1.71316 0.0095
487e-9 1.71265 0.00958
488e-9 1.71215 0.00967
489e-9 1.71164 0.00975
490e-9 1.71109 0.00984
491e-9 1.71051 0.00992
492e-9 1.70992 0.01001
493e-9 1.70934 0.01009
494e-9 1.70875 0.01018
495e-9 1.70817 0.01026
496e-9 1.70758 0.01035
497e-9 1.707 0.01043
498e-9 1.70641 0.01052
499e-9 1.70583 0.01075
500e-9 1.70525 0.01098
501e-9 1.70466 0.01121
502e-9 1.70408 0.01144
503e-9 1.70349 0.01167
504e-9 1.70291 0.01189
505e-9 1.70232 0.01212
506e-9 1.70174 0.01235
507e-9 1.70115 0.01258
508e-9 1.70057 0.01281
509e-9 1.69999 0.01304
510e-9 1.69942 0.01327
511e-9 1.69891 0.01349
512e-9 1.6984 0.01372
513e-9 1.69789 0.01395
514e-9 1.69738 0.01418
515e-9 1.69686 0.01439
516e-9 1.69635 0.01459
517e-9 1.69584 0.01478
518e-9 1.69533 0.01498
519e-9 1.69482 0.01517
520e-9 1.69431 0.01537
521e-9 1.6938 0.01557
522e-9 1.69329 0.01576
523e-9 1.69278 0.01596
524e-9 1.69227 0.01615
525e-9 1.69176 0.01635
526e-9 1.69125 0.01654
527e-9 1.69073 0.01674
528e-9 1.6902 0.01696
529e-9 1.68967 0.01719
530e-9 1.68915 0.01742
531e-9 1.68862 0.01765
532e-9 1.68809 0.01788
533e-9 1.68757 0.01811
534e-9 1.68704 0.01834
535e-9 1.68651 0.01857
536e-9 1.68599 0.0188
537e-9 1.68546 0.01903
538e-9 1.68493 0.01927
539e-9 1.68441 0.01955
540e-9 1.68388 0.01985
541e-9 1.68335 0.02015
542e-9 1.68283 0.02045
543e-9 1.6823 0.02076
544e-9 1.68177 0.02106
545e-9 1.68125 0.02136
546e-9 1.68072 0.02167
547e-9 1.68019 0.02197
548e-9 1.67967 0.02227
549e-9 1.67914 0.02258
550e-9 1.67861 0.0228
551e-9 1.67809 0.02297
552e-9 1.67756 0.02314
553e-9 1.67718 0.02331
554e-9 1.67693 0.02349
555e-9 1.67667 0.02366
556e-9 1.67642 0.02383
557e-9 1.67616 0.024
558e-9 1.67591 0.02418
559e-9 1.67565 0.02435
560e-9 1.67539 0.02452
561e-9 1.67514 0.02469
562e-9 1.67488 0.02486
563e-9 1.67463 0.02504
564e-9 1.67437 0.02521
565e-9 1.67412 0.02546
566e-9 1.67386 0.02572
567e-9 1.67361 0.02597
568e-9 1.67335 0.02623
569e-9 1.6731 0.02648
570e-9 1.67284 0.02674
571e-9 1.67259 0.02699
572e-9 1.67233 0.02724
573e-9 1.67208 0.0275
574e-9 1.67182 0.02775
575e-9 1.67156 0.02801
576e-9 1.67131 0.02826
577e-9 1.67105 0.02851
578e-9 1.6708 0.02877
579e-9 1.67054 0.02902
580e-9 1.67029 0.02928
581e-9 1.67003 0.0296
582e-9 1.66978 0.02999
583e-9 1.66952 0.03038
584e-9 1.66927 0.03077
585e-9 1.66901 0.03116
586e-9 1.66871 0.03156
587e-9 1.66815 0.03195
588e-9 1.66759 0.03234
589e-9 1.66702 0.03273
590e-9 1.66646 0.03312
591e-9 1.6659 0.03351
592e-9 1.66533 0.0339
593e-9 1.66477 0.0343
594e-9 1.66421 0.0346
595e-9 1.66364 0.03485
596e-9 1.66308 0.03511
597e-9 1.66252 0.03536
598e-9 1.66195 0.03561
599e-9 1.66139 0.03587
600e-9 1.66083 0.03612
601e-9 1.66026 0.03638
602e-9 1.6597 0.03663
603e-9 1.65914 0.03688
604e-9 1.65857 0.03714
605e-9 1.65801 0.03739
606e-9 1.65745 0.03765
607e-9 1.65688 0.0379
608e-9 1.65632 0.03816
609e-9 1.65576 0.03841
610e-9 1.65519 0.03866
611e-9 1.6548 0.03893
612e-9 1.65441 0.03919
613e-9 1.65401 0.03945
614e-9 1.65362 0.03971
615e-9 1.65323 0.03997
616e-9 1.65283 0.04023
617e-9 1.65244 0.04049
618e-9 1.65205 0.04076
619e-9 1.65165 0.04102
620e-9 1.65126 0.04128
621e-9 1.65087 0.04154
622e-9 1.65047 0.0418
623e-9 1.65008 0.04208
624e-9 1.64969 0.04241
625e-9 1.64929 0.04274
626e-9 1.6489 0.04307
627e-9 1.64851 0.0434
628e-9 1.64811 0.04373
629e-9 1.64772 0.04406
630e-9 1.64732 0.04439
631e-9 1.64693 0.04472
632e-9 1.64654 0.04505
633e-9 1.64614 0.04538
634e-9 1.64575 0.04571
635e-9 1.64536 0.04604
636e-9 1.64497 0.04637
637e-9 1.64462 0.0467
