lambda n k
300e-9 1.1 0.06995
301e-9 1.10014 0.06946
302e-9 1.10028 0.06873
303e-9 1.10043 0.06775
304e-9 1.10057 0.06749
305e-9 1.10071 0.06699
306e-9 1.10085 0.06599
307e-9 1.10099 0.06572
308e-9 1.10114 0.06569
309e-9 1.10128 0.06516
310e-9 1.10142 0.06488
311e-9 1.10156 0.06484
312e-9 1.10171 0.06455
313e-9 1.10185 0.06401
314e-9 1.10199 0.06397
315e-9 1.10213 0.06367
316e-9 1.10227 0.06312
317e-9 1.10242 0.06307
318e-9 1.10256 0.06326
319e-9 1.1027 0.06346
320e-9 1.10284 0.06341
321e-9 1.10298 0.06361
322e-9 1.10313 0.0638
323e-9 1.10327 0.064
324e-9 1.10341 0.0642
325e-9 1.10355 0.06414
326e-9 1.1037 0.06434
327e-9 1.10384 0.06453
328e-9 1.10398 0.06499
329e-9 1.10412 0.06624
330e-9 1.10426 0.06644
331e-9 1.10441 0.06664
332e-9 1.10455 0.06737
333e-9 1.10469 0.0681
334e-9 1.10483 0.06857
335e-9 1.10497 0.06905
336e-9 1.10512 0.06979
337e-9 1.10526 0.06946
338e-9 1.1054 0.06617
339e-9 1.10554 0.06501
340e-9 1.10569 0.06439
341e-9 1.10583 0.06268
342e-9 1.10597 0.06123
343e-9 1.10611 0.0606
344e-9 1.10625 0.06077
345e-9 1.1064 0.0615
346e-9 1.10654 0.06085
347e-9 1.10668 0.06158
348e-9 1.10682 0.06314
349e-9 1.10696 0.06415
350e-9 1.10711 0.06573
351e-9 1.10725 0.06759
352e-9 1.10739 0.06919
353e-9 1.10753 0.06995
354e-9 1.10768 0.07155
355e-9 1.10782 0.0726
356e-9 1.10796 0.07337
357e-9 1.1081 0.07415
358e-9 1.10824 0.07521
359e-9 1.10839 0.07599
360e-9 1.10853 0.07706
361e-9 1.10867 0.07871
362e-9 1.10881 0.07951
363e-9 1.10895 0.08117
364e-9 1.1091 0.08284
365e-9 1.10924 0.08394
366e-9 1.10938 0.08475
367e-9 1.10952 0.08615
368e-9 1.10967 0.08756
369e-9 1.10981 0.08839
370e-9 1.10995 0.08951
371e-9 1.11009 0.09123
372e-9 1.11023 0.09206
373e-9 1.11038 0.0938
374e-9 1.11052 0.09494
375e-9 1.11066 0.09609
376e-9 1.1108 0.09784
377e-9 1.11094 0.0996
378e-9 1.11109 0.10137
379e-9 1.11123 0.10315
380e-9 1.11137 0.10584
381e-9 1.11151 0.10763
382e-9 1.11166 0.10883
383e-9 1.1118 0.11033
384e-9 1.11194 0.11245
385e-9 1.11208 0.11489
386e-9 1.11222 0.11734
387e-9 1.11237 0.11826
388e-9 1.11251 0.11826
389e-9 1.11265 0.12011
390e-9 1.11279 0.12197
391e-9 1.11293 0.12384
392e-9 1.11308 0.12571
393e-9 1.11322 0.12791
394e-9 1.11336 0.13043
395e-9 1.1135 0.13328
396e-9 1.11365 0.13677
397e-9 1.11379 0.13932
398e-9 1.11393 0.14157
399e-9 1.11407 0.14352
400e-9 1.11421 0.14515
401e-9 1.11436 0.14807
402e-9 1.1145 0.15131
403e-9 1.11464 0.15393
404e-9 1.11478 0.15592
405e-9 1.11492 0.15857
406e-9 1.11507 0.16057
407e-9 1.11521 0.16259
408e-9 1.11535 0.16558
409e-9 1.11549 0.16859
410e-9 1.11563 0.17064
411e-9 1.11578 0.17269
412e-9 1.11592 0.17475
413e-9 1.11606 0.17682
414e-9 1.1144 0.17955
415e-9 1.11617 0.1823
416e-9 1.1201 0.18472
417e-9 1.12245 0.18682
418e-9 1.12559 0.18927
419e-9 1.12692 0.19206
420e-9 1.13125 0.19418
421e-9 1.13242 0.199
422e-9 1.135 0.20283
423e-9 1.135 0.20904
424e-9 1.13893 0.21358
425e-9 1.14316 0.21747
426e-9 1.14736 0.22171
427e-9 1.14841 0.2263
428e-9 1.15257 0.23024
429e-9 1.15383 0.23419
430e-9 1.15771 0.23816
431e-9 1.16182 0.24214
432e-9 1.16324 0.24614
433e-9 1.16998 0.24912
434e-9 1.17266 0.25177
435e-9 1.17492 0.25512
436e-9 1.17893 0.25918
437e-9 1.18293 0.26325
438e-9 1.1869 0.26734
439e-9 1.19338 0.27144
440e-9 1.19499 0.27626
441e-9 1.20187 0.28321
442e-9 1.20577 0.28877
443e-9 1.21214 0.2933
444e-9 1.21361 0.29856
445e-9 1.22052 0.30383
446e-9 1.22435 0.30878
447e-9 1.23034 0.31409
448e-9 1.23795 0.31907
449e-9 1.24204 0.32443
450e-9 1.24677 0.32802
451e-9 1.25111 0.33162
452e-9 1.25547 0.33739
453e-9 1.2629 0.34354
454e-9 1.27031 0.34972
455e-9 1.27694 0.35592
456e-9 1.28187 0.36469
457e-9 1.2874 0.37167
458e-9 1.29332 0.37831
459e-9 1.30056 0.38572
460e-9 1.30777 0.39278
461e-9 1.31495 0.39657
462e-9 1.3221 0.39228
463e-9 1.32921 0.39313
464e-9 1.3363 0.39915
465e-9 1.34336 0.4063
466e-9 1.35038 0.41756
467e-9 1.35738 0.42737
468e-9 1.36448 0.43424
469e-9 1.37488 0.44152
470e-9 1.38446 0.44807
471e-9 1.39134 0.45577
472e-9 1.39819 0.46312
473e-9 1.40664 0.47088
474e-9 1.41683 0.47791
475e-9 1.42483 0.48572
476e-9 1.43393 0.49432
477e-9 1.44399 0.50295
478e-9 1.45123 0.51199
479e-9 1.46084 0.52069
480e-9 1.47078 0.52827
481e-9 1.47753 0.52592
482e-9 1.48707 0.53085
483e-9 1.49449 0.53849
484e-9 1.5064 0.55462
485e-9 1.51355 0.57468
486e-9 1.52323 0.58283
487e-9 1.53288 0.59061
488e-9 1.54249 0.59882
489e-9 1.55112 0.60588
490e-9 1.55845 0.61297
491e-9 1.56795 0.62008
492e-9 1.5774 0.628
493e-9 1.58681 0.63595
494e-9 1.5972 0.64274
495e-9 1.60768 0.64916
496e-9 1.61483 0.65521
497e-9 1.6241 0.66246
498e-9 1.63416 0.66974
499e-9 1.64641 0.67704
500e-9 1.65727 0.68437
501e-9 1.66449 0.69251
502e-9 1.6766 0.70069
503e-9 1.68866 0.70809
504e-9 1.70026 0.71551
505e-9 1.70642 0.72416
506e-9 1.72131 0.73244
507e-9 1.73042 0.74115
508e-9 1.74197 0.74949
509e-9 1.75374 0.75785
510e-9 1.76319 0.76583
511e-9 1.77608 0.77424
512e-9 1.79246 0.78187
513e-9 1.80666 0.7883
514e-9 1.81619 0.79311
515e-9 1.82338 0.79875
516e-9 1.83094 0.80235
517e-9 1.84108 0.80514
518e-9 1.85768 0.80876
519e-9 1.86901 0.81197
520e-9 1.88303 0.81478
521e-9 1.89225 0.81842
522e-9 1.90272 0.82207
523e-9 1.9156 0.82489
524e-9 1.92812 0.82813
525e-9 1.93819 0.83055
526e-9 1.94646 0.83213
527e-9 1.9547 0.83288
528e-9 1.96291 0.83235
529e-9 1.97363 0.83393
530e-9 1.98449 0.83551
531e-9 1.99362 0.83497
532e-9 2.00295 0.83612
533e-9 2.01369 0.83769
534e-9 2.02406 0.83841
535e-9 2.03205 0.83871
536e-9 2.04001 0.83942
537e-9 2.04996 0.84099
538e-9 2.05899 0.84255
539e-9 2.06786 0.84412
540e-9 2.07785 0.84526
541e-9 2.08567 0.84682
542e-9 2.096 0.84968
543e-9 2.10833 0.85298
544e-9 2.11978 0.85541
545e-9 2.13177 0.85829
546e-9 2.14657 0.8616
547e-9 2.15676 0.86448
548e-9 2.16914 0.86781
549e-9 2.18179 0.8707
550e-9 2.1944 0.87404
551e-9 2.20734 0.87694
552e-9 2.22236 0.87854
553e-9 2.23508 0.88013
554e-9 2.2475 0.88128
555e-9 2.26172 0.88066
556e-9 2.27874 0.88003
557e-9 2.29349 0.87807
558e-9 2.30818 0.87476
559e-9 2.3215 0.87055
560e-9 2.33367 0.86587
561e-9 2.34579 0.86072
562e-9 2.36016 0.85644
563e-9 2.37144 0.8499
564e-9 2.38103 0.84333
565e-9 2.39059 0.83583
566e-9 2.40011 0.82785
567e-9 2.40789 0.81939
568e-9 2.41498 0.81044
569e-9 2.42176 0.801
570e-9 2.4241 0.79106
571e-9 2.42644 0.782
572e-9 2.42789 0.77154
573e-9 2.42782 0.76103
574e-9 2.4255 0.74957
575e-9 2.4232 0.73898
576e-9 2.42018 0.72789
577e-9 2.4156 0.71675
578e-9 2.41319 0.70742
579e-9 2.40963 0.69804
580e-9 2.40509 0.68863
581e-9 2.40057 0.68103
582e-9 2.39607 0.67294
583e-9 2.39426 0.66529
584e-9 2.3965 0.65853
