lambda n k
300e-9 1.75 0.1888075
301e-9 1.75 0.186179
302e-9 1.75 0.1835085
303e-9 1.75 0.180866
304e-9 1.75 0.178395
305e-9 1.75 0.176253
306e-9 1.74 0.1740165
307e-9 1.74 0.1718395
308e-9 1.74 0.16975
309e-9 1.74 0.1680945
310e-9 1.73 0.16639
311e-9 1.73 0.1646505
312e-9 1.73 0.1631035
313e-9 1.725 0.161462
314e-9 1.72 0.159866
315e-9 1.72 0.160181
316e-9 1.72 0.1604575
317e-9 1.72 0.1606955
318e-9 1.71 0.1610665
319e-9 1.71 0.1614375
320e-9 1.71 0.161798
321e-9 1.71 0.162246
322e-9 1.7 0.162645
323e-9 1.7 0.1628795
324e-9 1.7 0.1637545
325e-9 1.7 0.164969
326e-9 1.7 0.1668065
327e-9 1.7 0.168588
328e-9 1.7 0.170289
329e-9 1.7 0.1718745
330e-9 1.7 0.1734355
331e-9 1.7 0.1750945
332e-9 1.7 0.176722
333e-9 1.7 0.1783075
334e-9 1.7 0.1797075
335e-9 1.71 0.1810375
336e-9 1.71 0.1810655
337e-9 1.71 0.18095
338e-9 1.72 0.180425
339e-9 1.72 0.1799175
340e-9 1.72 0.179424
341e-9 1.73 0.1778665
342e-9 1.73 0.1759275
343e-9 1.73 0.173614
344e-9 1.73 0.1712095
345e-9 1.73 0.1683325
346e-9 1.74 0.165354
347e-9 1.74 0.162148
348e-9 1.74 0.15904
349e-9 1.74 0.1560545
350e-9 1.74 0.1527155
351e-9 1.74 0.149128
352e-9 1.74 0.1456175
353e-9 1.74 0.144454
354e-9 1.74 0.1457827
355e-9 1.74 0.1466898
356e-9 1.73 0.147594
357e-9 1.73 0.1486076
358e-9 1.73 0.1496198
359e-9 1.73 0.1505578
360e-9 1.73 0.1515098
361e-9 1.73 0.1524494
362e-9 1.73 0.1534011
363e-9 1.73 0.1540478
364e-9 1.72 0.1546951
365e-9 1.72 0.155601
366e-9 1.72 0.1565115
367e-9 1.72 0.1574092
368e-9 1.72 0.1583137
369e-9 1.71 0.1588511
370e-9 1.71 0.1593958
371e-9 1.71 0.1601924
372e-9 1.71 0.1609873
373e-9 1.71 0.1617109
374e-9 1.71 0.1624352
375e-9 1.71 0.1630175
376e-9 1.7 0.1636067
377e-9 1.7 0.1644682
378e-9 1.7 0.1653376
379e-9 1.7 0.166222
380e-9 1.7 0.1671132
381e-9 1.69 0.1677378
382e-9 1.69 0.1683561
383e-9 1.69 0.1693214
384e-9 1.69 0.1702799
385e-9 1.69 0.1708582
386e-9 1.68 0.1714375
387e-9 1.68 0.1723773
388e-9 1.68 0.1733186
389e-9 1.68 0.1742736
390e-9 1.68 0.1752262
391e-9 1.68 0.1758401
392e-9 1.67 0.1764469
393e-9 1.67 0.1773731
394e-9 1.67 0.1782993
395e-9 1.67 0.1791719
396e-9 1.67 0.1800376
397e-9 1.66 0.1805361
398e-9 1.66 0.1810277
399e-9 1.66 0.1819545
400e-9 1.66 0.1828747
401e-9 1.66 0.18355
402e-9 1.65 0.1842261
403e-9 1.65 0.1853445
404e-9 1.65 0.1864719
405e-9 1.65 0.187755
406e-9 1.65 0.1890381
407e-9 1.65 0.1899754
408e-9 1.64 0.1909199
409e-9 1.64 0.1922111
410e-9 1.64 0.1935022
411e-9 1.64 0.1947592
412e-9 1.64 0.1960159
413e-9 1.63 0.1969254
414e-9 1.63 0.1978417
415e-9 1.63 0.1990982
416e-9 1.63 0.2003547
