lambda n k
300e-9 2.00843 0.39856
301e-9 2.00899 0.39266
302e-9 2.00927 0.38682
303e-9 2.00944 0.381
304e-9 2.00944 0.37522
305e-9 2.00923 0.3695
306e-9 2.00891 0.36382
307e-9 2.00837 0.3582
308e-9 2.00767 0.35264
309e-9 2.00686 0.34713
310e-9 2.00578 0.34172
311e-9 2.00461 0.33637
312e-9 2.00327 0.33109
313e-9 2.00173 0.32593
314e-9 2.00009 0.32082
315e-9 1.99825 0.31584
316e-9 1.99625 0.31096
317e-9 1.99416 0.30615
318e-9 1.99184 0.30152
319e-9 1.98941 0.29698
320e-9 1.98686 0.29255
321e-9 1.98412 0.2883
322e-9 1.98129 0.28414
323e-9 1.97831 0.28016
324e-9 1.97519 0.27634
325e-9 1.972 0.27263
326e-9 1.96864 0.26916
327e-9 1.96519 0.26582
328e-9 1.96166 0.26263
329e-9 1.958 0.2597
330e-9 1.95429 0.25689
331e-9 1.95049 0.2543
332e-9 1.94661 0.25194
333e-9 1.9427 0.24971
334e-9 1.93871 0.24777
335e-9 1.9347 0.246
336e-9 1.93067 0.2444
337e-9 1.92661 0.24312
338e-9 1.92255 0.24197
339e-9 1.91849 0.24106
340e-9 1.91447 0.2404
341e-9 1.91046 0.23988
342e-9 1.90651 0.23966
343e-9 1.90262 0.23961
344e-9 1.89876 0.23972
345e-9 1.89504 0.24014
346e-9 1.89137 0.24067
347e-9 1.88781 0.24141
348e-9 1.8844 0.24236
349e-9 1.88106 0.24343
350e-9 1.8779 0.24472
351e-9 1.87488 0.24614
352e-9 1.87196 0.24767
353e-9 1.86929 0.2494
354e-9 1.86674 0.25121
355e-9 1.86435 0.25312
356e-9 1.86219 0.25515
357e-9 1.86015 0.25723
358e-9 1.85834 0.2594
359e-9 1.85672 0.26162
360e-9 1.85522 0.26386
361e-9 1.85401 0.26615
362e-9 1.85292 0.26843
363e-9 1.85201 0.27073
364e-9 1.85133 0.27299
365e-9 1.85076 0.27524
366e-9 1.8504 0.27744
367e-9 1.8502 0.27959
368e-9 1.85011 0.2817
