lambda n k
300e-9 1.82104 0.23265
301e-9 1.8207 0.22733
302e-9 1.82007 0.2221
303e-9 1.81932 0.21691
304e-9 1.8184 0.21179
305e-9 1.81727 0.20675
306e-9 1.81603 0.20177
307e-9 1.81459 0.19689
308e-9 1.81299 0.19209
309e-9 1.8113 0.18735
310e-9 1.80937 0.18277
311e-9 1.80736 0.17825
312e-9 1.80521 0.17383
313e-9 1.80289 0.16956
314e-9 1.8005 0.16536
315e-9 1.79795 0.1613
316e-9 1.79529 0.15736
317e-9 1.79256 0.15351
318e-9 1.78967 0.14984
319e-9 1.78672 0.14627
320e-9 1.78367 0.14282
321e-9 1.78052 0.13955
322e-9 1.77731 0.13637
323e-9 1.77402 0.13335
324e-9 1.77065 0.13048
325e-9 1.76724 0.12771
326e-9 1.76375 0.12514
327e-9 1.76023 0.12269
328e-9 1.75666 0.12036
329e-9 1.75305 0.11823
330e-9 1.74942 0.11619
331e-9 1.74576 0.11432
332e-9 1.74208 0.11261
333e-9 1.7384 0.111
334e-9 1.73471 0.10958
335e-9 1.73102 0.10829
336e-9 1.72733 0.1071
337e-9 1.72367 0.1061
338e-9 1.72002 0.1052
339e-9 1.71639 0.10444
340e-9 1.71281 0.10382
341e-9 1.70924 0.10329
342e-9 1.70573 0.10292
343e-9 1.70226 0.10266
344e-9 1.69882 0.10247
345e-9 1.69547 0.10245
346e-9 1.69215 0.1025
347e-9 1.6889 0.10265
348e-9 1.68572 0.10291
349e-9 1.68258 0.10323
350e-9 1.67954 0.10366
351e-9 1.67656 0.10416
352e-9 1.67362 0.10471
353e-9 1.6708 0.10536
354e-9 1.66803 0.10606
355e-9 1.66533 0.10681
356e-9 1.66272 0.10762
357e-9 1.66016 0.10847
358e-9 1.6577 0.10937
359e-9 1.6553 0.11031
360e-9 1.65294 0.11127
361e-9 1.65069 0.11227
362e-9 1.64849 0.11329
363e-9 1.64635 0.11434
364e-9 1.64428 0.1154
365e-9 1.64226 0.11648
366e-9 1.6403 0.11757
367e-9 1.6384 0.11867
368e-9 1.63653 0.11978
369e-9 1.63473 0.1209
370e-9 1.63296 0.12202
371e-9 1.63123 0.12315
372e-9 1.62956 0.12428
373e-9 1.6279 0.12542
374e-9 1.62629 0.12656
375e-9 1.6247 0.1277
376e-9 1.62314 0.12884
377e-9 1.62161 0.12999
378e-9 1.6201 0.13114
379e-9 1.61861 0.1323
380e-9 1.61714 0.13347
381e-9 1.61569 0.13465
382e-9 1.61425 0.13584
383e-9 1.61284 0.13704
384e-9 1.61143 0.13825
385e-9 1.61004 0.13948
386e-9 1.60867 0.14073
387e-9 1.6073 0.142
388e-9 1.60596 0.14329
389e-9 1.60462 0.1446
390e-9 1.60331 0.14594
391e-9 1.60201 0.1473
392e-9 1.60072 0.14869
393e-9 1.59946 0.15011
394e-9 1.59822 0.15157
395e-9 1.59699 0.15304
396e-9 1.5958 0.15457
397e-9 1.59463 0.15611
398e-9 1.59348 0.1577
399e-9 1.59238 0.15932
400e-9 1.59129 0.16096
401e-9 1.59025 0.16265
402e-9 1.58925 0.16438
403e-9 1.58828 0.16612
404e-9 1.58737 0.16791
405e-9 1.58649 0.16973
406e-9 1.58567 0.17157
407e-9 1.5849 0.17345
408e-9 1.58417 0.17535
409e-9 1.58351 0.17727
410e-9 1.5829 0.17922
411e-9 1.58234 0.18118
412e-9 1.58187 0.18317
413e-9 1.58144 0.18516
414e-9 1.58107 0.18717
415e-9 1.58079 0.18918
416e-9 1.58055 0.1912
417e-9 1.58039 0.19322
418e-9 1.58031 0.19523
419e-9 1.58026 0.19725
420e-9 1.58033 0.19924
421e-9 1.58043 0.20123
422e-9 1.58061 0.2032
423e-9 1.58087 0.20514
424e-9 1.58117 0.20707
425e-9 1.58155 0.20896
426e-9 1.582 0.21082
427e-9 1.58249 0.21265
428e-9 1.58307 0.21443
429e-9 1.58369 0.21617
430e-9 1.58436 0.21788
431e-9 1.5851 0.21951
432e-9 1.58588 0.22111
433e-9 1.58671 0.22265
434e-9 1.58759 0.22412
435e-9 1.58849 0.22556
436e-9 1.58945 0.2269
437e-9 1.59043 0.22819
438e-9 1.59145 0.22942
439e-9 1.59249 0.23056
440e-9 1.59355 0.23165
441e-9 1.59463 0.23266
442e-9 1.59573 0.23359
443e-9 1.59683 0.23447
444e-9 1.59794 0.23524
445e-9 1.59905 0.23595
446e-9 1.60016 0.23661
447e-9 1.60125 0.23715
448e-9 1.60234 0.23764
449e-9 1.6034 0.23806
450e-9 1.60444 0.23838
451e-9 1.60546 0.23866
452e-9 1.60644 0.23884
453e-9 1.60739 0.23897
454e-9 1.60831 0.23904
455e-9 1.60916 0.239
456e-9 1.60997 0.23893
457e-9 1.61074 0.2388
458e-9 1.61143 0.23859
459e-9 1.61208 0.23834
460e-9 1.61265 0.23803
461e-9 1.61315 0.23767
462e-9 1.61361 0.23728
463e-9 1.61394 0.23682
464e-9 1.61423 0.23633
465e-9 1.61443 0.23581
466e-9 1.61452 0.23526
467e-9 1.61455 0.23469
468e-9 1.61447 0.23409
469e-9 1.6143 0.23348
470e-9 1.61406 0.23285
471e-9 1.61367 0.23223
472e-9 1.61321 0.2316
473e-9 1.61266 0.23097
474e-9 1.61197 0.23037
475e-9 1.61121 0.22977
476e-9 1.61033 0.22921
477e-9 1.60934 0.22867
478e-9 1.60828 0.22816
479e-9 1.60706 0.22771
480e-9 1.60577 0.22731
481e-9 1.60438 0.22694
482e-9 1.60286 0.22667
483e-9 1.60127 0.22644
484e-9 1.59957 0.2263
485e-9 1.59777 0.22624
486e-9 1.5959 0.22625
487e-9 1.59391 0.22639
488e-9 1.59184 0.22662
489e-9 1.58971 0.22693
490e-9 1.58748 0.2274
491e-9 1.58519 0.22796
492e-9 1.58283 0.22865
493e-9 1.5804 0.2295
494e-9 1.57794 0.23044
495e-9 1.57541 0.23157
496e-9 1.57284 0.23283
497e-9 1.57025 0.2342
498e-9 1.56762 0.23581
499e-9 1.56498 0.23752
500e-9 1.56233 0.2394
501e-9 1.55968 0.24148
502e-9 1.55703 0.24367
503e-9 1.55441 0.24609
504e-9 1.55182 0.24866
505e-9 1.54925 0.25135
506e-9 1.54675 0.25431
507e-9 1.54429 0.25738
508e-9 1.5419 0.26062
509e-9 1.53961 0.26406
510e-9 1.53737 0.26761
511e-9 1.53526 0.27138
512e-9 1.53326 0.27529
513e-9 1.53133 0.2793
514e-9 1.5296 0.28355
515e-9 1.52797 0.28788
516e-9 1.52647 0.29234
517e-9 1.52518 0.29697
518e-9 1.52399 0.30167
519e-9 1.52301 0.30651
520e-9 1.52221 0.31145
521e-9 1.52153 0.31645
522e-9 1.52115 0.32157
523e-9 1.5209 0.32673
524e-9 1.52082 0.33195
525e-9 1.52103 0.33723
526e-9 1.52136 0.34253
527e-9 1.52194 0.34785
528e-9 1.52275 0.35318
529e-9 1.52368 0.35852
530e-9 1.52493 0.36382
531e-9 1.52633 0.36911
532e-9 1.52791 0.37436
533e-9 1.52976 0.37954
534e-9 1.53175 0.38467
535e-9 1.53395 0.38972
536e-9 1.53636 0.39467
537e-9 1.53889 0.39956
538e-9 1.54166 0.40429
539e-9 1.54457 0.40892
540e-9 1.5476 0.41346
541e-9 1.55085 0.41779
542e-9 1.55419 0.42202
543e-9 1.55767 0.4261
544e-9 1.56128 0.42998
545e-9 1.56497 0.43375
546e-9 1.56879 0.43729
547e-9 1.57268 0.44066
548e-9 1.57662 0.44391
549e-9 1.58066 0.44687
550e-9 1.58472 0.4497
551e-9 1.58882 0.45234
552e-9 1.59294 0.45473
553e-9 1.59707 0.457
554e-9 1.60119 0.459
555e-9 1.60529 0.46082
556e-9 1.60937 0.46251
557e-9 1.61337 0.46388
558e-9 1.61732 0.46513
559e-9 1.6212 0.46619
560e-9 1.62495 0.46701
561e-9 1.62863 0.46771
562e-9 1.63215 0.46818
563e-9 1.63553 0.46849
564e-9 1.6388 0.46868
565e-9 1.6418 0.46863
566e-9 1.64465 0.46848
567e-9 1.64733 0.46821
568e-9 1.64968 0.46777
569e-9 1.65186 0.46727
570e-9 1.65374 0.46665
571e-9 1.6553 0.46595
572e-9 1.65667 0.46522
573e-9 1.65756 0.46444
574e-9 1.65818 0.46367
575e-9 1.65852 0.4629
576e-9 1.65831 0.46222
577e-9 1.65784 0.46161
578e-9 1.65694 0.46112
579e-9 1.65555 0.46084
580e-9 1.65389 0.4607
581e-9 1.65163 0.46092
582e-9 1.649 0.46143
583e-9 1.64606 0.46219
584e-9 1.64248 0.46362
585e-9 1.63864 0.46539
586e-9 1.63441 0.46772
587e-9 1.62975 0.47084
588e-9 1.62488 0.47442
589e-9 1.61965 0.479
590e-9 1.61426 0.48439
591e-9 1.60875 0.49036
592e-9 1.60316 0.49787
593e-9 1.59764 0.50608
594e-9 1.59221 0.5153
595e-9 1.58717 0.52597
596e-9 1.5824 0.53738
597e-9 1.57826 0.55023
598e-9 1.57486 0.56421
599e-9 1.57196 0.57893
600e-9 1.57058 0.59528
601e-9 1.57006 0.6123
602e-9 1.57062 0.63015
603e-9 1.57314 0.64903
604e-9 1.57667 0.66831
605e-9 1.58208 0.6882
606e-9 1.58937 0.70837
607e-9 1.59779 0.72866
608e-9 1.60884 0.74889
609e-9 1.62131 0.76886
610e-9 1.63523 0.78855
611e-9 1.65167 0.80734
612e-9 1.6692 0.82558
613e-9 1.68851 0.84284
614e-9 1.70953 0.85879
