lambda n k
300e-9 2.23199 0.50755
301e-9 2.22999 0.50219
302e-9 2.22799 0.49697
303e-9 2.22598 0.49181
304e-9 2.22398 0.48674
305e-9 2.22198 0.48178
306e-9 2.21998 0.47687
307e-9 2.21798 0.47208
308e-9 2.21599 0.46736
309e-9 2.214 0.46269
310e-9 2.21202 0.45815
311e-9 2.21004 0.45366
312e-9 2.20807 0.44924
313e-9 2.20611 0.44491
314e-9 2.20415 0.44063
315e-9 2.2022 0.43644
316e-9 2.20026 0.43232
317e-9 2.19833 0.42824
318e-9 2.19641 0.42426
319e-9 2.19449 0.42033
320e-9 2.19259 0.41645
321e-9 2.19069 0.41266
322e-9 2.18881 0.4089
323e-9 2.18693 0.40522
324e-9 2.18507 0.4016
325e-9 2.18321 0.39801
326e-9 2.18137 0.3945
327e-9 2.17954 0.39104
328e-9 2.17771 0.38762
329e-9 2.17591 0.38427
330e-9 2.17411 0.38096
331e-9 2.17232 0.3777
332e-9 2.17054 0.37449
333e-9 2.16878 0.37132
334e-9 2.16702 0.36821
335e-9 2.16528 0.36514
336e-9 2.16355 0.36211
337e-9 2.16184 0.35914
338e-9 2.16013 0.3562
339e-9 2.15844 0.3533
340e-9 2.15676 0.35045
341e-9 2.15508 0.34763
342e-9 2.15343 0.34486
343e-9 2.15178 0.34213
344e-9 2.15014 0.33942
345e-9 2.14852 0.33677
346e-9 2.14691 0.33414
347e-9 2.14531 0.33155
348e-9 2.14373 0.329
349e-9 2.14215 0.32648
350e-9 2.14059 0.324
351e-9 2.13903 0.32155
352e-9 2.13749 0.31913
353e-9 2.13596 0.31675
354e-9 2.13445 0.31439
355e-9 2.13294 0.31206
356e-9 2.13145 0.30978
357e-9 2.12996 0.30751
358e-9 2.12849 0.30527
359e-9 2.12703 0.30307
360e-9 2.12558 0.30088
361e-9 2.12414 0.29874
362e-9 2.12271 0.29662
363e-9 2.1213 0.29452
364e-9 2.11989 0.29245
365e-9 2.1185 0.2904
366e-9 2.11711 0.28838
367e-9 2.11574 0.28639
368e-9 2.11438 0.28441
369e-9 2.11303 0.28247
370e-9 2.11168 0.28055
371e-9 2.11035 0.27864
372e-9 2.10903 0.27677
373e-9 2.10772 0.27491
374e-9 2.10642 0.27308
375e-9 2.10513 0.27127
376e-9 2.10385 0.26947
377e-9 2.10258 0.2677
378e-9 2.10132 0.26595
379e-9 2.10006 0.26422
380e-9 2.09882 0.26251
381e-9 2.09759 0.26082
382e-9 2.09637 0.25915
383e-9 2.09515 0.2575
384e-9 2.09395 0.25586
385e-9 2.09275 0.25425
386e-9 2.09157 0.25265
387e-9 2.09039 0.25106
388e-9 2.08922 0.2495
389e-9 2.08806 0.24795
390e-9 2.08692 0.24642
391e-9 2.08577 0.24491
392e-9 2.08464 0.24341
393e-9 2.08352 0.24193
394e-9 2.0824 0.24047
395e-9 2.08129 0.23902
396e-9 2.0802 0.23759
397e-9 2.07911 0.23616
398e-9 2.07802 0.23476
399e-9 2.07695 0.23337
400e-9 2.07588 0.23199
401e-9 2.07483 0.23063
402e-9 2.07378 0.22928
403e-9 2.07273 0.22795
404e-9 2.0717 0.22663
405e-9 2.07067 0.22532
406e-9 2.06965 0.22402
407e-9 2.06864 0.22275
408e-9 2.06763 0.22147
409e-9 2.06664 0.22022
410e-9 2.06565 0.21898
411e-9 2.06467 0.21774
412e-9 2.06369 0.21652
413e-9 2.06272 0.21532
414e-9 2.06176 0.21412
415e-9 2.06081 0.21293
416e-9 2.05986 0.21176
417e-9 2.05892 0.2106
418e-9 2.05799 0.20945
419e-9 2.05706 0.2083
420e-9 2.05614 0.20717
421e-9 2.05523 0.20605
422e-9 2.05432 0.20494
423e-9 2.05342 0.20385
424e-9 2.05253 0.20276
425e-9 2.05164 0.20168
426e-9 2.05076 0.20061
427e-9 2.04988 0.19955
428e-9 2.04902 0.1985
429e-9 2.04815 0.19746
430e-9 2.0473 0.19643
431e-9 2.04645 0.19541
432e-9 2.0456 0.19439
433e-9 2.04476 0.19339
434e-9 2.04393 0.1924
435e-9 2.0431 0.19141
436e-9 2.04228 0.19043
437e-9 2.04147 0.18946
438e-9 2.04066 0.1885
439e-9 2.03985 0.18755
440e-9 2.03905 0.1866
441e-9 2.03826 0.18567
442e-9 2.03747 0.18474
443e-9 2.03669 0.18382
444e-9 2.03591 0.18291
445e-9 2.03514 0.182
446e-9 2.03437 0.1811
447e-9 2.03361 0.18021
448e-9 2.03285 0.17933
449e-9 2.0321 0.17845
450e-9 2.03136 0.17759
451e-9 2.03061 0.17672
452e-9 2.02988 0.17587
453e-9 2.02915 0.17502
454e-9 2.02842 0.17418
455e-9 2.0277 0.17335
456e-9 2.02698 0.17252
457e-9 2.02627 0.1717
458e-9 2.02556 0.17089
459e-9 2.02485 0.17008
460e-9 2.02416 0.16928
461e-9 2.02346 0.16849
462e-9 2.02277 0.1677
463e-9 2.02209 0.16692
464e-9 2.02141 0.16614
465e-9 2.02073 0.16537
466e-9 2.02006 0.1646
467e-9 2.01939 0.16384
468e-9 2.01873 0.16309
469e-9 2.01807 0.16235
470e-9 2.01741 0.1616
471e-9 2.01676 0.16087
472e-9 2.01611 0.16014
473e-9 2.01547 0.15941
474e-9 2.01483 0.15869
475e-9 2.0142 0.15798
476e-9 2.01357 0.15727
477e-9 2.01294 0.15657
478e-9 2.01232 0.15587
479e-9 2.0117 0.15518
480e-9 2.01108 0.15449
481e-9 2.01047 0.1538
482e-9 2.00986 0.15313
483e-9 2.00926 0.15245
484e-9 2.00866 0.15178
485e-9 2.00806 0.15112
486e-9 2.00747 0.15046
487e-9 2.00688 0.14981
488e-9 2.00629 0.14916
489e-9 2.00571 0.14851
490e-9 2.00513 0.14787
491e-9 2.00456 0.14724
492e-9 2.00398 0.1466
493e-9 2.00342 0.14598
494e-9 2.00285 0.14535
495e-9 2.00229 0.14474
496e-9 2.00173 0.14412
497e-9 2.00117 0.14351
498e-9 2.00062 0.1429
499e-9 2.00007 0.1423
500e-9 1.99953 0.14171
501e-9 1.99899 0.14111
502e-9 1.99845 0.14052
503e-9 1.99791 0.13994
504e-9 1.99738 0.13935
505e-9 1.99685 0.13878
506e-9 1.99632 0.1382
507e-9 1.9958 0.13763
508e-9 1.99528 0.13707
509e-9 1.99476 0.1365
510e-9 1.99424 0.13594
511e-9 1.99373 0.13539
512e-9 1.99322 0.13484
513e-9 1.99272 0.13429
514e-9 1.99222 0.13375
515e-9 1.99171 0.1332
516e-9 1.99122 0.13267
517e-9 1.99072 0.13213
518e-9 1.99023 0.1316
519e-9 1.98974 0.13107
520e-9 1.98925 0.13055
521e-9 1.98877 0.13003
522e-9 1.98829 0.12951
523e-9 1.98781 0.129
524e-9 1.98733 0.12849
525e-9 1.98686 0.12798
526e-9 1.98639 0.12747
527e-9 1.98592 0.12697
528e-9 1.98546 0.12648
529e-9 1.98499 0.12598
530e-9 1.98453 0.12549
531e-9 1.98408 0.125
532e-9 1.98362 0.12451
533e-9 1.98317 0.12403
534e-9 1.98272 0.12355
535e-9 1.98227 0.12307
536e-9 1.98182 0.1226
537e-9 1.98138 0.12212
538e-9 1.98094 0.12166
539e-9 1.9805 0.12119
540e-9 1.98006 0.12073
541e-9 1.97963 0.12027
542e-9 1.97919 0.11981
543e-9 1.97876 0.11935
544e-9 1.97834 0.1189
545e-9 1.97791 0.11845
546e-9 1.97749 0.11801
547e-9 1.97707 0.11756
548e-9 1.97665 0.11712
549e-9 1.97623 0.11668
550e-9 1.97582 0.11624
551e-9 1.97541 0.11581
552e-9 1.975 0.11538
553e-9 1.97459 0.11495
554e-9 1.97418 0.11452
555e-9 1.97378 0.1141
556e-9 1.97338 0.11368
557e-9 1.97298 0.11326
558e-9 1.97258 0.11284
559e-9 1.97218 0.11242
560e-9 1.97179 0.11201
561e-9 1.9714 0.1116
562e-9 1.97101 0.11119
563e-9 1.97062 0.11079
564e-9 1.97023 0.11039
565e-9 1.96985 0.10999
566e-9 1.96947 0.10959
567e-9 1.96909 0.10919
568e-9 1.96871 0.1088
569e-9 1.96833 0.1084
570e-9 1.96796 0.10801
571e-9 1.96758 0.10763
572e-9 1.96721 0.10724
573e-9 1.96684 0.10686
574e-9 1.96647 0.10647
575e-9 1.96611 0.1061
