lambda n k
300e-9 2.12362 0.53945
301e-9 2.12033 0.53194
302e-9 2.11767 0.52431
303e-9 2.11562 0.51676
304e-9 2.11318 0.5097
305e-9 2.10953 0.50358
306e-9 2.10714 0.49719
307e-9 2.10461 0.49097
308e-9 2.10176 0.485
309e-9 2.09711 0.48027
310e-9 2.09318 0.4754
311e-9 2.08971 0.47043
312e-9 2.08393 0.46601
313e-9 2.07938 0.46132
314e-9 2.0758 0.45676
315e-9 2.07253 0.45766
316e-9 2.07029 0.45845
317e-9 2.06896 0.45913
318e-9 2.0659 0.46019
319e-9 2.06288 0.46125
320e-9 2.05994 0.46228
321e-9 2.05595 0.46356
322e-9 2.05258 0.4647
323e-9 2.05126 0.46537
324e-9 2.05033 0.46787
325e-9 2.04965 0.47134
326e-9 2.04989 0.47659
327e-9 2.05072 0.48168
328e-9 2.05235 0.48654
329e-9 2.05517 0.49107
330e-9 2.05862 0.49553
331e-9 2.06456 0.50027
332e-9 2.07135 0.50492
333e-9 2.07931 0.50945
334e-9 2.08903 0.51345
335e-9 2.09944 0.51725
336e-9 2.11005 0.51733
337e-9 2.12102 0.517
338e-9 2.13301 0.5155
339e-9 2.14485 0.51405
340e-9 2.15654 0.51264
341e-9 2.16762 0.50819
342e-9 2.17848 0.50265
343e-9 2.18876 0.49604
344e-9 2.19879 0.48917
345e-9 2.20737 0.48095
346e-9 2.21576 0.47244
347e-9 2.22372 0.46328
348e-9 2.23041 0.4544
349e-9 2.23556 0.44587
350e-9 2.24018 0.43633
351e-9 2.24442 0.42608
352e-9 2.24749 0.41605
353e-9 2.25002 0.40612
354e-9 2.25198 0.39619
355e-9 2.25378 0.38626
356e-9 2.25441 0.37672
357e-9 2.25483 0.36724
358e-9 2.25427 0.3583
359e-9 2.25359 0.34942
360e-9 2.25204 0.34194
361e-9 2.25042 0.33458
362e-9 2.24858 0.32843
363e-9 2.24673 0.32238
364e-9 2.24467 0.31639
365e-9 2.2426 0.31042
366e-9 2.24048 0.30491
367e-9 2.23835 0.29948
368e-9 2.23656 0.29405
369e-9 2.23485 0.28863
370e-9 2.23296 0.28326
371e-9 2.231 0.27792
372e-9 2.22906 0.27309
373e-9 2.22713 0.26861
374e-9 2.22489 0.2642
375e-9 2.22226 0.25987
376e-9 2.21959 0.25555
377e-9 2.21684 0.25126
378e-9 2.21405 0.24708
379e-9 2.2109 0.24372
380e-9 2.20776 0.24036
381e-9 2.20557 0.23754
382e-9 2.20348 0.23477
383e-9 2.20142 0.23202
384e-9 2.19936 0.22927
385e-9 2.1968 0.22658
386e-9 2.19347 0.22399
387e-9 2.19023 0.22141
388e-9 2.18771 0.21898
389e-9 2.18519 0.21656
390e-9 2.18283 0.21458
391e-9 2.1805 0.21273
392e-9 2.17847 0.21085
393e-9 2.1768 0.20895
394e-9 2.17509 0.20705
395e-9 2.17282 0.20523
396e-9 2.17054 0.2034
397e-9 2.16847 0.20157
398e-9 2.16651 0.19973
399e-9 2.16454 0.19789
400e-9 2.16258 0.19607
401e-9 2.16062 0.19424
402e-9 2.15797 0.19249
403e-9 2.15509 0.19077
404e-9 2.15239 0.18927
405e-9 2.15018 0.18838
406e-9 2.14796 0.18749
407e-9 2.14564 0.1867
408e-9 2.14328 0.18595
409e-9 2.14097 0.18519
410e-9 2.13887 0.18442
411e-9 2.13678 0.18364
412e-9 2.13528 0.18283
413e-9 2.13419 0.18198
414e-9 2.1331 0.18113
415e-9 2.13188 0.1803
416e-9 2.13065 0.17947
417e-9 2.12942 0.17865
418e-9 2.12821 0.17783
419e-9 2.12699 0.17701
420e-9 2.1258 0.17634
421e-9 2.12462 0.17577
422e-9 2.12344 0.17519
423e-9 2.12227 0.17464
424e-9 2.12111 0.17408
425e-9 2.11994 0.17354
426e-9 2.11879 0.17299
427e-9 2.11764 0.17245
428e-9 2.1165 0.1719
429e-9 2.11536 0.17136
430e-9 2.11422 0.17082
431e-9 2.11336 0.17027
432e-9 2.11277 0.16969
433e-9 2.11219 0.16911
434e-9 2.11193 0.16843
435e-9 2.11187 0.16767
436e-9 2.11181 0.16692
437e-9 2.11174 0.166
438e-9 2.11166 0.16502
439e-9 2.11159 0.16404
440e-9 2.11151 0.16307
441e-9 2.11144 0.1621
442e-9 2.11136 0.16113
443e-9 2.11129 0.16017
444e-9 2.11122 0.15922
445e-9 2.11115 0.15826
446e-9 2.11042 0.15736
447e-9 2.10948 0.15648
448e-9 2.10854 0.1556
449e-9 2.1081 0.1547
450e-9 2.1079 0.15378
451e-9 2.1077 0.15285
452e-9 2.10757 0.15193
453e-9 2.1075 0.15101
454e-9 2.10744 0.1501
455e-9 2.10722 0.14915
456e-9 2.10678 0.14815
457e-9 2.10634 0.14716
458e-9 2.10594 0.14614
459e-9 2.1057 0.14506
460e-9 2.10546 0.14397
461e-9 2.10522 0.14288
462e-9 2.10474 0.14182
463e-9 2.10425 0.14076
464e-9 2.10376 0.1397
465e-9 2.10324 0.13865
466e-9 2.1027 0.13761
467e-9 2.10217 0.13657
468e-9 2.10164 0.13553
469e-9 2.10111 0.1345
470e-9 2.10058 0.13347
471e-9 2.10006 0.13244
472e-9 2.09995 0.1314
473e-9 2.09988 0.13036
474e-9 2.09982 0.12931
475e-9 2.09958 0.12816
476e-9 2.09913 0.12687
477e-9 2.09868 0.12558
478e-9 2.09823 0.12428
479e-9 2.09764 0.12302
480e-9 2.09705 0.12175
481e-9 2.09646 0.12049
482e-9 2.09609 0.11921
483e-9 2.09602 0.11794
484e-9 2.09595 0.11666
485e-9 2.09588 0.11538
486e-9 2.09551 0.11413
487e-9 2.09507 0.11289
488e-9 2.09463 0.11165
489e-9 2.09418 0.11042
490e-9 2.09363 0.1092
491e-9 2.09309 0.10798
492e-9 2.09255 0.10677
493e-9 2.09203 0.10555
494e-9 2.09156 0.10435
495e-9 2.09108 0.10314
496e-9 2.0906 0.10194
497e-9 2.09016 0.10071
498e-9 2.08974 0.09948
499e-9 2.08931 0.09825
500e-9 2.08889 0.09702
501e-9 2.08839 0.09581
502e-9 2.08789 0.0946
503e-9 2.08739 0.09338
504e-9 2.08689 0.09217
505e-9 2.08643 0.09098
506e-9 2.08598 0.08978
507e-9 2.08553 0.08859
508e-9 2.08508 0.08739
509e-9 2.08464 0.08621
510e-9 2.0842 0.08503
511e-9 2.08376 0.08385
512e-9 2.08329 0.08267
513e-9 2.08226 0.08153
514e-9 2.08123 0.08039
515e-9 2.0802 0.07925
516e-9 2.07918 0.07811
517e-9 2.07834 0.07697
518e-9 2.07751 0.07584
519e-9 2.07667 0.07471
520e-9 2.07584 0.07357
521e-9 2.07493 0.07252
522e-9 2.07401 0.07148
523e-9 2.0731 0.07044
524e-9 2.07218 0.06941
525e-9 2.07111 0.06858
526e-9 2.06995 0.06787
527e-9 2.0688 0.06716
528e-9 2.06765 0.06646
529e-9 2.06656 0.06575
530e-9 2.06556 0.06504
531e-9 2.06457 0.06434
532e-9 2.06358 0.06363
533e-9 2.0626 0.06293
534e-9 2.06173 0.06223
535e-9 2.06086 0.06153
536e-9 2.06 0.06083
537e-9 2.05913 0.06013
538e-9 2.05827 0.05944
539e-9 2.05742 0.05875
540e-9 2.05656 0.05806
541e-9 2.05571 0.05737
542e-9 2.05484 0.05668
543e-9 2.05389 0.056
544e-9 2.05294 0.05532
545e-9 2.05198 0.05464
546e-9 2.05103 0.05396
547e-9 2.05022 0.0533
548e-9 2.0495 0.05264
549e-9 2.04879 0.05199
550e-9 2.04807 0.05134
551e-9 2.04736 0.05068
552e-9 2.04643 0.05011
553e-9 2.0455 0.04955
554e-9 2.04456 0.04898
555e-9 2.04363 0.04841
556e-9 2.04275 0.04785
557e-9 2.04208 0.04728
558e-9 2.0414 0.04672
559e-9 2.04073 0.04615
560e-9 2.04005 0.04559
561e-9 2.03933 0.04503
562e-9 2.03854 0.04448
563e-9 2.03776 0.04392
564e-9 2.03697 0.04337
565e-9 2.03619 0.04281
566e-9 2.03541 0.04226
567e-9 2.03464 0.04172
568e-9 2.03386 0.04117
569e-9 2.03309 0.04063
570e-9 2.03232 0.04008
571e-9 2.03155 0.03954
572e-9 2.0308 0.039
573e-9 2.03004 0.03846
574e-9 2.02928 0.03792
575e-9 2.02852 0.03738
576e-9 2.02777 0.03694
577e-9 2.02702 0.03657
578e-9 2.02628 0.03621
579e-9 2.02553 0.03585
580e-9 2.02479 0.03549
581e-9 2.0241 0.03516
582e-9 2.0235 0.03488
583e-9 2.02291 0.0346
584e-9 2.02231 0.03432
585e-9 2.02171 0.03404
586e-9 2.02111 0.03376
587e-9 2.0205 0.03349
588e-9 2.01988 0.03321
589e-9 2.01927 0.03293
590e-9 2.01866 0.03266
591e-9 2.01804 0.03238
592e-9 2.01738 0.03211
593e-9 2.01671 0.03184
594e-9 2.01603 0.03157
595e-9 2.01536 0.0313
596e-9 2.01469 0.03103
597e-9 2.01402 0.03076
598e-9 2.01336 0.0305
599e-9 2.0127 0.03023
600e-9 2.01204 0.02996
601e-9 2.01138 0.0297
602e-9 2.01072 0.02943
603e-9 2.01024 0.02916
604e-9 2.00979 0.0289
605e-9 2.00934 0.02863
606e-9 2.00889 0.02837
607e-9 2.00844 0.0281
608e-9 2.00795 0.02784
609e-9 2.00734 0.02758
610e-9 2.00672 0.02732
611e-9 2.0061 0.02706
612e-9 2.00549 0.0268
613e-9 2.00487 0.02655
614e-9 2.0043 0.02626
615e-9 2.00378 0.02596
616e-9 2.00326 0.02565
617e-9 2.00274 0.02534
618e-9 2.00221 0.02503
619e-9 2.00169 0.02473
620e-9 2.00118 0.02442
621e-9 2.00067 0.02411
622e-9 2.00016 0.02379
623e-9 1.99965 0.02348
624e-9 1.99914 0.02317
625e-9 1.99863 0.02286
626e-9 1.99807 0.02255
627e-9 1.99749 0.02225
628e-9 1.9969 0.02194
629e-9 1.99631 0.02164
630e-9 1.99572 0.02133
631e-9 1.99513 0.02103
632e-9 1.99465 0.02072
633e-9 1.99424 0.02042
634e-9 1.99383 0.02012
635e-9 1.99343 0.01982
636e-9 1.99302 0.01951
637e-9 1.99261 0.01921
638e-9 1.99222 0.01891
639e-9 1.99187 0.01861
640e-9 1.99152 0.01832
641e-9 1.99117 0.01802
642e-9 1.99081 0.01772
643e-9 1.99046 0.01742
644e-9 1.9901 0.01713
645e-9 1.9897 0.01686
646e-9 1.9893 0.0166
647e-9 1.9889 0.01633
648e-9 1.9885 0.01607
649e-9 1.9881 0.01581
650e-9 1.9877 0.01554
651e-9 1.98713 0.01532
652e-9 1.98646 0.01512
653e-9 1.98578 0.01492
654e-9 1.9851 0.01473
655e-9 1.98443 0.01453
656e-9 1.98375 0.01433
657e-9 1.98309 0.01414
658e-9 1.98287 0.01394
659e-9 1.98265 0.01374
660e-9 1.98243 0.01355
661e-9 1.98221 0.01335
662e-9 1.98199 0.01315
663e-9 1.98177 0.01296
664e-9 1.98143 0.01276
665e-9 1.98083 0.01257
666e-9 1.98022 0.01238
667e-9 1.97962 0.01219
668e-9 1.97902 0.012
669e-9 1.97841 0.01181
670e-9 1.97781 0.01162
671e-9 1.97719 0.01143
672e-9 1.97655 0.01124
673e-9 1.97591 0.01106
674e-9 1.97527 0.01087
675e-9 1.97463 0.01068
676e-9 1.97399 0.01049
677e-9 1.97335 0.01031
678e-9 1.97272 0.01012
679e-9 1.97209 0.00994
680e-9 1.97147 0.00975
681e-9 1.97084 0.00957
682e-9 1.97021 0.00938
683e-9 1.96958 0.0092
684e-9 1.96896 0.00902
