lambda n k
300e-9 1.8 0.0
302e-9 1.8 0.13438852
304e-9 1.8 0.22682568
306e-9 1.8 0.22899602
308e-9 1.8 0.22992902
310e-9 1.8 0.2323901
312e-9 1.8 0.23606278
314e-9 1.8 0.2393228
316e-9 1.8 0.23985337
318e-9 1.8 0.23992042
320e-9 1.8 0.23926127
322e-9 1.8 0.23819003
324e-9 1.8 0.23794523
326e-9 1.8 0.23702365
328e-9 1.8 0.23574994
330e-9 1.8 0.23261831
332e-9 1.8 0.22905847
334e-9 1.8 0.22416359
336e-9 1.8 0.2193309
338e-9 1.8 0.21578675
340e-9 1.8 0.21348743
342e-9 1.8 0.21022945
344e-9 1.8 0.20692242
346e-9 1.8 0.20012212
348e-9 1.8 0.1938057
350e-9 1.8 0.18876
352e-9 1.8 0.18532356
354e-9 1.8 0.18315208
356e-9 1.8 0.18084995
358e-9 1.8 0.17764633
360e-9 1.8 0.17515567
362e-9 1.8 0.16929533
364e-9 1.8 0.16416122
366e-9 1.8 0.15963194
368e-9 1.8 0.1568158
370e-9 1.8 0.15478751
372e-9 1.8 0.15366241
374e-9 1.8 0.15199787
376e-9 1.8 0.15064617
378e-9 1.8 0.14630313
380e-9 1.8 0.14275328
382e-9 1.8 0.14057779
384e-9 1.8 0.13847526
386e-9 1.8 0.13553027
388e-9 1.8 0.13466747
390e-9 1.8 0.13448663
392e-9 1.8 0.13431633
394e-9 1.8 0.13091857
396e-9 1.8 0.12736265
398e-9 1.8 0.12509299
400e-9 1.8 0.12297431
402e-9 1.8 0.12021368
404e-9 1.8 0.11975971
406e-9 1.8 0.11989103
408e-9 1.8 0.11946575
410e-9 1.8 0.11715461
412e-9 1.8 0.11494529
414e-9 1.8 0.11302772
416e-9 1.8 0.11164802
418e-9 1.8 0.1103155
420e-9 1.8 0.10978001
422e-9 1.8 0.11006568
424e-9 1.8 0.11101548
426e-9 1.8 0.11063307
428e-9 1.8 0.10957659
430e-9 1.8 0.10953264
432e-9 1.8 0.10977632
434e-9 1.8 0.10959557
436e-9 1.8 0.11023076
438e-9 1.8 0.11263736
440e-9 1.8 0.11523584
442e-9 1.8 0.11660967
444e-9 1.8 0.1169173
446e-9 1.8 0.11981395
448e-9 1.8 0.12110082
450e-9 1.8 0.11921252
452e-9 1.8 0.11907238
454e-9 1.8 0.12264023
456e-9 1.8 0.12623413
458e-9 1.8 0.12973775
460e-9 1.8 0.13063991
462e-9 1.8 0.1320723
464e-9 1.8 0.13243358
466e-9 1.8 0.13251046
468e-9 1.8 0.13298364
470e-9 1.8 0.13589421
472e-9 1.8 0.13988049
474e-9 1.8 0.14362514
476e-9 1.8 0.14457295
478e-9 1.8 0.14693896
480e-9 1.8 0.14793476
482e-9 1.8 0.14770757
484e-9 1.8 0.14854395
486e-9 1.8 0.15139898
488e-9 1.8 0.15362864
490e-9 1.8 0.15596039
492e-9 1.8 0.15713161
494e-9 1.8 0.15886726
496e-9 1.8 0.16007468
498e-9 1.8 0.16068693
500e-9 1.8 0.16127725
502e-9 1.8 0.16344488
504e-9 1.8 0.16622762
506e-9 1.8 0.16864359
508e-9 1.8 0.16935667
510e-9 1.8 0.17245159
512e-9 1.8 0.17552054
514e-9 1.8 0.17753671
516e-9 1.8 0.17891809
518e-9 1.8 0.18191592
520e-9 1.8 0.18577502
522e-9 1.8 0.18981972
524e-9 1.8 0.19157206
526e-9 1.8 0.19604401
528e-9 1.8 0.19855899
530e-9 1.8 0.19880703
532e-9 1.8 0.19992001
534e-9 1.8 0.20505357
536e-9 1.8 0.21096014
538e-9 1.8 0.21766015
540e-9 1.8 0.22109733
542e-9 1.8 0.22724106
544e-9 1.8 0.23154191
