lambda n k
300e-9 1.70023 0.01975
301e-9 1.69667 0.01951
302e-9 1.69355 0.01928
303e-9 1.69099 0.01904
304e-9 1.68843 0.01881
305e-9 1.68587 0.01857
306e-9 1.68239 0.01834
307e-9 1.67883 0.0181
308e-9 1.67527 0.01787
309e-9 1.67279 0.01763
310e-9 1.67115 0.0174
311e-9 1.66951 0.01716
312e-9 1.66787 0.01693
313e-9 1.66539 0.01669
314e-9 1.66283 0.01646
315e-9 1.66027 0.01622
316e-9 1.65808 0.01599
317e-9 1.65644 0.01575
318e-9 1.6548 0.01552
319e-9 1.65316 0.01528
320e-9 1.65152 0.01505
321e-9 1.64988 0.01481
322e-9 1.64824 0.01458
323e-9 1.64669 0.01434
324e-9 1.6459 0.01411
325e-9 1.64511 0.01387
326e-9 1.64432 0.01364
327e-9 1.64326 0.0134
328e-9 1.64162 0.01317
329e-9 1.63998 0.01293
330e-9 1.63834 0.0127
331e-9 1.6367 0.01246
332e-9 1.63506 0.01223
333e-9 1.63342 0.01199
334e-9 1.6318 0.01176
335e-9 1.6318 0.01152
336e-9 1.6318 0.01129
337e-9 1.6318 0.01105
338e-9 1.63167 0.01082
339e-9 1.63003 0.01058
340e-9 1.62839 0.01035
341e-9 1.62675 0.01011
342e-9 1.62511 0.00988
343e-9 1.62347 0.00964
344e-9 1.62182 0.00941
345e-9 1.62018 0.00917
346e-9 1.61921 0.00894
347e-9 1.61842 0.0087
348e-9 1.61763 0.00847
349e-9 1.61684 0.00823
350e-9 1.61605 0.008
351e-9 1.61526 0.00803
352e-9 1.61447 0.00805
353e-9 1.61368 0.00808
354e-9 1.61289 0.00811
355e-9 1.6121 0.00814
356e-9 1.61131 0.00816
357e-9 1.61052 0.00819
358e-9 1.60973 0.00822
359e-9 1.60894 0.00825
360e-9 1.60815 0.00827
361e-9 1.60684 0.0083
362e-9 1.6052 0.00833
363e-9 1.60356 0.00836
364e-9 1.60192 0.00838
365e-9 1.6011 0.00841
366e-9 1.60031 0.00844
367e-9 1.59952 0.00847
368e-9 1.59873 0.00849
369e-9 1.59794 0.00852
370e-9 1.59715 0.00855
371e-9 1.59636 0.00858
372e-9 1.59557 0.0086
373e-9 1.59478 0.00863
374e-9 1.59399 0.00866
375e-9 1.5932 0.00868
376e-9 1.59241 0.00871
377e-9 1.59162 0.00874
378e-9 1.59083 0.00877
379e-9 1.59004 0.00879
380e-9 1.58857 0.00882
381e-9 1.58693 0.00885
382e-9 1.58529 0.00888
383e-9 1.58389 0.0089
384e-9 1.58389 0.00893
385e-9 1.58389 0.00896
386e-9 1.58389 0.00899
387e-9 1.58354 0.00901
388e-9 1.5819 0.00904
389e-9 1.58026 0.00907
390e-9 1.57862 0.0091
391e-9 1.57746 0.00912
392e-9 1.57667 0.00915
393e-9 1.57588 0.00918
394e-9 1.57509 0.00921
395e-9 1.5743 0.00923
396e-9 1.57351 0.00926
397e-9 1.57272 0.00929
398e-9 1.57193 0.00932
399e-9 1.57114 0.00934
400e-9 1.57035 0.00937
401e-9 1.56956 0.00943
402e-9 1.56877 0.00949
403e-9 1.56798 0.00956
404e-9 1.56719 0.00962
405e-9 1.5664 0.00968
406e-9 1.56561 0.00974
407e-9 1.56482 0.0098
408e-9 1.56403 0.00986
409e-9 1.56324 0.00993
410e-9 1.56293 0.00999
411e-9 1.56293 0.01005
412e-9 1.56293 0.01011
413e-9 1.56293 0.01017
414e-9 1.5624 0.01024
415e-9 1.56161 0.0103
416e-9 1.56082 0.01036
417e-9 1.56003 0.01042
418e-9 1.55924 0.01048
419e-9 1.55845 0.01055
420e-9 1.55766 0.01061
421e-9 1.55695 0.01067
422e-9 1.55695 0.01073
423e-9 1.55695 0.01079
424e-9 1.55695 0.01085
425e-9 1.55668 0.01092
426e-9 1.55504 0.01098
427e-9 1.5534 0.01104
428e-9 1.55176 0.0111
429e-9 1.55096 0.01116
430e-9 1.55096 0.01123
431e-9 1.55096 0.01129
432e-9 1.55096 0.01135
433e-9 1.55096 0.01141
434e-9 1.55096 0.01147
435e-9 1.55096 0.01154
436e-9 1.55096 0.0116
437e-9 1.55096 0.01166
438e-9 1.55096 0.01172
439e-9 1.55096 0.01178
440e-9 1.55096 0.01184
441e-9 1.54979 0.01191
442e-9 1.54815 0.01197
443e-9 1.54651 0.01203
444e-9 1.54497 0.01209
445e-9 1.54497 0.01215
446e-9 1.54497 0.01222
447e-9 1.54497 0.01228
448e-9 1.54487 0.01234
449e-9 1.54408 0.0124
450e-9 1.54329 0.01246
451e-9 1.5425 0.01261
452e-9 1.54171 0.01277
453e-9 1.54092 0.01292
454e-9 1.54013 0.01307
455e-9 1.53934 0.01322
456e-9 1.53898 0.01337
457e-9 1.53898 0.01352
458e-9 1.53898 0.01367
459e-9 1.53898 0.01382
460e-9 1.5385 0.01397
461e-9 1.53771 0.01412
462e-9 1.53692 0.01427
463e-9 1.53613 0.01442
464e-9 1.53534 0.01457
465e-9 1.53455 0.01472
466e-9 1.53376 0.01488
467e-9 1.53297 0.01503
468e-9 1.53218 0.01518
469e-9 1.53139 0.01533
470e-9 1.5306 0.01548
471e-9 1.52981 0.01563
472e-9 1.52902 0.01578
473e-9 1.52823 0.01593
474e-9 1.52744 0.01608
475e-9 1.52701 0.01623
476e-9 1.52701 0.01638
477e-9 1.52701 0.01653
478e-9 1.52701 0.01668
479e-9 1.52616 0.01683
480e-9 1.52452 0.01699
481e-9 1.52288 0.01714
482e-9 1.52124 0.01729
483e-9 1.52102 0.01744
484e-9 1.52102 0.01759
485e-9 1.52102 0.01774
486e-9 1.52102 0.01789
487e-9 1.52028 0.01804
488e-9 1.51949 0.01819
489e-9 1.5187 0.01834
490e-9 1.51791 0.01849
491e-9 1.51712 0.01864
492e-9 1.51633 0.01879
493e-9 1.51554 0.01894
494e-9 1.51503 0.0191
495e-9 1.51503 0.01925
496e-9 1.51503 0.0194
497e-9 1.51503 0.01955
498e-9 1.5147 0.0197
499e-9 1.51391 0.01985
500e-9 1.51312 0.02
501e-9 1.51233 0.0202
502e-9 1.51154 0.02041
503e-9 1.51075 0.02061
504e-9 1.50996 0.02082
505e-9 1.50917 0.02102
506e-9 1.50904 0.02122
507e-9 1.50904 0.02143
508e-9 1.50904 0.02163
509e-9 1.50904 0.02183
510e-9 1.50833 0.02204
511e-9 1.50754 0.02224
512e-9 1.50675 0.02245
513e-9 1.50596 0.02265
514e-9 1.50517 0.02285
515e-9 1.50438 0.02306
516e-9 1.50359 0.02326
517e-9 1.50305 0.02347
518e-9 1.50305 0.02367
519e-9 1.50305 0.02387
520e-9 1.50305 0.02408
521e-9 1.50275 0.02428
522e-9 1.50196 0.02448
523e-9 1.50117 0.02469
524e-9 1.50038 0.02489
525e-9 1.49959 0.0251
526e-9 1.4988 0.0253
527e-9 1.49801 0.0255
528e-9 1.49722 0.02571
529e-9 1.49707 0.02591
530e-9 1.49707 0.02611
531e-9 1.49707 0.02632
532e-9 1.49707 0.02652
533e-9 1.49638 0.02673
534e-9 1.49559 0.02693
535e-9 1.4948 0.02713
536e-9 1.49401 0.02734
537e-9 1.49322 0.02754
538e-9 1.49243 0.02775
539e-9 1.49164 0.02795
540e-9 1.49108 0.02815
541e-9 1.49108 0.02836
542e-9 1.49108 0.02856
543e-9 1.49108 0.02876
544e-9 1.49108 0.02897
545e-9 1.49108 0.02917
546e-9 1.49108 0.02938
547e-9 1.49108 0.02958
548e-9 1.49038 0.02978
549e-9 1.48874 0.02999
550e-9 1.4871 0.03019
551e-9 1.48546 0.03047
552e-9 1.48509 0.03075
553e-9 1.48509 0.03104
554e-9 1.48509 0.03132
555e-9 1.48509 0.0316
556e-9 1.48442 0.03188
557e-9 1.48363 0.03216
558e-9 1.48284 0.03244
559e-9 1.48205 0.03272
560e-9 1.48126 0.03301
561e-9 1.48047 0.03329
562e-9 1.47969 0.03357
563e-9 1.4791 0.03385
564e-9 1.4791 0.03413
565e-9 1.4791 0.03441
566e-9 1.4791 0.03469
567e-9 1.47884 0.03497
568e-9 1.47805 0.03526
569e-9 1.47726 0.03554
570e-9 1.47647 0.03582
571e-9 1.47611 0.0361
572e-9 1.47611 0.03638
573e-9 1.47611 0.03666
574e-9 1.47611 0.03694
575e-9 1.47563 0.03723
576e-9 1.47484 0.03751
577e-9 1.47405 0.03779
578e-9 1.47326 0.03807
579e-9 1.47247 0.03835
580e-9 1.47168 0.03863
581e-9 1.47089 0.03891
582e-9 1.4701 0.03919
583e-9 1.46931 0.03948
584e-9 1.46852 0.03976
585e-9 1.46773 0.04004
586e-9 1.46713 0.04032
587e-9 1.46713 0.0406
588e-9 1.46713 0.04088
589e-9 1.46713 0.04116
590e-9 1.46713 0.04145
591e-9 1.46713 0.04173
592e-9 1.46713 0.04201
593e-9 1.46713 0.04229
594e-9 1.46684 0.04257
595e-9 1.46605 0.04285
596e-9 1.46526 0.04313
597e-9 1.46447 0.04342
598e-9 1.46368 0.0437
599e-9 1.46289 0.04398
600e-9 1.4621 0.04426
601e-9 1.46131 0.04454
602e-9 1.46114 0.04482
603e-9 1.46114 0.0451
