lambda n k
350e-9 1.64651 0.204
351e-9 1.64633 0.204
352e-9 1.64616 0.204
353e-9 1.64597 0.204
354e-9 1.64576 0.204
355e-9 1.64553 0.204
356e-9 1.64529 0.203
357e-9 1.64503 0.203
358e-9 1.64475 0.203
359e-9 1.64445 0.204
360e-9 1.64413 0.203
361e-9 1.6438 0.202
362e-9 1.64345 0.201
363e-9 1.64308 0.2
364e-9 1.64269 0.199
365e-9 1.64228 0.199
366e-9 1.64185 0.2
367e-9 1.6414 0.202
368e-9 1.64093 0.205
369e-9 1.64045 0.208
370e-9 1.63994 0.209
371e-9 1.63941 0.21
372e-9 1.63887 0.211
373e-9 1.6383 0.211
374e-9 1.63771 0.211
375e-9 1.6371 0.21
376e-9 1.63647 0.209
377e-9 1.63582 0.208
378e-9 1.63515 0.208
379e-9 1.63445 0.207
380e-9 1.63374 0.206
381e-9 1.633 0.205
382e-9 1.63224 0.204
383e-9 1.63146 0.203
384e-9 1.63065 0.201
385e-9 1.62983 0.199
386e-9 1.62898 0.197
387e-9 1.62811 0.195
388e-9 1.62722 0.193
389e-9 1.62631 0.191
390e-9 1.62537 0.19
391e-9 1.62441 0.189
392e-9 1.62343 0.189
393e-9 1.62243 0.188
394e-9 1.62141 0.188
395e-9 1.62036 0.187
396e-9 1.61929 0.187
397e-9 1.61821 0.186
398e-9 1.6171 0.186
399e-9 1.61596 0.186
400e-9 1.61481 0.186
401e-9 1.61364 0.186
402e-9 1.61245 0.187
403e-9 1.61124 0.187
404e-9 1.61001 0.188
405e-9 1.60876 0.188
406e-9 1.60749 0.189
407e-9 1.6062 0.189
408e-9 1.6049 0.19
409e-9 1.60358 0.19
410e-9 1.60224 0.19
411e-9 1.60089 0.191
412e-9 1.59952 0.192
413e-9 1.59814 0.192
414e-9 1.59674 0.193
415e-9 1.59533 0.193
416e-9 1.59391 0.194
417e-9 1.59248 0.195
418e-9 1.59104 0.195
419e-9 1.58959 0.196
420e-9 1.58813 0.197
421e-9 1.58666 0.197
422e-9 1.58519 0.198
423e-9 1.58371 0.198
424e-9 1.58223 0.199
425e-9 1.58075 0.2
426e-9 1.57926 0.201
427e-9 1.57778 0.201
428e-9 1.5763 0.202
429e-9 1.57482 0.203
430e-9 1.57335 0.203
431e-9 1.57188 0.204
432e-9 1.57043 0.205
433e-9 1.56899 0.206
434e-9 1.56756 0.207
435e-9 1.56615 0.208
436e-9 1.56476 0.209
437e-9 1.5634 0.21
438e-9 1.56208 0.211
439e-9 1.5608 0.212
440e-9 1.55956 0.213
441e-9 1.55834 0.214
442e-9 1.55714 0.216
443e-9 1.55597 0.217
444e-9 1.5548 0.218
445e-9 1.55366 0.219
446e-9 1.55253 0.221
447e-9 1.55141 0.222
448e-9 1.55031 0.223
449e-9 1.54922 0.224
450e-9 1.54815 0.225
451e-9 1.54708 0.226
452e-9 1.54603 0.227
453e-9 1.54499 0.228
454e-9 1.54395 0.23
455e-9 1.54293 0.231
456e-9 1.54192 0.232
457e-9 1.54092 0.234
458e-9 1.53993 0.235
459e-9 1.53895 0.237
460e-9 1.53798 0.238
461e-9 1.53702 0.24
462e-9 1.53607 0.241
463e-9 1.53512 0.243
464e-9 1.53419 0.244
465e-9 1.53326 0.246
466e-9 1.53235 0.248
467e-9 1.53144 0.249
468e-9 1.53054 0.251
469e-9 1.52965 0.253
470e-9 1.52877 0.255
471e-9 1.5279 0.257
472e-9 1.52704 0.259
473e-9 1.52619 0.261
474e-9 1.52534 0.263
475e-9 1.52451 0.265
476e-9 1.52368 0.267
477e-9 1.52286 0.269
478e-9 1.52205 0.271
479e-9 1.52125 0.274
480e-9 1.52046 0.276
481e-9 1.51968 0.278
482e-9 1.51891 0.28
483e-9 1.51814 0.282
484e-9 1.51739 0.285
485e-9 1.51664 0.287
486e-9 1.51591 0.289
487e-9 1.51518 0.292
488e-9 1.51446 0.294
489e-9 1.51375 0.296
490e-9 1.51306 0.298
491e-9 1.51236 0.301
492e-9 1.51169 0.302
493e-9 1.51101 0.304
494e-9 1.51035 0.307
495e-9 1.5097 0.309
496e-9 1.50906 0.312
497e-9 1.50843 0.314
498e-9 1.50781 0.316
499e-9 1.5072 0.319
500e-9 1.50659 0.321
501e-9 1.506 0.324
502e-9 1.50542 0.326
503e-9 1.50485 0.328
504e-9 1.50429 0.33
505e-9 1.50373 0.332
506e-9 1.50319 0.335
507e-9 1.50266 0.337
508e-9 1.50214 0.34
509e-9 1.50163 0.343
510e-9 1.50112 0.345
511e-9 1.50063 0.348
512e-9 1.50015 0.351
513e-9 1.49968 0.354
514e-9 1.49922 0.356
515e-9 1.49876 0.359
516e-9 1.49832 0.362
517e-9 1.49789 0.365
518e-9 1.49747 0.367
519e-9 1.49705 0.37
520e-9 1.49665 0.373
521e-9 1.49626 0.376
522e-9 1.49587 0.379
523e-9 1.49549 0.382
524e-9 1.49513 0.385
525e-9 1.49477 0.388
526e-9 1.49442 0.39
527e-9 1.49407 0.393
528e-9 1.49374 0.395
529e-9 1.49341 0.398
530e-9 1.49309 0.401
531e-9 1.49278 0.404
532e-9 1.49247 0.407
533e-9 1.49217 0.41
534e-9 1.49188 0.413
535e-9 1.49159 0.416
536e-9 1.4913 0.419
537e-9 1.49102 0.421
538e-9 1.49075 0.424
539e-9 1.49047 0.428
540e-9 1.4902 0.431
541e-9 1.48994 0.434
542e-9 1.48967 0.437
543e-9 1.4894 0.44
544e-9 1.48914 0.444
545e-9 1.48887 0.447
546e-9 1.4886 0.45
547e-9 1.48833 0.454
548e-9 1.48805 0.458
549e-9 1.48777 0.461
550e-9 1.48748 0.465
551e-9 1.48719 0.469
552e-9 1.48689 0.472
553e-9 1.48658 0.477
554e-9 1.48625 0.481
555e-9 1.48591 0.485
556e-9 1.48556 0.49
557e-9 1.48519 0.495
558e-9 1.48481 0.499
559e-9 1.4844 0.504
560e-9 1.48397 0.509
561e-9 1.48351 0.514
562e-9 1.48303 0.519
563e-9 1.48252 0.524
564e-9 1.48197 0.529
565e-9 1.48138 0.534
566e-9 1.48076 0.539
567e-9 1.48009 0.543
568e-9 1.47937 0.548
569e-9 1.4786 0.553
570e-9 1.47777 0.558
571e-9 1.47688 0.563
572e-9 1.47593 0.568
573e-9 1.47489 0.572
574e-9 1.47378 0.577
575e-9 1.47259 0.581
576e-9 1.4713 0.585
577e-9 1.46992 0.589
578e-9 1.46844 0.593
579e-9 1.46684 0.597
580e-9 1.46512 0.6
581e-9 1.46329 0.603
582e-9 1.46132 0.606
583e-9 1.45922 0.609
584e-9 1.457 0.612
585e-9 1.45463 0.615
586e-9 1.45212 0.618
587e-9 1.44948 0.621
588e-9 1.44669 0.624
589e-9 1.44378 0.626
590e-9 1.44076 0.629
591e-9 1.43762 0.632
592e-9 1.4344 0.635
593e-9 1.43111 0.638
594e-9 1.42777 0.641
595e-9 1.42442 0.644
596e-9 1.42109 0.648
597e-9 1.41783 0.652
598e-9 1.41468 0.655
599e-9 1.41167 0.659
600e-9 1.4089 0.664
601e-9 1.4064 0.668
602e-9 1.40421 0.673
603e-9 1.40248 0.678
604e-9 1.4012 0.683
605e-9 1.40044 0.688
606e-9 1.40035 0.693
607e-9 1.4009 0.698
608e-9 1.40216 0.704
609e-9 1.4043 0.709
610e-9 1.40722 0.715
611e-9 1.41101 0.721
612e-9 1.41578 0.726
613e-9 1.42142 0.731
614e-9 1.42799 0.736
615e-9 1.43556 0.74
616e-9 1.44399 0.745
617e-9 1.45332 0.749
618e-9 1.46354 0.753
619e-9 1.47452 0.757
620e-9 1.48626 0.76
621e-9 1.49872 0.763
622e-9 1.51174 0.765
623e-9 1.52533 0.766
624e-9 1.53938 0.768
625e-9 1.55379 0.768
626e-9 1.56849 0.768
627e-9 1.5834 0.767
628e-9 1.59842 0.766
629e-9 1.61348 0.764
630e-9 1.62847 0.762
631e-9 1.64335 0.758
632e-9 1.658 0.754
633e-9 1.67237 0.75
634e-9 1.6864 0.744
635e-9 1.69998 0.738
636e-9 1.7131 0.732
637e-9 1.72571 0.724
638e-9 1.73768 0.716
639e-9 1.74905 0.707
640e-9 1.7598 0.699
641e-9 1.76977 0.689
642e-9 1.77906 0.68
643e-9 1.78764 0.67
644e-9 1.79538 0.66
645e-9 1.80241 0.65
646e-9 1.80867 0.64
647e-9 1.81411 0.629
648e-9 1.81882 0.619
649e-9 1.82278 0.609
650e-9 1.82594 0.599
651e-9 1.82843 0.589
652e-9 1.8302 0.579
653e-9 1.83052 0.57
654e-9 1.82933 0.561
655e-9 1.82815 0.553
656e-9 1.82697 0.544
657e-9 1.82578 0.536
658e-9 1.8246 0.528
659e-9 1.82341 0.521
660e-9 1.82223 0.514
661e-9 1.81905 0.508
662e-9 1.81543 0.503
663e-9 1.81149 0.498
664e-9 1.80721 0.493
665e-9 1.80267 0.489
666e-9 1.7979 0.485
667e-9 1.79291 0.482
668e-9 1.78776 0.479
669e-9 1.78247 0.477
670e-9 1.77706 0.475
671e-9 1.77156 0.473
672e-9 1.766 0.472
673e-9 1.7604 0.47
674e-9 1.75478 0.47
675e-9 1.74917 0.47
676e-9 1.74356 0.47
677e-9 1.73799 0.471
678e-9 1.73247 0.471
679e-9 1.72701 0.473
680e-9 1.72161 0.474
681e-9 1.71629 0.476
682e-9 1.71106 0.477
683e-9 1.7059 0.479
684e-9 1.70086 0.482
685e-9 1.6959 0.485
686e-9 1.69105 0.488
687e-9 1.6863 0.491
688e-9 1.68165 0.493
689e-9 1.67711 0.497
690e-9 1.67267 0.501
691e-9 1.66833 0.504
692e-9 1.66409 0.508
693e-9 1.65995 0.513
694e-9 1.65591 0.516
695e-9 1.65196 0.52
696e-9 1.64811 0.525
697e-9 1.64434 0.53
698e-9 1.64067 0.534
699e-9 1.63708 0.539
700e-9 1.63358 0.544
701e-9 1.63016 0.548
702e-9 1.62682 0.553
703e-9 1.62356 0.558
704e-9 1.62038 0.562
705e-9 1.61728 0.567
706e-9 1.61425 0.572
707e-9 1.6113 0.577
708e-9 1.60843 0.582
709e-9 1.60563 0.586
710e-9 1.6029 0.591
711e-9 1.60025 0.596
712e-9 1.59768 0.6
713e-9 1.59518 0.605
714e-9 1.59276 0.609
715e-9 1.59042 0.613
716e-9 1.58816 0.618
717e-9 1.58597 0.622
718e-9 1.58388 0.627
719e-9 1.58186 0.631
720e-9 1.57993 0.636
721e-9 1.5781 0.639
722e-9 1.57636 0.643
723e-9 1.5747 0.647
724e-9 1.57316 0.651
725e-9 1.5717 0.655
726e-9 1.57035 0.658
727e-9 1.56911 0.662
728e-9 1.56798 0.665
729e-9 1.56696 0.669
730e-9 1.56606 0.671
731e-9 1.56527 0.674
732e-9 1.56462 0.678
733e-9 1.56409 0.681
734e-9 1.56369 0.683
735e-9 1.56344 0.686
736e-9 1.56331 0.689
737e-9 1.56333 0.692
738e-9 1.56351 0.694
739e-9 1.56383 0.697
740e-9 1.56431 0.7
741e-9 1.56496 0.703
742e-9 1.56576 0.705
743e-9 1.56673 0.707
744e-9 1.56789 0.71
745e-9 1.5692 0.712
746e-9 1.57072 0.714
747e-9 1.57242 0.717
748e-9 1.57429 0.72
749e-9 1.57638 0.722
750e-9 1.57865 0.724
751e-9 1.58113 0.727
752e-9 1.58382 0.73
753e-9 1.58671 0.733
754e-9 1.58982 0.735
755e-9 1.59315 0.738
756e-9 1.5967 0.741
757e-9 1.60047 0.743
758e-9 1.60448 0.746
759e-9 1.6087 0.749
760e-9 1.61317 0.752
