lambda n k
300e-9 1.54252 0.13628
301e-9 1.53952 0.14087
302e-9 1.53673 0.14568
303e-9 1.53416 0.15073
304e-9 1.53185 0.15601
305e-9 1.52982 0.1615
306e-9 1.5281 0.1672
307e-9 1.52672 0.17309
308e-9 1.52573 0.17914
309e-9 1.52514 0.18533
310e-9 1.52499 0.19163
311e-9 1.5253 0.19799
312e-9 1.52609 0.20438
313e-9 1.52739 0.21072
314e-9 1.5292 0.21698
315e-9 1.53153 0.22309
316e-9 1.53437 0.22897
317e-9 1.53768 0.23458
318e-9 1.54146 0.23984
319e-9 1.54565 0.2447
320e-9 1.5502 0.24909
321e-9 1.55505 0.25296
322e-9 1.56013 0.2563
323e-9 1.56536 0.25905
324e-9 1.57064 0.26124
325e-9 1.57592 0.26284
326e-9 1.5811 0.26388
327e-9 1.5861 0.26439
328e-9 1.59085 0.26441
329e-9 1.59531 0.26398
330e-9 1.5994 0.26319
331e-9 1.60309 0.26208
332e-9 1.60636 0.26073
333e-9 1.60919 0.25921
334e-9 1.61157 0.25758
335e-9 1.6135 0.25593
336e-9 1.61499 0.25431
337e-9 1.61607 0.25278
338e-9 1.61677 0.2514
339e-9 1.6171 0.25023
340e-9 1.61712 0.24931
341e-9 1.61686 0.24867
342e-9 1.61638 0.24836
343e-9 1.61571 0.2484
344e-9 1.61492 0.24882
345e-9 1.61405 0.24965
346e-9 1.61315 0.25088
347e-9 1.6123 0.25253
348e-9 1.61155 0.2546
349e-9 1.61095 0.25708
350e-9 1.61058 0.25997
351e-9 1.6105 0.26323
352e-9 1.61077 0.26685
353e-9 1.61144 0.27077
354e-9 1.61259 0.27495
355e-9 1.61426 0.27932
356e-9 1.61649 0.28382
357e-9 1.61932 0.28835
358e-9 1.62279 0.29283
359e-9 1.62686 0.29715
360e-9 1.63158 0.30121
361e-9 1.63688 0.30492
362e-9 1.64271 0.30815
363e-9 1.64901 0.31084
364e-9 1.65568 0.31288
365e-9 1.66262 0.31422
366e-9 1.66972 0.31481
367e-9 1.67683 0.31464
368e-9 1.68384 0.31371
369e-9 1.69062 0.31204
370e-9 1.69704 0.30969
371e-9 1.703 0.30675
372e-9 1.70842 0.30329
373e-9 1.71321 0.29941
374e-9 1.71733 0.29524
375e-9 1.72074 0.29087
376e-9 1.72343 0.28645
377e-9 1.72539 0.28207
378e-9 1.72664 0.27785
379e-9 1.72722 0.27391
380e-9 1.72715 0.27035
381e-9 1.7265 0.26728
382e-9 1.72533 0.2648
383e-9 1.72372 0.263
384e-9 1.72175 0.26199
385e-9 1.71954 0.26184
386e-9 1.7172 0.26268
387e-9 1.71489 0.26458
388e-9 1.71279 0.26762
389e-9 1.71113 0.27188
390e-9 1.71018 0.27738
391e-9 1.71024 0.28411
392e-9 1.7117 0.29201
393e-9 1.71495 0.30085
394e-9 1.72036 0.31033
395e-9 1.72832 0.31996
396e-9 1.73909 0.32908
397e-9 1.75269 0.33689
398e-9 1.76886 0.34255
399e-9 1.78705 0.34526
400e-9 1.80641 0.34441
401e-9 1.8259 0.33971
402e-9 1.84442 0.33136
403e-9 1.86107 0.31984
404e-9 1.87521 0.30592
405e-9 1.8865 0.29041
406e-9 1.89491 0.27414
407e-9 1.90065 0.25778
408e-9 1.90402 0.24184
409e-9 1.90542 0.22667
410e-9 1.90522 0.21248
411e-9 1.90376 0.19935
412e-9 1.90138 0.18731
413e-9 1.89829 0.17634
414e-9 1.89471 0.16635
415e-9 1.8908 0.15728
416e-9 1.88667 0.14904
417e-9 1.88241 0.14156
418e-9 1.87811 0.13475
419e-9 1.8738 0.12854
420e-9 1.86953 0.12287
421e-9 1.86531 0.11768
422e-9 1.86119 0.11292
423e-9 1.85716 0.10854
424e-9 1.85323 0.1045
425e-9 1.8494 0.10077
426e-9 1.84568 0.0973
427e-9 1.84207 0.09409
428e-9 1.83858 0.0911
429e-9 1.83519 0.0883
430e-9 1.83189 0.08569
431e-9 1.82871 0.08324
432e-9 1.82562 0.08094
433e-9 1.82262 0.07878
434e-9 1.81972 0.07674
435e-9 1.8169 0.07481
436e-9 1.81417 0.073
437e-9 1.81151 0.07128
438e-9 1.80893 0.06964
439e-9 1.80643 0.06808
440e-9 1.804 0.06661
441e-9 1.80162 0.0652
442e-9 1.79932 0.06386
443e-9 1.79708 0.06258
444e-9 1.79489 0.06136
445e-9 1.79277 0.06019
446e-9 1.79071 0.05907
447e-9 1.78868 0.05798
448e-9 1.78671 0.05695
449e-9 1.7848 0.05596
450e-9 1.78292 0.05501
451e-9 1.78109 0.05409
452e-9 1.77931 0.05321
453e-9 1.77756 0.05235
454e-9 1.77586 0.05154
455e-9 1.77419 0.05074
456e-9 1.77255 0.04998
457e-9 1.77096 0.04924
458e-9 1.7694 0.04852
459e-9 1.76787 0.04783
460e-9 1.76637 0.04716
461e-9 1.76491 0.0465
462e-9 1.76347 0.04588
463e-9 1.76206 0.04527
464e-9 1.76069 0.04467
465e-9 1.75933 0.0441
466e-9 1.75801 0.04354
467e-9 1.75671 0.043
468e-9 1.75543 0.04247
469e-9 1.75418 0.04196
470e-9 1.75294 0.04146
471e-9 1.75173 0.04097
472e-9 1.75055 0.0405
473e-9 1.74939 0.04003
474e-9 1.74824 0.03958
475e-9 1.74712 0.03915
476e-9 1.74601 0.03872
477e-9 1.74492 0.0383
478e-9 1.74385 0.0379
479e-9 1.7428 0.0375
480e-9 1.74176 0.03711
481e-9 1.74075 0.03673
482e-9 1.73975 0.03636
483e-9 1.73876 0.036
484e-9 1.73779 0.03565
485e-9 1.73684 0.0353
486e-9 1.7359 0.03496
487e-9 1.73497 0.03463
488e-9 1.73406 0.03431
489e-9 1.73316 0.03399
490e-9 1.73228 0.03368
491e-9 1.7314 0.03338
492e-9 1.73055 0.03308
493e-9 1.7297 0.03278
494e-9 1.72886 0.03249
495e-9 1.72804 0.03222
496e-9 1.72723 0.03194
497e-9 1.72643 0.03167
