lambda n k
300e-9 1.70496 0.12388
301e-9 1.70386 0.1233
302e-9 1.70151 0.12271
303e-9 1.69857 0.12223
304e-9 1.69475 0.12196
305e-9 1.69167 0.12262
306e-9 1.68938 0.12385
307e-9 1.68957 0.12647
308e-9 1.69103 0.12909
309e-9 1.69334 0.13169
310e-9 1.69567 0.13192
311e-9 1.69753 0.13106
312e-9 1.6987 0.12865
313e-9 1.6988 0.126
314e-9 1.69838 0.12368
315e-9 1.69699 0.12267
316e-9 1.69526 0.12263
317e-9 1.69336 0.12319
318e-9 1.69184 0.12441
319e-9 1.69071 0.12568
320e-9 1.69006 0.12701
321e-9 1.68997 0.12824
322e-9 1.6901 0.12939
323e-9 1.69055 0.13034
324e-9 1.69142 0.13118
325e-9 1.69259 0.13195
326e-9 1.69473 0.13274
327e-9 1.69744 0.13356
328e-9 1.70078 0.13442
329e-9 1.70445 0.13479
330e-9 1.70798 0.13472
331e-9 1.71106 0.13377
332e-9 1.71336 0.13178
333e-9 1.71526 0.12929
334e-9 1.7166 0.12619
335e-9 1.71792 0.12318
336e-9 1.71923 0.12027
337e-9 1.72065 0.11779
338e-9 1.72202 0.11534
339e-9 1.72326 0.1129
340e-9 1.72409 0.11009
341e-9 1.72469 0.10707
342e-9 1.72478 0.10357
343e-9 1.72469 0.10002
344e-9 1.72444 0.09641
345e-9 1.72412 0.09313
346e-9 1.72378 0.09003
347e-9 1.7234 0.08723
348e-9 1.72282 0.08461
349e-9 1.72208 0.08204
350e-9 1.72093 0.07947
351e-9 1.71955 0.07686
352e-9 1.71798 0.07424
353e-9 1.71655 0.07186
354e-9 1.7154 0.0697
355e-9 1.71467 0.06788
356e-9 1.71476 0.06653
357e-9 1.71519 0.06532
358e-9 1.71618 0.06412
359e-9 1.71735 0.06251
360e-9 1.71865 0.06063
361e-9 1.71991 0.05756
362e-9 1.72113 0.05403
363e-9 1.72231 0.04986
364e-9 1.72346 0.04508
365e-9 1.72461 0.04006
366e-9 1.72576 0.03472
367e-9 1.72676 0.02941
368e-9 1.72765 0.02413
369e-9 1.72777 0.01944
370e-9 1.7273 0.01527
371e-9 1.72608 0.01174
372e-9 1.72344 0.0095
373e-9 1.72024 0.00781
374e-9 1.71615 0.00702
375e-9 1.71171 0.00675
376e-9 1.70712 0.00676
377e-9 1.70265 0.00707
378e-9 1.69843 0.00742
379e-9 1.69448 0.00781
380e-9 1.691 0.0082
381e-9 1.68775 0.00858
382e-9 1.68488 0.00893
383e-9 1.68236 0.00924
384e-9 1.68004 0.00954
385e-9 1.67802 0.0099
386e-9 1.67603 0.01039
387e-9 1.67407 0.01101
388e-9 1.67192 0.01207
389e-9 1.66962 0.01337
390e-9 1.66703 0.0151
391e-9 1.66418 0.0172
392e-9 1.6612 0.01947
393e-9 1.65804 0.022
394e-9 1.65484 0.02457
395e-9 1.65162 0.02717
396e-9 1.64846 0.02966
397e-9 1.64535 0.03204
398e-9 1.64231 0.03424
399e-9 1.63938 0.03612
400e-9 1.63652 0.03781
401e-9 1.63381 0.03903
402e-9 1.63121 0.03989
403e-9 1.6287 0.04047
404e-9 1.62635 0.04059
405e-9 1.62405 0.04063
406e-9 1.62184 0.04054
