lambda n k
252e-9 1.52 0.001211
254e-9 1.52 0.001171
256e-9 1.52 0.001131
258e-9 1.52 0.001093
260e-9 1.52 0.001055
262e-9 1.52 0.001019
264e-9 1.52 0.000983
266e-9 1.52 0.000949
268e-9 1.52 0.000915
270e-9 1.52 0.000882
272e-9 1.52 0.00085
274e-9 1.52 0.000819
276e-9 1.51 0.000789
278e-9 1.51 0.000759
280e-9 1.51 0.00073
282e-9 1.51 0.000702
284e-9 1.51 0.000675
286e-9 1.51 0.000649
288e-9 1.51 0.000623
290e-9 1.51 0.000598
292e-9 1.51 0.000574
294e-9 1.51 0.00055
296e-9 1.51 0.000527
298e-9 1.51 0.000505
300e-9 1.51 0.000483
302e-9 1.51 0.000462
304e-9 1.51 0.000441
306e-9 1.51 0.000421
308e-9 1.5 0.000402
310e-9 1.5 0.000383
312e-9 1.5 0.000365
314e-9 1.5 0.000348
316e-9 1.5 0.000331
318e-9 1.5 0.000314
320e-9 1.5 0.000298
322e-9 1.5 0.000283
324e-9 1.5 0.000268
326e-9 1.5 0.000253
328e-9 1.5 0.00024
330e-9 1.5 0.000226
332e-9 1.5 0.000213
334e-9 1.5 0.0002
336e-9 1.5 0.000188
338e-9 1.5 0.000177
340e-9 1.5 0.000166
342e-9 1.5 0.000155
344e-9 1.5 0.000144
346e-9 1.5 0.000135
348e-9 1.5 0.000125
350e-9 1.5 0.000116
352e-9 1.5 0.000107
354e-9 1.5 9.9e-05
356e-9 1.5 9.1e-05
358e-9 1.5 8.3e-05
360e-9 1.49 7.6e-05
362e-9 1.49 6.9e-05
364e-9 1.49 6.3e-05
366e-9 1.49 5.7e-05
368e-9 1.49 5.1e-05
370e-9 1.49 4.5e-05
372e-9 1.49 4e-05
374e-9 1.49 3.6e-05
376e-9 1.49 3.1e-05
378e-9 1.49 2.7e-05
380e-9 1.49 2.3e-05
382e-9 1.49 2e-05
384e-9 1.49 1.6e-05
386e-9 1.49 1.4e-05
388e-9 1.49 1.1e-05
390e-9 1.49 9e-06
392e-9 1.49 7e-06
394e-9 1.49 5e-06
396e-9 1.49 3e-06
398e-9 1.49 2e-06
400e-9 1.49 1e-06
