lambda n k
300e-9 1.54378 0.21384
301e-9 1.53568 0.2158
302e-9 1.5283 0.21139
303e-9 1.52166 0.21779
304e-9 1.51575 0.22366
305e-9 1.5104 0.22272
306e-9 1.50569 0.22569
307e-9 1.50158 0.227
308e-9 1.49788 0.23437
309e-9 1.49469 0.23683
310e-9 1.49194 0.24314
311e-9 1.48962 0.24606
312e-9 1.48768 0.25243
313e-9 1.48615 0.25812
314e-9 1.48503 0.26859
315e-9 1.48437 0.27811
316e-9 1.48387 0.2858
317e-9 1.48393 0.29687
318e-9 1.48423 0.30831
319e-9 1.48491 0.32127
320e-9 1.48597 0.33445
321e-9 1.48732 0.34727
322e-9 1.48907 0.36414
323e-9 1.49117 0.37786
324e-9 1.49353 0.39923
325e-9 1.49632 0.41282
326e-9 1.49945 0.43098
327e-9 1.50314 0.44744
328e-9 1.50707 0.46881
329e-9 1.51299 0.48984
330e-9 1.51931 0.50525
331e-9 1.52587 0.52392
332e-9 1.53287 0.54423
333e-9 1.54061 0.56174
334e-9 1.54893 0.58149
335e-9 1.55808 0.59859
336e-9 1.56787 0.61671
337e-9 1.57826 0.63785
338e-9 1.58947 0.65586
339e-9 1.60111 0.6724
340e-9 1.61325 0.68623
341e-9 1.62579 0.70169
342e-9 1.63873 0.71535
343e-9 1.65166 0.73191
344e-9 1.66466 0.74713
345e-9 1.67779 0.76148
346e-9 1.69061 0.77368
347e-9 1.70351 0.78896
348e-9 1.71619 0.80432
349e-9 1.72889 0.81063
350e-9 1.74135 0.82594
351e-9 1.75348 0.84359
352e-9 1.7654 0.85019
353e-9 1.77727 0.86134
354e-9 1.78932 0.87222
355e-9 1.8013 0.88119
356e-9 1.81331 0.88498
357e-9 1.82534 0.89499
358e-9 1.83766 0.90325
359e-9 1.84989 0.90857
360e-9 1.86237 0.91621
361e-9 1.87505 0.92405
362e-9 1.88771 0.92346
363e-9 1.9007 0.92535
364e-9 1.91385 0.92973
365e-9 1.92719 0.92961
366e-9 1.94059 0.93165
367e-9 1.95421 0.92848
368e-9 1.96786 0.93084
369e-9 1.98168 0.92846
370e-9 1.99584 0.92335
371e-9 2.01011 0.91938
372e-9 2.02451 0.91401
373e-9 2.03923 0.9098
374e-9 2.05411 0.90264
375e-9 2.06907 0.89972
376e-9 2.08431 0.89023
377e-9 2.0999 0.88067
378e-9 2.1158 0.87712
379e-9 2.13173 0.86589
380e-9 2.14764 0.85563
381e-9 2.16376 0.84304
382e-9 2.17924 0.82896
383e-9 2.19415 0.81849
384e-9 2.20817 0.80743
385e-9 2.22135 0.79241
386e-9 2.23332 0.77996
