lambda n k
300e-9 1.54378 0.24245
301e-9 1.53568 0.25305
302e-9 1.5283 0.24863
303e-9 1.52166 0.25876
304e-9 1.51575 0.25543
305e-9 1.5104 0.25516
306e-9 1.50569 0.26062
307e-9 1.50158 0.26485
308e-9 1.49788 0.26938
309e-9 1.49469 0.27012
310e-9 1.49194 0.2754
311e-9 1.48962 0.28099
312e-9 1.48768 0.28904
313e-9 1.48615 0.29671
314e-9 1.48503 0.30529
315e-9 1.48437 0.31435
316e-9 1.48387 0.3265
317e-9 1.48393 0.33683
318e-9 1.48423 0.34912
319e-9 1.48491 0.36089
320e-9 1.48597 0.37845
321e-9 1.48732 0.39523
322e-9 1.48907 0.40901
323e-9 1.49117 0.42894
324e-9 1.49353 0.44646
325e-9 1.49632 0.46094
326e-9 1.49945 0.48448
327e-9 1.50314 0.50095
328e-9 1.50707 0.52609
329e-9 1.51299 0.54036
330e-9 1.51931 0.56576
331e-9 1.52587 0.58477
332e-9 1.53287 0.60815
333e-9 1.54061 0.62921
334e-9 1.54893 0.64993
335e-9 1.55808 0.66677
336e-9 1.56787 0.68817
337e-9 1.57826 0.70922
338e-9 1.58947 0.72775
339e-9 1.60111 0.7456
340e-9 1.61325 0.7612
341e-9 1.62579 0.78001
342e-9 1.63873 0.79829
343e-9 1.65166 0.81477
344e-9 1.66466 0.83087
345e-9 1.67779 0.84862
346e-9 1.69061 0.85885
347e-9 1.70351 0.87883
348e-9 1.71619 0.89413
349e-9 1.72889 0.90773
350e-9 1.74135 0.91804
351e-9 1.75348 0.92806
352e-9 1.7654 0.94313
353e-9 1.77727 0.956
354e-9 1.78932 0.96488
355e-9 1.8013 0.972
356e-9 1.81331 0.97571
357e-9 1.82534 0.98893
358e-9 1.83766 0.99498
359e-9 1.84989 1.00039
360e-9 1.86237 1.00549
361e-9 1.87505 1.01573
362e-9 1.88771 1.01639
363e-9 1.9007 1.01553
364e-9 1.91385 1.01733
365e-9 1.92719 1.02381
366e-9 1.94059 1.02326
367e-9 1.95421 1.01781
368e-9 1.96786 1.01822
369e-9 1.98168 1.01185
370e-9 1.99584 1.01273
371e-9 2.01011 1.00424
372e-9 2.02451 0.99996
373e-9 2.03923 0.99153
374e-9 2.05411 0.98442
375e-9 2.06907 0.97519
376e-9 2.08431 0.97072
377e-9 2.0999 0.95931
378e-9 2.1158 0.94851
379e-9 2.13173 0.93694
380e-9 2.14764 0.92461
381e-9 2.16376 0.91045
382e-9 2.17924 0.89813
383e-9 2.19415 0.88064
384e-9 2.20817 0.86763
385e-9 2.22135 0.8533
386e-9 2.23332 0.83658
387e-9 2.24397 0.81711
388e-9 2.25317 0.80641
389e-9 2.26077 0.78816
390e-9 2.26673 0.77285
391e-9 2.27111 0.7578
392e-9 2.27386 0.73746
393e-9 2.27515 0.71952
394e-9 2.27485 0.69968
395e-9 2.27317 0.68335
396e-9 2.27026 0.66384
397e-9 2.26633 0.64696
398e-9 2.26152 0.62979
399e-9 2.25581 0.61254
400e-9 2.24942 0.59537
401e-9 2.24236 0.5748
402e-9 2.23472 0.55762
403e-9 2.22647 0.5385
404e-9 2.21762 0.52262
405e-9 2.20816 0.50256
406e-9 2.19798 0.48891
407e-9 2.18696 0.47295
408e-9 2.17509 0.45261
409e-9 2.16255 0.4404
410e-9 2.14962 0.42363
411e-9 2.13682 0.40657
412e-9 2.12455 0.39415
413e-9 2.11315 0.38015
414e-9 2.10272 0.36608
415e-9 2.09332 0.35612
416e-9 2.08483 0.3402
417e-9 2.07715 0.3305
418e-9 2.07012 0.32114
419e-9 2.06361 0.31154
420e-9 2.05751 0.2988
421e-9 2.05171 0.29276
422e-9 2.04609 0.28282
423e-9 2.04056 0.27689
424e-9 2.03507 0.26958
425e-9 2.02956 0.2634
426e-9 2.02398 0.25718
427e-9 2.01833 0.24996
428e-9 2.01263 0.24466
429e-9 2.00677 0.2411
430e-9 2.00075 0.2391
431e-9 1.99454 0.23432
432e-9 1.9882 0.22714
433e-9 1.9819 0.22469
434e-9 1.97568 0.22342
435e-9 1.96962 0.22094
436e-9 1.96375 0.21885
437e-9 1.95814 0.21454
438e-9 1.95282 0.21503
439e-9 1.94778 0.2109
440e-9 1.94309 0.21218
441e-9 1.93875 0.20984
442e-9 1.93466 0.20829
443e-9 1.93082 0.2049
444e-9 1.92711 0.20516
445e-9 1.92361 0.20419
446e-9 1.92032 0.2022
447e-9 1.91715 0.20163
448e-9 1.91404 0.19982
449e-9 1.91093 0.198
450e-9 1.9078 0.19927
451e-9 1.90477 0.1995
452e-9 1.90178 0.19704
453e-9 1.89876 0.19686
454e-9 1.89592 0.19667
455e-9 1.89325 0.19501
456e-9 1.8907 0.19461
457e-9 1.88823 0.19587
458e-9 1.88576 0.19441
459e-9 1.88341 0.19126
460e-9 1.88118 0.19104
461e-9 1.87898 0.19188
462e-9 1.87682 0.19124
463e-9 1.87466 0.19059
464e-9 1.87264 0.18845
465e-9 1.87069 0.19099
466e-9 1.86882 0.18798
467e-9 1.86705 0.18903
468e-9 1.8653 0.18793
469e-9 1.86361 0.18425
470e-9 1.86203 0.1855
471e-9 1.8605 0.18611
472e-9 1.85897 0.18542
473e-9 1.85744 0.18452
474e-9 1.85597 0.18404
475e-9 1.85452 0.18355
476e-9 1.85314 0.18285
477e-9 1.8518 0.18149
478e-9 1.85048 0.17989
479e-9 1.84922 0.17961
480e-9 1.84791 0.18043
481e-9 1.84666 0.17816
482e-9 1.84538 0.17831
483e-9 1.84415 0.17624
484e-9 1.84294 0.17749
485e-9 1.84172 0.17764
486e-9 1.84053 0.1731
487e-9 1.83939 0.1748
488e-9 1.8383 0.17337
489e-9 1.8372 0.17484
490e-9 1.83605 0.17385
491e-9 1.83487 0.17083
492e-9 1.83382 0.17073
493e-9 1.83279 0.16859
494e-9 1.83188 0.16938
495e-9 1.83105 0.16768
496e-9 1.83011 0.16757
497e-9 1.82916 0.16927
498e-9 1.82816 0.16459
499e-9 1.82722 0.16218
500e-9 1.82628 0.16182
501e-9 1.82539 0.16283
502e-9 1.82452 0.16292
503e-9 1.82363 0.16071
504e-9 1.82278 0.15964
505e-9 1.82198 0.1588
506e-9 1.82117 0.15935
507e-9 1.82036 0.15897
508e-9 1.81959 0.15556
509e-9 1.81883 0.15539
510e-9 1.8181 0.15687
511e-9 1.81733 0.15249
512e-9 1.81651 0.15396
513e-9 1.81566 0.15144
514e-9 1.81479 0.15032
515e-9 1.81397 0.14873
516e-9 1.81314 0.14665
517e-9 1.81231 0.14575
518e-9 1.8117 0.14532
519e-9 1.81111 0.14227
520e-9 1.81053 0.14779
521e-9 1.80991 0.1433
522e-9 1.80925 0.14333
523e-9 1.80864 0.14504
524e-9 1.80798 0.13643
525e-9 1.80734 0.13621
526e-9 1.80676 0.13864
527e-9 1.80618 0.13577
528e-9 1.80565 0.13699
529e-9 1.80508 0.13483
530e-9 1.80445 0.13314
531e-9 1.80387 0.13315
532e-9 1.80325 0.13315
533e-9 1.80266 0.13194
534e-9 1.80206 0.12925
535e-9 1.80142 0.12777
536e-9 1.80078 0.12801
537e-9 1.80011 0.12702
538e-9 1.79947 0.12578
539e-9 1.79876 0.12329
540e-9 1.79806 0.12575
541e-9 1.79737 0.12053
542e-9 1.79671 0.121
543e-9 1.7961 0.11923
544e-9 1.79541 0.11895
545e-9 1.79472 0.11967
546e-9 1.79398 0.12014
547e-9 1.79331 0.11935
548e-9 1.79259 0.11781
549e-9 1.79188 0.11702
550e-9 1.79117 0.11446
551e-9 1.79053 0.11467
552e-9 1.78983 0.11564
553e-9 1.7891 0.1161
554e-9 1.78838 0.11453
555e-9 1.78769 0.1122
556e-9 1.78708 0.11112
557e-9 1.78635 0.11132
558e-9 1.78567 0.1105
559e-9 1.78499 0.10865
560e-9 1.7843 0.10961
561e-9 1.78366 0.10878
562e-9 1.78294 0.1082
563e-9 1.78231 0.10478
564e-9 1.78165 0.10471
565e-9 1.78108 0.10412
566e-9 1.78047 0.10378
567e-9 1.77984 0.10526
568e-9 1.77924 0.10441
569e-9 1.77868 0.10068
570e-9 1.7781 0.10112
571e-9 1.77753 0.10051
572e-9 1.77695 0.10069
573e-9 1.77633 0.09955
574e-9 1.7758 0.09683
575e-9 1.77518 0.09858
576e-9 1.7746 0.09901
577e-9 1.774 0.09733
578e-9 1.77341 0.09379
579e-9 1.77284 0.09343
580e-9 1.7723 0.09385
581e-9 1.7718 0.09188
582e-9 1.77129 0.09071
583e-9 1.77069 0.0922
584e-9 1.77008 0.09423
585e-9 1.76948 0.09144
586e-9 1.76892 0.09375
587e-9 1.76841 0.09283
588e-9 1.76792 0.09191
589e-9 1.76744 0.09288
590e-9 1.76697 0.0925
591e-9 1.76644 0.09238
592e-9 1.76594 0.09607
593e-9 1.76546 0.09161
594e-9 1.765 0.09122
595e-9 1.76449 0.09219
596e-9 1.76401 0.09262
597e-9 1.76355 0.0914
598e-9 1.76311 0.08936
599e-9 1.76265 0.09089
600e-9 1.76219 0.08774
601e-9 1.76165 0.08706
602e-9 1.76115 0.08748
603e-9 1.76065 0.09039
604e-9 1.76019 0.0922
605e-9 1.75971 0.08736
606e-9 1.75922 0.08695
607e-9 1.75872 0.08598
608e-9 1.75821 0.08501
609e-9 1.75769 0.08626
610e-9 1.7572 0.08668
611e-9 1.7567 0.08767
612e-9 1.75625 0.08641
613e-9 1.7558 0.08486
614e-9 1.75537 0.085
615e-9 1.75494 0.08683
616e-9 1.75449 0.08584
617e-9 1.75402 0.08938
618e-9 1.75352 0.08782
619e-9 1.75302 0.08512
620e-9 1.75253 0.08526
621e-9 1.75208 0.08739
622e-9 1.75163 0.08582
623e-9 1.75117 0.08567
624e-9 1.75074 0.08553
625e-9 1.75039 0.08452
626e-9 1.75012 0.08609
627e-9 1.7499 0.08105
628e-9 1.74965 0.08204
