lambda n k
300e-9 2.64194 0.78266
301e-9 2.65787 0.74074
302e-9 2.67381 0.71056
303e-9 2.6876 0.68565
304e-9 2.68634 0.66029
305e-9 2.68508 0.62974
306e-9 2.68382 0.59919
307e-9 2.68256 0.5702
308e-9 2.6813 0.54236
309e-9 2.68004 0.51452
310e-9 2.67878 0.48142
311e-9 2.67753 0.44549
312e-9 2.67627 0.41827
313e-9 2.66848 0.39366
314e-9 2.65824 0.37455
315e-9 2.648 0.35801
316e-9 2.63776 0.34146
317e-9 2.62752 0.32492
318e-9 2.61794 0.30919
319e-9 2.60899 0.29379
320e-9 2.60005 0.2784
321e-9 2.59111 0.26476
322e-9 2.58217 0.25411
323e-9 2.57323 0.24345
324e-9 2.56429 0.2328
325e-9 2.55509 0.22214
326e-9 2.54482 0.21176
327e-9 2.53456 0.20188
328e-9 2.5243 0.19199
329e-9 2.51404 0.18211
330e-9 2.50377 0.17222
331e-9 2.49351 0.16233
332e-9 2.48449 0.15664
333e-9 2.47557 0.15126
334e-9 2.46664 0.14588
335e-9 2.45772 0.1405
336e-9 2.44879 0.13512
337e-9 2.43986 0.12974
338e-9 2.43168 0.12436
339e-9 2.42387 0.11898
340e-9 2.41607 0.11361
341e-9 2.40826 0.10823
342e-9 2.40045 0.1038
343e-9 2.39264 0.10037
344e-9 2.38518 0.09694
345e-9 2.37825 0.09351
346e-9 2.37132 0.09009
347e-9 2.36439 0.08666
348e-9 2.35746 0.08323
349e-9 2.35052 0.0798
350e-9 2.34359 0.07637
351e-9 2.33676 0.07294
352e-9 2.33094 0.06951
353e-9 2.32512 0.06609
354e-9 2.3193 0.06403
355e-9 2.31347 0.06197
356e-9 2.30765 0.05991
357e-9 2.30183 0.05785
358e-9 2.29601 0.05579
359e-9 2.29019 0.05373
360e-9 2.28437 0.05167
361e-9 2.27924 0.04961
362e-9 2.27442 0.04755
363e-9 2.26961 0.04549
364e-9 2.26479 0.04343
365e-9 2.25998 0.04137
366e-9 2.25516 0.03973
367e-9 2.25034 0.03856
368e-9 2.24553 0.0374
369e-9 2.24071 0.03623
370e-9 2.2359 0.03506
371e-9 2.23108 0.0339
372e-9 2.22653 0.03273
373e-9 2.22302 0.03156
374e-9 2.21951 0.0304
375e-9 2.216 0.02923
376e-9 2.21249 0.02806
377e-9 2.20897 0.0269
378e-9 2.20546 0.02573
379e-9 2.20195 0.02483
380e-9 2.19844 0.02394
381e-9 2.19493 0.02305
382e-9 2.19142 0.02216
383e-9 2.18791 0.02128
384e-9 2.18439 0.02039
385e-9 2.18118 0.0195
386e-9 2.17812 0.01861
387e-9 2.17506 0.01773
388e-9 2.17199 0.01684
389e-9 2.16893 0.01595
390e-9 2.16587 0.01506
391e-9 2.1628 0.01431
392e-9 2.15974 0.01376
393e-9 2.15668 0.01321
394e-9 2.15361 0.01265
395e-9 2.15055 0.0121
396e-9 2.14748 0.01155
397e-9 2.14452 0.011
398e-9 2.14212 0.01044
399e-9 2.13973 0.00989
400e-9 2.13733 0.00934
401e-9 2.13494 0.00878
402e-9 2.13254 0.00823
403e-9 2.13015 0.00768
404e-9 2.12775 0.00761
405e-9 2.12536 0.00762
406e-9 2.12296 0.00763
407e-9 2.12057 0.00763
408e-9 2.11817 0.00764
409e-9 2.11578 0.00764
410e-9 2.11366 0.00765
411e-9 2.11171 0.00765
412e-9 2.10976 0.00766
413e-9 2.10781 0.00767
414e-9 2.10586 0.00767
415e-9 2.10392 0.00768
416e-9 2.10197 0.00755
417e-9 2.10002 0.00716
418e-9 2.09807 0.00678
419e-9 2.09612 0.00639
420e-9 2.09418 0.006
421e-9 2.09223 0.00562
422e-9 2.0903 0.00523
423e-9 2.08857 0.00485
424e-9 2.08685 0.00446
425e-9 2.08513 0.00408
426e-9 2.0834 0.00369
427e-9 2.08168 0.00331
428e-9 2.07995 0.00292
429e-9 2.07823 0.00263
430e-9 2.0765 0.00235
431e-9 2.07478 0.00208
432e-9 2.07305 0.00181
433e-9 2.07133 0.00153
434e-9 2.0696 0.00126
435e-9 2.06803 0.000986097
436e-9 2.06659 0.000712652
437e-9 2.06514 0.000439207
438e-9 2.0637 0.000165761
439e-9 2.06225 -0.000107684
440e-9 2.0608 -0.00038113
441e-9 2.05936 -0.000574929
442e-9 2.05791 -0.000569491
443e-9 2.05646 -0.000564054
