lambda n k
350e-9 1.77716 0.19547
351e-9 1.77921 0.1966
352e-9 1.78126 0.19774
353e-9 1.78331 0.19799
354e-9 1.78536 0.19744
355e-9 1.78979 0.19689
356e-9 1.7944 0.19635
357e-9 1.79901 0.1958
358e-9 1.80265 0.19525
359e-9 1.80511 0.1947
360e-9 1.80758 0.19354
361e-9 1.81004 0.19167
362e-9 1.8125 0.18979
363e-9 1.81681 0.18514
364e-9 1.82736 0.17935
365e-9 1.83864 0.17355
366e-9 1.85104 0.16231
367e-9 1.85804 0.14924
368e-9 1.86219 0.13472
369e-9 1.86634 0.12203
370e-9 1.87049 0.10986
371e-9 1.87464 0.09712
372e-9 1.87727 0.08023
373e-9 1.8779 0.07732
374e-9 1.87852 0.07214
375e-9 1.87915 0.05501
376e-9 1.87978 0.04922
377e-9 1.87937 0.04402
378e-9 1.87509 0.03881
379e-9 1.87081 0.0336
380e-9 1.86653 0.02722
381e-9 1.8588 0.02041
382e-9 1.8491 0.0136
383e-9 1.84069 0.01192
384e-9 1.83257 0.01092
385e-9 1.82519 0.00991
386e-9 1.81876 0.00891
387e-9 1.81366 0.0079
388e-9 1.80857 0.0069
389e-9 1.80348 0.00589
390e-9 1.79841 0.00538
391e-9 1.79334 0.00499
392e-9 1.78827 0.00459
393e-9 1.78408 0.00419
394e-9 1.78095 0.00379
395e-9 1.77783 0.00339
396e-9 1.7747 0.003
397e-9 1.77189 0.0026
398e-9 1.76912 0.0022
399e-9 1.76635 0.0018
400e-9 1.76359 0.00177
401e-9 1.76082 0.00174
402e-9 1.75865 0.00171
403e-9 1.75681 0.00167
404e-9 1.75496 0.00164
405e-9 1.75312 0.00161
406e-9 1.75127 0.00158
407e-9 1.74942 0.00155
408e-9 1.74758 0.00151
409e-9 1.74545 0.00148
410e-9 1.74319 0.00145
411e-9 1.74093 0.00142
412e-9 1.73869 0.00139
413e-9 1.73653 0.00136
414e-9 1.73437 0.00132
415e-9 1.73222 0.00129
416e-9 1.73006 0.00126
417e-9 1.72791 0.00123
418e-9 1.72645 0.0012
419e-9 1.72507 0.00117
420e-9 1.7237 0.00116
421e-9 1.72232 0.00116
422e-9 1.72095 0.00116
423e-9 1.71957 0.00115
424e-9 1.7182 0.00115
425e-9 1.71767 0.00114
426e-9 1.71721 0.00114
427e-9 1.71675 0.00113
428e-9 1.71629 0.00113
429e-9 1.71582 0.00112
430e-9 1.71536 0.00112
431e-9 1.7149 0.00111
432e-9 1.71444 0.00111
433e-9 1.71397 0.0011
434e-9 1.71351 0.0011
435e-9 1.71292 0.00109
436e-9 1.71214 0.00109
437e-9 1.71136 0.00109
438e-9 1.71058 0.00108
439e-9 1.7098 0.00108
440e-9 1.70902 0.00107
441e-9 1.70824 0.00107
442e-9 1.70746 0.00106
443e-9 1.70668 0.00106
