lambda n k
300e-9 1.71763 0.15699
301e-9 1.71809 0.15663
302e-9 1.7185 0.15631
303e-9 1.71889 0.15599
304e-9 1.71926 0.15568
305e-9 1.71961 0.15537
306e-9 1.71997 0.15507
307e-9 1.72033 0.15476
308e-9 1.72071 0.15444
309e-9 1.7211 0.15411
310e-9 1.72153 0.15378
311e-9 1.72197 0.15347
312e-9 1.72244 0.15316
313e-9 1.72295 0.15289
314e-9 1.72349 0.15264
315e-9 1.72407 0.15244
316e-9 1.72469 0.15228
317e-9 1.72533 0.15214
318e-9 1.72602 0.15203
319e-9 1.72672 0.15193
320e-9 1.72744 0.15182
321e-9 1.72817 0.15166
322e-9 1.72891 0.15148
323e-9 1.72964 0.15124
324e-9 1.73036 0.15093
325e-9 1.73107 0.15056
326e-9 1.73178 0.15013
327e-9 1.73249 0.14968
328e-9 1.73319 0.14923
329e-9 1.73391 0.14882
330e-9 1.73464 0.14844
331e-9 1.73538 0.14814
332e-9 1.73615 0.14794
333e-9 1.73694 0.14781
334e-9 1.73776 0.14784
335e-9 1.73862 0.14792
336e-9 1.73951 0.14806
337e-9 1.74047 0.14822
338e-9 1.74146 0.14836
339e-9 1.74252 0.14848
340e-9 1.74365 0.1485
341e-9 1.74483 0.14847
342e-9 1.7461 0.14828
343e-9 1.74745 0.14798
344e-9 1.74887 0.1476
345e-9 1.75047 0.14715
346e-9 1.75217 0.14671
347e-9 1.75402 0.14629
348e-9 1.7561 0.146
349e-9 1.7583 0.1458
350e-9 1.76077 0.14581
351e-9 1.76346 0.14604
352e-9 1.76631 0.14643
353e-9 1.76955 0.14718
354e-9 1.77295 0.14795
355e-9 1.7766 0.14875
356e-9 1.78053 0.14927
357e-9 1.78461 0.14958
358e-9 1.78898 0.14931
359e-9 1.79355 0.14841
360e-9 1.79826 0.14709
361e-9 1.8033 0.14441
362e-9 1.80846 0.14105
363e-9 1.81381 0.13674
364e-9 1.81929 0.13113
365e-9 1.82474 0.12498
366e-9 1.83002 0.11796
367e-9 1.83494 0.1105
368e-9 1.83961 0.10277
369e-9 1.8434 0.09475
370e-9 1.84663 0.08676
371e-9 1.84916 0.07879
372e-9 1.85034 0.07114
373e-9 1.85081 0.06372
374e-9 1.84987 0.05681
375e-9 1.84768 0.05042
376e-9 1.84476 0.04436
377e-9 1.84045 0.03898
378e-9 1.83562 0.03394
379e-9 1.83021 0.02925
380e-9 1.82417 0.02512
381e-9 1.81796 0.02125
382e-9 1.81149 0.0178
383e-9 1.80504 0.01476
384e-9 1.79863 0.01194
385e-9 1.79256 0.00963
386e-9 1.7868 0.00758
387e-9 1.78137 0.00579
388e-9 1.77653 0.00441
389e-9 1.77192 0.0032
390e-9 1.76769 0.00226
391e-9 1.76383 0.00155
392e-9 1.76015 0.00095965
393e-9 1.75683 0.000588284
394e-9 1.75371 0.000315959
395e-9 1.75074 0.000130277
396e-9 1.74804 5.71341e-05
397e-9 1.74544 1.09691e-05
398e-9 1.74297 2.18695e-06
399e-9 1.74063 0.0
400e-9 1.73835 0.0
401e-9 1.7362 0.0
402e-9 1.73413 0.0
403e-9 1.73212 0.0
404e-9 1.73023 0.0
405e-9 1.7284 0.0
406e-9 1.72665 0.0
407e-9 1.72499 0.0
408e-9 1.72337 0.0
409e-9 1.72185 0.0
410e-9 1.72039 0.0
411e-9 1.71897 0.0
412e-9 1.71765 0.0
413e-9 1.71636 0.0
414e-9 1.71513 0.0
415e-9 1.71396 0.0
416e-9 1.71283 0.0
417e-9 1.71175 0.0
418e-9 1.71071 0.0
419e-9 1.7097 0.0
420e-9 1.70874 0.0
421e-9 1.7078 0.0
422e-9 1.70688 0.0
423e-9 1.706 0.0
424e-9 1.70514 0.0
425e-9 1.70429 0.0
426e-9 1.70347 0.0
427e-9 1.70265 0.0
428e-9 1.70186 0.0
429e-9 1.70108 0.0
430e-9 1.7003 0.0
431e-9 1.69955 0.0
432e-9 1.6988 0.0
433e-9 1.69806 0.0
434e-9 1.69733 0.0
435e-9 1.69662 0.0
436e-9 1.69591 0.0
437e-9 1.69522 0.0
438e-9 1.69453 0.0
439e-9 1.69385 0.0
440e-9 1.69318 0.0
441e-9 1.69252 0.0
442e-9 1.69187 0.0
443e-9 1.69122 0.0
444e-9 1.69058 0.0
445e-9 1.68995 0.0
446e-9 1.68933 0.0
447e-9 1.68872 0.0
448e-9 1.68811 0.0
449e-9 1.68752 0.0
450e-9 1.68693 0.0
451e-9 1.68635 0.0
452e-9 1.68578 0.0
453e-9 1.68522 0.0
454e-9 1.68466 0.0
455e-9 1.68412 0.0
456e-9 1.68359 0.0
457e-9 1.68306 0.0
458e-9 1.68255 0.0
459e-9 1.68204 0.0
460e-9 1.68155 0.0
461e-9 1.68106 0.0
462e-9 1.68058 0.0
463e-9 1.68011 0.0
464e-9 1.67964 0.0
465e-9 1.67918 0.0
466e-9 1.67873 0.0
467e-9 1.67829 0.0
468e-9 1.67784 0.0
469e-9 1.67741 0.0
470e-9 1.67697 0.0
471e-9 1.67655 0.0
472e-9 1.67612 0.0
473e-9 1.6757 0.0
474e-9 1.67528 0.0
475e-9 1.67486 0.0
476e-9 1.67444 0.0
477e-9 1.67403 0.0
478e-9 1.67361 0.0
479e-9 1.6732 0.0
480e-9 1.6728 0.0
481e-9 1.67239 0.0
482e-9 1.67199 0.0
483e-9 1.67159 0.0
484e-9 1.6712 0.0
485e-9 1.67082 0.0
486e-9 1.67044 0.0
487e-9 1.67006 0.0
488e-9 1.6697 0.0
489e-9 1.66934 0.0
490e-9 1.66899 0.0
491e-9 1.66864 0.0
492e-9 1.66831 0.0
493e-9 1.66799 0.0
494e-9 1.66767 0.0
495e-9 1.66737 0.0
496e-9 1.66708 0.0
497e-9 1.66679 0.0
498e-9 1.66652 0.0
499e-9 1.66625 0.0
500e-9 1.66599 0.0
501e-9 1.66574 0.0
502e-9 1.6655 0.0
503e-9 1.66526 0.0
504e-9 1.66503 0.0
505e-9 1.66479 0.0
506e-9 1.66457 0.0
507e-9 1.66434 0.0
508e-9 1.66411 0.0
509e-9 1.66389 0.0
510e-9 1.66367 0.0
511e-9 1.66344 0.0
512e-9 1.66321 0.0
513e-9 1.66299 0.0
514e-9 1.66275 0.0
515e-9 1.66252 0.0
516e-9 1.66228 0.0
517e-9 1.66204 0.0
518e-9 1.66179 0.0
519e-9 1.66154 0.0
520e-9 1.66128 0.0
521e-9 1.66102 0.0
522e-9 1.66076 0.0
523e-9 1.66049 0.0
524e-9 1.66023 0.0
525e-9 1.65996 0.0
526e-9 1.65969 0.0
527e-9 1.65942 0.0
528e-9 1.65915 0.0
529e-9 1.65888 0.0
530e-9 1.65861 0.0
531e-9 1.65834 0.0
532e-9 1.65807 0.0
533e-9 1.65781 0.0
534e-9 1.65754 0.0
535e-9 1.65728 0.0
536e-9 1.65703 0.0
