lambda n k
300e-9 1.37462 0.09374
301e-9 1.37675 0.09306
302e-9 1.37875 0.09224
303e-9 1.3807 0.09137
304e-9 1.38257 0.09042
305e-9 1.38434 0.08938
306e-9 1.38605 0.0883
307e-9 1.38765 0.08714
308e-9 1.38917 0.08593
309e-9 1.39064 0.0847
310e-9 1.39199 0.08339
311e-9 1.39328 0.08207
312e-9 1.3945 0.08071
313e-9 1.39561 0.07932
314e-9 1.39668 0.07792
315e-9 1.39766 0.07649
316e-9 1.39856 0.07505
317e-9 1.39942 0.0736
318e-9 1.40018 0.07213
319e-9 1.40089 0.07067
320e-9 1.40154 0.0692
321e-9 1.4021 0.06773
322e-9 1.40263 0.06626
323e-9 1.40309 0.0648
324e-9 1.40349 0.06335
325e-9 1.40386 0.0619
326e-9 1.40414 0.06047
327e-9 1.4044 0.05905
328e-9 1.40461 0.05764
329e-9 1.40475 0.05626
330e-9 1.40487 0.05488
331e-9 1.40494 0.05352
332e-9 1.40497 0.05218
333e-9 1.40497 0.05086
334e-9 1.40492 0.04956
335e-9 1.40485 0.04828
336e-9 1.40474 0.04702
337e-9 1.40459 0.04579
338e-9 1.40443 0.04458
339e-9 1.40423 0.04338
340e-9 1.404 0.04222
341e-9 1.40376 0.04107
342e-9 1.40348 0.03995
343e-9 1.40318 0.03885
344e-9 1.40287 0.03777
345e-9 1.40253 0.03673
346e-9 1.40218 0.0357
347e-9 1.40181 0.03469
348e-9 1.40142 0.03371
349e-9 1.40103 0.03275
350e-9 1.40061 0.03181
351e-9 1.40018 0.0309
352e-9 1.39975 0.03
353e-9 1.3993 0.02914
354e-9 1.39884 0.02829
355e-9 1.39837 0.02746
356e-9 1.39789 0.02666
357e-9 1.39741 0.02587
358e-9 1.39692 0.02511
359e-9 1.39642 0.02437
360e-9 1.39592 0.02364
361e-9 1.39542 0.02294
362e-9 1.39491 0.02225
363e-9 1.39439 0.02159
364e-9 1.39388 0.02094
365e-9 1.39336 0.02031
366e-9 1.39284 0.0197
367e-9 1.39231 0.0191
368e-9 1.39179 0.01852
369e-9 1.39127 0.01796
370e-9 1.39074 0.01742
371e-9 1.39022 0.01689
372e-9 1.3897 0.01637
373e-9 1.38917 0.01587
374e-9 1.38865 0.01539
375e-9 1.38813 0.01492
376e-9 1.38761 0.01446
377e-9 1.3871 0.01402
378e-9 1.38658 0.01359
379e-9 1.38607 0.01317
380e-9 1.38556 0.01277
381e-9 1.38506 0.01237
382e-9 1.38455 0.01199
383e-9 1.38405 0.01163
384e-9 1.38356 0.01127
385e-9 1.38306 0.01092
386e-9 1.38257 0.01058
387e-9 1.38209 0.01026
388e-9 1.3816 0.00994
389e-9 1.38113 0.00963
390e-9 1.38065 0.00934
391e-9 1.38018 0.00905
392e-9 1.37971 0.00877
393e-9 1.37925 0.0085
394e-9 1.37879 0.00824
395e-9 1.37834 0.00798
396e-9 1.37789 0.00774
397e-9 1.37744 0.0075
398e-9 1.377 0.00727
399e-9 1.37656 0.00705
400e-9 1.37613 0.00683
401e-9 1.3757 0.00662
402e-9 1.37528 0.00642
403e-9 1.37486 0.00622
404e-9 1.37444 0.00603
405e-9 1.37403 0.00584
406e-9 1.37362 0.00566
407e-9 1.37322 0.00549
408e-9 1.37282 0.00532
409e-9 1.37243 0.00516
410e-9 1.37204 0.005
411e-9 1.37166 0.00485
412e-9 1.37128 0.0047
413e-9 1.3709 0.00456
414e-9 1.37053 0.00442
415e-9 1.37016 0.00429
416e-9 1.3698 0.00416
417e-9 1.36944 0.00403
418e-9 1.36908 0.00391
419e-9 1.36873 0.00379
420e-9 1.36838 0.00368
421e-9 1.36804 0.00357
422e-9 1.3677 0.00346
423e-9 1.36736 0.00335
424e-9 1.36703 0.00325
425e-9 1.3667 0.00316
426e-9 1.36638 0.00306
427e-9 1.36606 0.00297
428e-9 1.36574 0.00288
429e-9 1.36543 0.00279
430e-9 1.36512 0.00271
431e-9 1.36482 0.00263
432e-9 1.36451 0.00255
433e-9 1.36422 0.00248
434e-9 1.36392 0.0024
435e-9 1.36363 0.00233
436e-9 1.36334 0.00226
437e-9 1.36306 0.0022
438e-9 1.36277 0.00213
439e-9 1.3625 0.00207
440e-9 1.36222 0.00201
441e-9 1.36195 0.00195
442e-9 1.36168 0.00189
443e-9 1.36141 0.00184
444e-9 1.36115 0.00178
445e-9 1.36089 0.00173
446e-9 1.36063 0.00168
447e-9 1.36038 0.00163
