lambda n k
300e-9 1.73 2.77
301e-9 1.73 2.77
302e-9 1.74 2.77
303e-9 1.75 2.77
304e-9 1.76 2.8
305e-9 1.78 2.8
306e-9 1.795 2.8
307e-9 1.81 2.82
308e-9 1.81 2.82
309e-9 1.82 2.82
310e-9 1.83 2.82
311e-9 1.85 2.82
312e-9 1.85 2.82
313e-9 1.85 2.82
314e-9 1.86 2.82
315e-9 1.86 2.85
316e-9 1.88 2.85
317e-9 1.9 2.85
318e-9 1.9 2.88
319e-9 1.91 2.88
320e-9 1.92 2.88
321e-9 1.94 2.88
322e-9 1.94 2.88
323e-9 1.945 2.88
324e-9 1.95 2.88
325e-9 1.97 2.91
326e-9 1.98 2.91
327e-9 1.99 2.91
328e-9 2.01 2.91
329e-9 2.02 2.91
330e-9 2.03 2.91
331e-9 2.05 2.93
332e-9 2.05 2.93
333e-9 2.07 2.93
334e-9 2.09 2.93
335e-9 2.11 2.93
336e-9 2.12 2.93
337e-9 2.13 2.93
338e-9 2.15 2.96
339e-9 2.16 2.96
340e-9 2.17 2.96
341e-9 2.19 2.96
342e-9 2.19 2.96
343e-9 2.2 2.96
344e-9 2.21 2.96
345e-9 2.23 2.96
346e-9 2.24 2.96
347e-9 2.25 2.96
348e-9 2.27 2.99
349e-9 2.29 2.99
350e-9 2.29 2.99
351e-9 2.29 2.99
352e-9 2.32 2.99
353e-9 2.33 3.005
354e-9 2.34 3.02
355e-9 2.34 3.02
356e-9 2.36 3.02
357e-9 2.38 3.02
358e-9 2.38 3.02
359e-9 2.38 3.02
360e-9 2.405 3.02
361e-9 2.43 3.02
362e-9 2.43 3.02
363e-9 2.45 3.02
364e-9 2.47 3.02
365e-9 2.47 3.02
366e-9 2.47 3.02
367e-9 2.47 3.02
368e-9 2.52 3.02
369e-9 2.52 3.02
370e-9 2.52 3.035
371e-9 2.52 3.05
372e-9 2.57 3.05
373e-9 2.57 3.05
374e-9 2.57 3.05
375e-9 2.62 3.05
376e-9 2.62 3.05
377e-9 2.62 3.05
378e-9 2.64 3.07
379e-9 2.69 3.07
380e-9 2.69 3.07
381e-9 2.69 3.07
382e-9 2.72 3.07
383e-9 2.735 3.07
384e-9 2.75 3.07
385e-9 2.75 3.07
386e-9 2.77 3.07
387e-9 2.785 3.07
388e-9 2.8 3.07
389e-9 2.82 3.07
390e-9 2.89 3.07
391e-9 2.96 3.07
392e-9 2.96 2.96
393e-9 2.96 2.96
394e-9 2.96 2.96
395e-9 2.96 2.96
396e-9 2.9667 2.9667
397e-9 2.9733 2.9733
398e-9 2.98 2.98
399e-9 2.995 2.995
400e-9 3.01 3.01
401e-9 3.03 3.03
402e-9 3.05 3.05
403e-9 3.055 3.055
404e-9 3.06 3.06
405e-9 3.0633 3.0633
406e-9 3.0667 3.0667
407e-9 3.07 3.07
408e-9 3.07 3.07
409e-9 3.07 3.07
410e-9 3.08 3.08
411e-9 3.09 3.09
412e-9 3.095 3.095
413e-9 3.1 3.1
414e-9 3.1067 3.1067
415e-9 3.1133 3.1133
416e-9 3.12 3.12
417e-9 3.19 3.04
418e-9 3.26 2.96
419e-9 3.27 2.96
420e-9 3.28 2.96
421e-9 3.315 2.96
422e-9 3.35 2.96
423e-9 3.35 2.96
424e-9 3.35 2.96
425e-9 3.35 2.96
426e-9 3.38 2.955
427e-9 3.41 2.95
428e-9 3.43 2.94
429e-9 3.45 2.93
430e-9 3.46 2.9233
431e-9 3.47 2.9167
432e-9 3.48 2.91
433e-9 3.5 2.905
