lambda n k
300e-9 1.76705 0.13542
301e-9 1.76739 0.13492
302e-9 1.76771 0.13441
303e-9 1.76803 0.1339
304e-9 1.76834 0.13339
305e-9 1.76865 0.13288
306e-9 1.76896 0.13237
307e-9 1.76926 0.13187
308e-9 1.76957 0.13138
309e-9 1.76988 0.13089
310e-9 1.7702 0.13043
311e-9 1.77052 0.12997
312e-9 1.77085 0.12953
313e-9 1.7712 0.12911
314e-9 1.77155 0.12871
315e-9 1.77193 0.12834
316e-9 1.77232 0.12799
317e-9 1.77272 0.12766
318e-9 1.77316 0.12736
319e-9 1.77363 0.12708
320e-9 1.77412 0.12681
321e-9 1.77466 0.12657
322e-9 1.77523 0.12634
323e-9 1.77585 0.12611
324e-9 1.77652 0.1259
325e-9 1.77722 0.12569
326e-9 1.77802 0.12548
327e-9 1.77888 0.12524
328e-9 1.77981 0.12499
329e-9 1.78087 0.12469
330e-9 1.78199 0.12435
331e-9 1.78324 0.12395
332e-9 1.78462 0.12348
333e-9 1.78609 0.12296
334e-9 1.78773 0.12232
335e-9 1.78947 0.12156
336e-9 1.79129 0.12071
337e-9 1.79325 0.11959
338e-9 1.79525 0.11833
339e-9 1.79734 0.11684
340e-9 1.79949 0.11505
341e-9 1.80167 0.11308
342e-9 1.80391 0.11071
343e-9 1.80616 0.10807
344e-9 1.80841 0.10521
345e-9 1.81053 0.10194
346e-9 1.81256 0.09853
347e-9 1.81441 0.09488
348e-9 1.81596 0.09101
349e-9 1.81733 0.08702
350e-9 1.81827 0.08283
351e-9 1.81885 0.07853
352e-9 1.81916 0.07414
353e-9 1.81878 0.06961
354e-9 1.81812 0.06506
355e-9 1.81707 0.06048
356e-9 1.81556 0.05594
357e-9 1.81383 0.05144
358e-9 1.81171 0.04706
359e-9 1.80932 0.04282
360e-9 1.80675 0.03868
361e-9 1.80383 0.03487
362e-9 1.80077 0.03123
363e-9 1.79754 0.02783
364e-9 1.79412 0.0248
365e-9 1.79062 0.02195
366e-9 1.78701 0.01941
367e-9 1.78337 0.01712
368e-9 1.77971 0.01499
369e-9 1.77609 0.01319
370e-9 1.77251 0.01154
371e-9 1.769 0.01007
372e-9 1.76566 0.00885
373e-9 1.76242 0.00774
374e-9 1.75938 0.00683
375e-9 1.75653 0.00608
376e-9 1.75381 0.00542
377e-9 1.75133 0.00494
378e-9 1.74895 0.00454
379e-9 1.7467 0.00421
380e-9 1.74461 0.00397
381e-9 1.7426 0.00377
382e-9 1.74069 0.00361
383e-9 1.73888 0.00348
384e-9 1.7371 0.00336
385e-9 1.73542 0.00323
386e-9 1.73377 0.00308
387e-9 1.73215 0.00291
388e-9 1.73058 0.00272
389e-9 1.72904 0.00252
390e-9 1.72753 0.00231
391e-9 1.72606 0.00209
392e-9 1.72461 0.00186
393e-9 1.72319 0.00164
394e-9 1.7218 0.00142
395e-9 1.72043 0.00121
396e-9 1.71908 0.00102
397e-9 1.71775 0.000835928
398e-9 1.71645 0.000673459
399e-9 1.71516 0.000536428
400e-9 1.71388 0.000412849
401e-9 1.71263 0.000316244
402e-9 1.7114 0.000234818
403e-9 1.71019 0.000165189
404e-9 1.70901 0.000117431
405e-9 1.70785 7.67252e-05
406e-9 1.70671 4.66151e-05
407e-9 1.70561 2.72733e-05
408e-9 1.70453 1.27153e-05
409e-9 1.70349 5.81502e-06
410e-9 1.70247 1.88585e-06
411e-9 1.70148 3.96325e-09
412e-9 1.70053 0.0
413e-9 1.69961 0.0
414e-9 1.69872 0.0
415e-9 1.69787 0.0
416e-9 1.69703 0.0
417e-9 1.69622 0.0
418e-9 1.69544 0.0
419e-9 1.69467 0.0
420e-9 1.69393 0.0
421e-9 1.6932 0.0
422e-9 1.69249 0.0
423e-9 1.6918 0.0
424e-9 1.69112 0.0
425e-9 1.69045 0.0
426e-9 1.68979 0.0
427e-9 1.68913 0.0
428e-9 1.68849 0.0
429e-9 1.68786 0.0
430e-9 1.68723 0.0
431e-9 1.68662 0.0
432e-9 1.68601 0.0
433e-9 1.68541 0.0
434e-9 1.68483 0.0
435e-9 1.68425 0.0
436e-9 1.68369 0.0
437e-9 1.68313 0.0
438e-9 1.68259 0.0
439e-9 1.68206 0.0
440e-9 1.68154 0.0
441e-9 1.68103 0.0
442e-9 1.68053 0.0
443e-9 1.68005 0.0
444e-9 1.67957 0.0
445e-9 1.67911 0.0
446e-9 1.67866 0.0
447e-9 1.67822 0.0
448e-9 1.67779 0.0
449e-9 1.67736 0.0
450e-9 1.67695 0.0
451e-9 1.67654 0.0
452e-9 1.67614 0.0
453e-9 1.67575 0.0
454e-9 1.67537 0.0
455e-9 1.67499 0.0
456e-9 1.67462 0.0
457e-9 1.67426 0.0
458e-9 1.6739 0.0
459e-9 1.67355 0.0
460e-9 1.6732 0.0
461e-9 1.67285 0.0
462e-9 1.67251 0.0
463e-9 1.67218 0.0
464e-9 1.67184 0.0
465e-9 1.67151 0.0
466e-9 1.67119 0.0
467e-9 1.67086 0.0
468e-9 1.67054 0.0
469e-9 1.67021 0.0
470e-9 1.66989 0.0
471e-9 1.66957 0.0
472e-9 1.66925 0.0
473e-9 1.66893 0.0
474e-9 1.66861 0.0
475e-9 1.66828 0.0
476e-9 1.66796 0.0
477e-9 1.66764 0.0
478e-9 1.66731 0.0
479e-9 1.66699 0.0
