lambda photopic
300e-9 0
360e-9 0
365e-9 0
370e-9 0
375e-9 0
380e-9 0.0002
385e-9 0.00039556
390e-9 0.0008
395e-9 0.0015457
400e-9 0.0028
405e-9 0.0046562
410e-9 0.0074
415e-9 0.011779
420e-9 0.0175
425e-9 0.022678
430e-9 0.0273
435e-9 0.032584
440e-9 0.0379
445e-9 0.042391
450e-9 0.0468
455e-9 0.052122
460e-9 0.06
465e-9 0.072942
470e-9 0.09098
475e-9 0.11284
480e-9 0.13902
485e-9 0.16987
490e-9 0.20802
495e-9 0.25808
500e-9 0.323
505e-9 0.4054
510e-9 0.503
515e-9 0.60811
520e-9 0.71
525e-9 0.7951
530e-9 0.862
535e-9 0.91505
540e-9 0.954
545e-9 0.98004
550e-9 0.99495
555e-9 1
560e-9 0.995
565e-9 0.97875
570e-9 0.952
575e-9 0.91558
580e-9 0.87
585e-9 0.81623
590e-9 0.757
595e-9 0.69483
600e-9 0.631
605e-9 0.56654
610e-9 0.503
615e-9 0.44172
620e-9 0.381
625e-9 0.32052
630e-9 0.265
635e-9 0.21702
640e-9 0.175
645e-9 0.13812
650e-9 0.107
655e-9 0.081652
660e-9 0.061
665e-9 0.044327
670e-9 0.032
675e-9 0.023454
680e-9 0.017
685e-9 0.011872
690e-9 0.00821
695e-9 0.0057723
700e-9 0.004102
705e-9 0.0029291
710e-9 0.002091
715e-9 0.0014822
720e-9 0.001047
725e-9 0.00074015
730e-9 0.00052
735e-9 0.00036093
740e-9 0.0002492
745e-9 0.00017231
750e-9 0.00012
755e-9 8.462e-05
760e-9 6e-05
765e-9 4.2446e-05
770e-9 3e-05
775e-9 2.121e-05
780e-9 1.4989e-05
785e-9 1.0584e-05
790e-9 7.4656e-06
795e-9 5.2592e-06
800e-9 3.7028e-06
805e-9 2.6076e-06
810e-9 1.8365e-06
815e-9 1.295e-06
820e-9 9.1092e-07
825e-9 6.3564e-07
830e-9 0
900e-9 0
1100e-9 0
1300e-9 0
1400e-9 0
2000e-9 0
